EnglishName,CriteriaA_Category,CriteriaA_String,Decline,DeclineMean,DeclineLci,Years3GEN,StartYear,EndYear,OrgStartYear,OrgEndYear,ActualDecline,Method,Reversible,ReasonUnderstood,ReasonCeased,A_a,A_b,A_c,A_d,A_e,DirectObservation,AbundanceIndex,EOODecline,AOODecline,HabitatQuality,Exploitation,OtherEffects,SeverityScore,MethodScore
Slender-billed Vulture,CR,A4ac,100,99,99,40,1992,2032,1992,2002,"-93% (-88 , -94)",Projected,1,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,1,1,1,0,0,4,0
Tawny Lark,NA,A2b+ A4b,15,23,30,10,2015,2025,2015,2025,"-2.57% (-1.62, -3.52)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Thick-billed Flowerpecker,NA,A2b+ A4b,15,27,38,10,2015,2025,2015,2025,"-3.13% (-1.6, -4.66)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Tickell's Leaf Warbler,NA,A2b+ A4b,17,23,28,10,2015,2025,2015,2025,"-2.54% (-1.83, -3.25)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Ultramarine Flycatcher,NA,A2b+ A4b,13,26,38,10,2015,2025,2015,2025,"-3.03% (-1.36, -4.69)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
Variable Wheatear,NA,A2b+ A4b,19,26,32,10,2015,2025,2015,2025,"-2.93% (-2.13, -3.73)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
White Wagtail,NA,A2b+ A4b,16,23,30,10,2015,2025,2015,2025,"-2.58% (-1.69, -3.47)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
White-bellied Heron,VU,A2acd+ A4acd,50,49,49,21,2007,2025,2007,2025,"-50% (-50 , -50)",Estimated,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,1,1,0,2,0
White-browed Fantail,NA,A2b+ A4b,15,20,25,10,2015,2025,2015,2025,"-2.24% (-1.66, -2.83)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
White-capped Redstart,NA,A2b+ A4b,19,31,41,10,2015,2025,2015,2025,"-3.63% (-2.12, -5.14)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
White-eyed Buzzard,VU,A4b,44,59,70,18,2015,2033,2015,2025,"-4.82% (-3.2, -6.45)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,2,1
White-rumped Spinetail,NA,A2b+ A4b,15,19,24,10,2015,2025,2015,2025,"-2.13% (-1.61, -2.66)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,1
White-rumped Vulture,CR,A2ac,99,99,99,35,1992,2002,1992,2002,"-99% (-99.5 , -99.9)",Estimated,1,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,1,1,1,0,0,4,0
White-tailed Lapwing,NT,A4b,24,42,56,14,2015,2029,2015,2025,"-3.86% (-1.98, -5.74)",Inferred,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,1,1
White-winged Wood-Duck,VU,A2acd,45,52,62,20,1995,2015,1995,2023,"-65% (-57 , -75)",Suspected,1,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,1,1,1,1,0,2,0
