"Species","Range Coverage","Mean Grid Coverage","Long-term Decline","Current Annual Decline","Current Status","Conservation Priority","Years1GEN","1GEN Decline","Years2GEN","2GEN Decline","Years3GEN","3GEN Decline","3GEN Decline Mean","3GEN Decline LCI","1GEN valid","2GEN valid","3GEN valid","Criteria A Redlist Category Proposed","Current Redlist","IUCN Different","Red List using Exp projections","Red List projections different","Projected Decline","Uses Real Data (not projected)","Criterion C Redlist Category Proposed"
"Chestnut-bellied Rock-Thrush",38.1,"45.18% (41.9, 48.46)","-150.98% (-139.38, -159.58)","-4.02% (-2.42, -5.63)","Decline","High",3,7,7,16,10,22,34,44,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",54,TRUE,"Vulnerable"
"Variable Wheatear",27.79,"37.72% (35.21, 40.24)","-177.28% (-174.62, -179.89)","-3.09% (-2.4, -3.79)","Decline","High",3,7,5,11,10,22,27,32,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Vulnerable","Yes",46,TRUE,"Vulnerable"
"Large-billed Crow",45.96,"36.54% (35.67, 37.4)","-126.31% (-123.11, -129.13)","-3.12% (-2.34, -3.9)","Decline","Moderate",6,13,12,25,19,36,45,53,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes",NA,NA,NA,FALSE,"Endangered"
"Rufous-necked Laughingthrush",29.46,"40.31% (36.14, 44.48)",NA,"-4.68% (-2.33, -7.03)","Decline","Moderate",4,9,8,17,12,25,44,58,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",61,FALSE,"Vulnerable"
"Eurasian Coot",37.91,"41.68% (40.59, 42.77)","-118.68% (-113.22, -123.29)","-3.2% (-2.32, -4.09)","Decline","Moderate",5,11,9,19,14,28,37,44,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",67,FALSE,"Vulnerable"
"Northern Pintail",33.6,"44.75% (43.46, 46.04)","-161.82% (-159.05, -164.35)","-3.27% (-2.32, -4.22)","Decline","High",6,13,11,23,17,33,43,52,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",44,FALSE,"Endangered"
"Montagu's Harrier",28.35,"52.86% (50.65, 55.07)","-110.75% (-96.95, -121.35)","-4.56% (-2.19, -6.93)","Decline","Low",6,12,11,22,17,31,55,71,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Endangered","Yes",66,FALSE,"Endangered"
"Common Teal",32.33,"44.56% (43.16, 45.95)","-149.39% (-145.64, -153.47)","-3.68% (-2.15, -5.21)","Decline","Moderate",6,12,11,21,17,31,47,60,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Endangered","Yes",56,FALSE,"Endangered"
"Ultramarine Flycatcher",33.67,"53.08% (50.65, 55.51)","-153.17% (-143.48, -160.25)","-3.74% (-2.14, -5.33)","Decline","High",3,6,6,12,10,19,32,42,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Vulnerable","Yes",49,TRUE,"Vulnerable"
"Pallas's Gull",32.71,"45.81% (43.33, 48.29)","-162.94% (-158.22, -167.03)","-3.23% (-2.13, -4.33)","Decline","High",11,21,22,NA,33,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Least Concern",NA,NA,NA,NA,FALSE,"No"
"Indian Bushlark",29.95,"39.45% (38.04, 40.87)","-149.45% (-144.3, -153.79)","-2.94% (-2.1, -3.79)","Decline","Moderate",3,6,6,12,10,19,26,32,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",71,TRUE,"Vulnerable"
"White Wagtail",35.3,"37.85% (36.89, 38.81)","-155.93% (-153.48, -158.43)","-2.9% (-2.09, -3.71)","Decline","Moderate",3,6,7,14,10,19,25,31,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",63,TRUE,"Vulnerable"
"Crested Lark",31.67,"36.36% (34.35, 38.36)","-145.95% (-139.6, -151.07)","-3.23% (-2.08, -4.38)","Decline","Moderate",3,6,6,12,10,19,28,36,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",68,TRUE,"Vulnerable"
"Black-crested Bulbul",37.74,"37.52% (34.73, 40.31)","-130.17% (-117.59, -141.78)","-3.29% (-2.05, -4.54)","Decline","Moderate",4,8,8,15,12,22,33,43,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",66,FALSE,"Vulnerable"
"Tawny Eagle",25.74,"56.42% (52.76, 60.08)","-179.01% (-175.82, -182.14)","-2.74% (-2.03, -3.45)","Decline","High",14,25,28,NA,43,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Vulnerable",NA,NA,NA,NA,FALSE,"Critically Endangered"
"Tickell's Leaf Warbler",28.05,"56.55% (54.21, 58.89)","-151.76% (-145.96, -156.56)","-2.57% (-1.98, -3.17)","Decline","Moderate",3,6,5,10,10,18,23,28,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",71,TRUE,"Vulnerable"
"Bonelli's Eagle",28.59,"52.19% (50.5, 53.89)","-131.4% (-122.59, -138.82)","-2.87% (-1.97, -3.77)","Decline","Moderate",11,20,23,NA,34,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Least Concern",NA,NA,NA,NA,FALSE,"No"
"White-tailed Lapwing",27.74,"42.8% (39.73, 45.86)","-143.88% (-134.17, -151.49)","-3.54% (-1.94, -5.14)","Decline","Moderate",5,9,9,16,14,24,40,52,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",65,FALSE,"Vulnerable"
"Mrs. Gould's Sunbird",35.04,"43.82% (39.24, 48.4)",NA,"-4.2% (-1.93, -6.48)","Decline","Moderate",3,6,5,9,10,18,35,49,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Critically Endangered","Yes",83,TRUE,"Vulnerable"
"Jerdon's Leafbird",37.82,"52.64% (50.82, 54.45)","-155.31% (-150.05, -160.08)","-2.67% (-1.9, -3.43)","Decline","Moderate",3,6,6,11,10,17,24,29,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",63,TRUE,"Vulnerable"
"Scaly-bellied Woodpecker",39.13,"41.41% (38.1, 44.71)",NA,"-3.85% (-1.87, -5.83)","Decline","Moderate",4,7,7,12,11,19,35,48,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Critically Endangered","Yes",84,FALSE,"Vulnerable"
"Rufous Treepie",45.47,"38.26% (37.31, 39.2)","-90.03% (-84.51, -94.97)","-2.23% (-1.85, -2.62)","Decline","Moderate",4,7,8,14,12,20,24,27,TRUE,TRUE,TRUE,"Least Concern","Least Concern","No","Endangered","Yes",80,FALSE,"Vulnerable"
"Black-tailed Godwit",32.5,"45.47% (43.68, 47.26)","-168.22% (-165.17, -170.83)","-2.82% (-1.85, -3.8)","Decline","High",6,11,13,22,19,30,42,52,TRUE,TRUE,TRUE,"Near Threatened","Near Threatened","No",NA,NA,NA,FALSE,"Endangered"
