"","Species","Scientific","Old_LongTerm","Old_Current","Old_Range","Old_Priority","New_LongTerm","New_Current","New_Range","New_Priority","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","rangelci","rangemean","rangerci","Change_LongTerm","Change_Current","Change_Range","Change_Priority","Cat_LongTerm","Cat_Current","Cat_Range","Cat_Priority","First_Category"
"31","Western Reef-Heron","Egretta gularis","Rapid Decline","Decline","Moderate","High","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-75.458800373092,-64.2533957347696,-46.9006916134397,-5.28699263019399,-3.19509638497187,-1.10320013974975,188575,188575,188575,"<span style='color:black' title='(-75.5, -64.3, -46.9) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:black' title='(-5.3, -3.2, -1.1) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
"32","Eurasian Griffon","Gyps fulvus","Rapid Decline","Decline","Moderate","High","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-88.3551443498457,-77.0203622648108,-54.2592190889474,-8.0693733005842,-4.04549487214246,-0.0216164437007107,235374,236019,236664,"<span style='color:black' title='(-88.4, -77.0, -54.3) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:black' title='(-8.1, -4.0, -0.0) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
"33","Montagu's Harrier","Circus pygargus","Rapid Decline","Decline","Large","High","Trend Inconclusive","Trend Inconclusive","Large","Low",-73.2127230678213,-39.6996389292828,35.759290006037,-8.29803140397495,-3.98241179898926,0.333207805996419,334801,334801,334801,"<span style='color:black' title='(-73.2, -39.7, 35.8) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:black' title='(-8.3, -4.0, 0.3) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Large","<span style='color:blue'>High → Low</span>",NA,NA,NA,"High → Low","High → Low"
"34","Isabelline Shrike","Lanius isabellinus","Decline","Rapid Decline","Large","High","Trend Inconclusive","Decline","Large","Low",-59.9058855711805,-32.7077724702005,12.187152321626,-6.75492377098589,-4.31804953983958,-1.88117530869327,433424,434064,434704,"<span style='color:black' title='(-59.9, -32.7, 12.2) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:blue' title='(-6.8, -4.3, -1.9) [Threshold: -2.7<x<-1.1]'>Rapid Decline → Decline</span>","Large","<span style='color:blue'>High → Low</span>",NA,NA,NA,"High → Low","High → Low"
"35","Gray-crested Tit","Lophophanes dichrous","Insufficient Data","Decline","Restricted","High","Insufficient Data","Trend Inconclusive","Moderate","Low",NA,NA,NA,-7.9953427482814,-1.93398126842826,4.12738021142487,46459,46822,47185,"Insufficient Data","<span style='color:black' title='(-8.0, -1.9, 4.1) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:blue' title='(46,459, 46,822, 47,185) [Threshold: 42,500<x<250,000]'>Restricted → Moderate</span>","<span style='color:blue'>High → Low</span>",NA,NA,NA,"High → Low","High → Low"
"36","Eurasian Crag-Martin","Ptyonoprogne rupestris","Rapid Decline","Decline","Moderate","High","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-82.2397847604158,-67.3534362765224,-40.4765321701664,-7.33544565330712,-3.83831313372552,-0.341180614143917,86920,87564,88208,"<span style='color:black' title='(-82.2, -67.4, -40.5) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:black' title='(-7.3, -3.8, -0.3) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
"37","Wallcreeper","Tichodroma muraria","Rapid Decline","Decline","Moderate","High","Trend Inconclusive","Trend Inconclusive","Moderate","Low",-69.1366461331467,-51.6056870620834,-23.9682301410874,-5.83054216274524,-3.47978261556486,-1.12902306838448,129197,129697,130197,"<span style='color:black' title='(-69.1, -51.6, -24.0) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","<span style='color:black' title='(-5.8, -3.5, -1.1) [Threshold: NA]'>Decline → Trend Inconclusive</span>","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
"38","White-bellied Blue Flycatcher","Cyornis pallidipes","Rapid Decline","Decline","Moderate","High","Trend Inconclusive","Decline","Moderate","Low",-88.5161268052116,-80.7098721607561,-67.5791950424465,-6.74647080037412,-4.29032094673864,-1.83417109310315,92871,93126,93381,"<span style='color:black' title='(-88.5, -80.7, -67.6) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","Decline","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
"39","Rufous-gorgeted Flycatcher","Ficedula strophiata","Decline","Decline","Moderate","High","Trend Inconclusive","Stable","Moderate","Low",-60.9284189207188,-39.1577854180302,-4.562437324595,-4.97372792464553,-2.19685848544006,0.580010953765405,165391,165838,166285,"<span style='color:black' title='(-60.9, -39.2, -4.6) [Threshold: NA]'>Decline → Trend Inconclusive</span>","<span style='color:blue' title='(-5.0, -2.2, 0.6) [Threshold: None]'>Decline → Stable</span>","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
"40","Isabelline Wheatear","Oenanthe isabellina","Rapid Decline","Decline","Moderate","High","Trend Inconclusive","Decline","Moderate","Low",-74.9840157571896,-58.8638832027998,-36.0314107091503,-6.36071671394009,-4.2484979851739,-2.13627925640771,238050,238583,239116,"<span style='color:black' title='(-75.0, -58.9, -36.0) [Threshold: NA]'>Rapid Decline → Trend Inconclusive</span>","Decline","Moderate","<span style='color:blue'>High → Low</span>",NA,NA,"Moderate","High → Low","High → Low"
