EnglishName,CriteriaD_Category,CriteriaD_String,MinMaturePop,MaxMaturePop,MinPop,MaxPop,Min Breeding Pop Percent,Max Breeding Pop Percent,Male Ratio,Largest_Sub_Pop,MaxAOO,Locations,GenerationLength,OneGen,ThreeGen,TimeToVU,TimeToEN,TimeToCR,PlausibleThreat_VU,PlausibleThreat_NT,CR_D,EN_D,VU_D1,NT_D1,VU_D2,NT_D2,CR_D_triggers,EN_D_triggers,VU_D_triggers,NT_D_triggers
Striated Laughingthrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93,4.93,14.79,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Himalayan White-browed Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66727,NA,2.77,2.77,8.31,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
White-collared Blackbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61145,NA,4.14,4.14,12.419999999999998,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Eurasian Wren,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11,2.11,6.33,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Yellow-bellied Fairy-Fantail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87,2.87,8.61,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Alpine Accentor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96162,NA,4.21,4.21,12.629999999999999,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Black-browed Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22792,NA,2.73,2.73,8.19,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Black Kite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.34,9.34,28.02,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Black Redstart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,2.63,7.89,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Black-faced Laughingthrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50784,NA,4.15,4.15,12.450000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Blyth's Pipit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38,2.38,7.14,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Brown Dipper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,3.12,9.36,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Coal Tit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49,2.49,7.470000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Himalayan Buzzard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19,8.19,24.57,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
Spotted Nutcracker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47282,NA,4.7,4.7,14.100000000000001,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
