EnglishName,ScientificName,RegionalRedlist,GlobalRedlist,AdjustedRegionalRedlist,SoIBPriority,LTC,CAT,CriteriaA_Category,CriteriaB_Category,CriteriaC_Category,CriteriaD_Category,CriteriaA_String,CriteriaB_String,CriteriaC_String,CriteriaD_String,GlobalCriteriaString,Decline3GEN_A,Decline3GEN,Decline3GEN_A_Mean,Decline3GENMean,Decline3GEN_A_Lci,Decline3GENLci,Decline3GEN_A_Method,Years3GEN,Decline1GEN,Years1GEN,Decline2GEN,Years2GEN,Decline3GEN_C,Decline3GEN_C1_Method,Decline3GEN_ContinuingDeclineMethod,GenerationLength,ActualDeclinePercentage,YearsActualDecline,ContinuingDecline,ActualDeclinePercentage_C1,YearsActualDecline_C1,BiogPop1Percent,CMS,CITES,Schedule,Endemic,EOO,MaxEOO,DeclineEOO,EOOYearBandChange,MinAOO,MaxAOO,MinLocations,Locations,MaxLocations,Subspecies,TotalLikelyPop,TotalMaxPop,GlobalPopulation,GlobalEOO,GlobalAOO,GlobalRangePercent,GlobalPopulationTrend,MigratoryStatusIndia,GlobalRedlistURL
Stripe-breasted Woodpecker,Dendrocopos atratus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"61,803",,NA,NA,138,"(Max 16,102)",NA,NA,NA,1,,,Unknown,"1,330,000",,10%,Decreasing,Resident,https://www.iucnredlist.org/species/22681089/264111323
Darjeeling Woodpecker,Dendrocopos darjellensis,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.63,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"255,793",,NA,NA,"1,363","(Max 60,852)",NA,NA,NA,1,,,Unknown,"1,820,000",,24%,Decreasing,Resident,https://www.iucnredlist.org/species/22681111/264109549
Great Spotted Woodpecker,Dendrocopos major,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.07,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,39,"(Max 1,460)",NA,NA,11,(Max 39),NA,NA,NA,1,,,"49,000,000-78,000,000","57,800,000",,< 1%,Decreasing,Resident,https://www.iucnredlist.org/species/22681124/280946929
Himalayan Woodpecker,Dendrocopos himalayensis,Least Concern,Least Concern,To be done,Low,Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.47,NA,,Yes,NA,,,NA,NA,Schedule-II,No,"177,015",,NA,NA,,,NA,NA,NA,2,,,Unknown,"314,000",,53%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22681136/264093905
Sind Woodpecker,Dendrocopos assimilis,Near Threatened,Least Concern,To be done,NA,NA,NA,NA,NT,NA,NA,NA,B1a+B2a,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.41,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,82,(Max 871),NA,NA,28,(Max 64),2,2,5,1,,,Unknown,"1,490,000",,4%,Decreasing,Resident,https://www.iucnredlist.org/species/22681133/264094679
Crimson-breasted Woodpecker,Dryobates cathpharius,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,2.81,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"382,250",,NA,NA,"1,383","(Max 99,167)",NA,NA,NA,3,,,Unknown,"601,000",,58%,Decreasing,Resident,https://www.iucnredlist.org/species/61553308/264011340
Bay Woodpecker,Blythipicus pyrrhotis,Least Concern,Least Concern,To be done,Low,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.14,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"408,806",,NA,NA,"5,121","(Max 98,758)",NA,NA,NA,1,,,Unknown,"6,750,000",,6%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22681546/130042642
Greater Flameback,Chrysocolaptes guttacristatus,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.35,"0.28% (1.16, -0.61) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"1,958,834",,NA,NA,,,NA,NA,NA,2,,,Unknown,"12,300,000",,23%,Decreasing,Resident,https://www.iucnredlist.org/species/22726548/280939670
Malabar Flameback,Chrysocolaptes socialis,Least Concern,Not recognized,Least Concern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.35,NA,,Unknown,NA,,,NA,NA,Schedule-II,Yes,"427,302",,NA,NA,,,NA,NA,NA,1,,,Unknown,"12,300,000",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22726548/280939670
White-naped Woodpecker,Chrysocolaptes festivus,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.06,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"2,042,752",,NA,NA,,,NA,NA,NA,1,,,Unknown,"3,060,000",,94%,Decreasing,Resident,https://www.iucnredlist.org/species/22681522/264076857
Rufous Woodpecker,Micropternus brachyurus,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.65,"-0.12% (1.66, -1.9) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"3,541,908",,NA,NA,,,NA,NA,NA,3,,,Unknown,"16,800,000",,24%,Decreasing,Resident,https://www.iucnredlist.org/species/22681314/263681193
Pale-headed Woodpecker,Gecinulus grantia,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.26,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"330,961",,NA,NA,559,"(Max 85,548)",NA,NA,NA,1,,,Unknown,"3,730,000",,9%,Decreasing,Resident,https://www.iucnredlist.org/species/22681525/264078256
Himalayan Flameback,Dinopium shorii,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"759,506",,NA,NA,"1,453","(Max 169,158)",NA,NA,NA,1,,,Unknown,"2,930,000",,24%,Decreasing,Resident,https://www.iucnredlist.org/species/22681496/264089242
Common Flameback,Dinopium javanense,Least Concern,Least Concern,To be done,Low,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.97,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"363,397",,NA,NA,"1,858","(Max 118,918)",NA,NA,NA,2,,,Unknown,"11,500,000",,5%,Decreasing,Resident,https://www.iucnredlist.org/species/22727182/280961031
Black-rumped Flameback,Dinopium benghalense,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.43,"-0.03% (0.71, -0.76) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"4,176,535",,NA,NA,,,NA,NA,NA,4,,,Unknown,"4,590,000",,83%,Decreasing,Resident,https://www.iucnredlist.org/species/61517196/264058675
Lesser Yellownape,Picus chlorolophus,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.35,"0.9% (2.68, -0.88) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"4,036,428",,NA,NA,,,NA,NA,NA,3,,,Unknown,"14,300,000",,32%,Decreasing,Resident,https://www.iucnredlist.org/species/22681431/264063565
Streak-throated Woodpecker,Picus xanthopygaeus,Least Concern,Least Concern,To be done,Low,Stable,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.55,NA,,Yes,NA,,,NA,NA,Schedule-II,No,"3,594,314",,NA,NA,,,NA,NA,NA,1,,,Unknown,"7,340,000",,66%,Decreasing,Resident,https://www.iucnredlist.org/species/22681453/264086184
Scaly-bellied Woodpecker,Picus squamatus,Near Threatened,Least Concern,To be done,Moderate,Insufficient Data,Decline,NT,NA,NA,NA,A4b,NA,NA,NA,NA,25,25,37,37,47,47,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.61,"-4.1% (-2.56, -5.64) pa, ","10y, 2015-2025",Yes,NA,,,NA,NA,Schedule-II,No,"239,889",,NA,NA,,,NA,NA,NA,1,,,Unknown,"2,050,000",,17%,Stable,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22681456/264085714
Grey-headed Woodpecker,Picus canus,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.53,NA,,No,NA,,,NA,NA,Schedule-II,No,"2,393,403",,NA,NA,,,NA,NA,NA,3,,,"913,000-1,520,000","28,200,000",,7%,Increasing,Resident,https://www.iucnredlist.org/species/22726503/264583951
Greater Yellownape,Chrysophlegma flavinucha,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.21,NA,,Uncertain,NA,,,NA,NA,Schedule-II,No,"1,849,830",,NA,NA,,,NA,NA,NA,2,,,Unknown,"9,200,000",,9%,Decreasing,Resident,https://www.iucnredlist.org/species/22681437/130041888
Great Slaty Woodpecker,Mulleripicus pulverulentus,Least Concern,Vulnerable,To be done,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A2cd+3cd+4cd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.58,NA,,Unknown,NA,,,NA,NA,Schedule-I,No,"764,957",,NA,NA,808,"(Max 114,617)",NA,NA,NA,2,,,"10,000-70,000","9,650,000",,5%,Decreasing,Resident,https://www.iucnredlist.org/species/22681585/241500854
White-bellied Woodpecker,Dryocopus javensis,Least Concern,Least Concern,To be done,Moderate,Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.49,"-0.52% (0.93, -1.96) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,NA,Schedule-II,No,"702,640",,NA,NA,,,NA,NA,NA,1,,,Unknown,"19,400,000",,4%,Decreasing,Resident,https://www.iucnredlist.org/species/22681376/275512522
Andaman Woodpecker,Dryocopus hodgei,Least Concern,Vulnerable,Least Concern,High,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,C2a(i),NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.26,NA,,Uncertain,NA,,,NA,NA,Schedule-I,Yes,"12,302","(Max 19,913)",NA,NA,"1,081","(Max 3,313)",NA,NA,NA,1,,,"1,000-2,499","20,600",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22681379/118582685
Pied Falconet,Microhierax melanoleucos,Least Concern,Least Concern,To be done,Moderate,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.55,NA,,Uncertain,NA,,,NA,Appendix II,Schedule-II,No,"150,497",,NA,NA,609,"(Max 44,920)",NA,NA,NA,1,,,Unknown,"3,300,000",,4%,Decreasing,Resident,https://www.iucnredlist.org/species/22696339/280939449
Collared Falconet,Microhierax caerulescens,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.26,NA,,Unknown,NA,,,NA,Appendix II,Schedule-II,No,"636,172",,NA,NA,"1,669","(Max 140,996)",NA,NA,NA,2,,,Unknown,"3,040,000",,2%,Decreasing,Resident,https://www.iucnredlist.org/species/22696324/264006772
Lesser Kestrel,Falco naumanni,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.32,NA,,Unknown,NA,,,Appendix I,Appendix II,Schedule-II,No,"2,788,201",,NA,NA,220,"(Max 806,025)",NA,NA,NA,1,,,Unknown,"5,323,111",,4%,Increasing,Passage Migrant,https://www.iucnredlist.org/species/22696357/210512944
Common Kestrel,Falco tinnunculus,Vulnerable,Least Concern,To be done,Moderate,Rapid Decline,Decline,VU,NA,NA,NA,A4b,NA,NA,NA,NA,38,38,50,50,59,59,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.03,"-3.77% (-2.65, -4.89) pa, ","10y, 2015-2025",Yes,NA,,,Appendix II,Appendix II,Schedule-II,No,"7,051,992",,NA,NA,,,NA,NA,NA,3,,,Unknown,"7,509,650",,5%,Unknown,Resident & Winter Migrant,https://www.iucnredlist.org/species/22696362/210515355
Red-necked Falcon,Falco chicquera,Least Concern,Near Threatened,To be done,High,Rapid Decline,Decline,NA,NA,NA,NA,A4b,NA,NA,NA,A2cd+3cd+4cd,16,16,30,30,41,41,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.5,"-2.48% (-1.24, -3.72) pa, ","10y, 2015-2025",Yes,NA,,,Appendix II,Appendix II,Schedule-I,No,"3,990,991",,NA,NA,,,NA,NA,NA,1,,,"25,000-99,000","4,500,000-5,800,000",,89%,Decreasing,Resident,https://www.iucnredlist.org/species/22727778/272136864
Amur Falcon,Falco amurensis,Least Concern,Least Concern,To be done,Low,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.24,NA,,Uncertain,NA,,,Appendix II,Appendix II,Schedule-I,No,"4,914,232",,NA,NA,,,NA,NA,NA,1,,,"200,000-667,000","3,450,000",,18%,Stable,Passage Migrant,https://www.iucnredlist.org/species/22696437/205646027
Merlin,Falco columbarius,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.84,NA,,Unknown,NA,,,Appendix II,Appendix II,Schedule-II,No,"462,379",,NA,NA,127,"(Max 124,975)",NA,NA,NA,3,,,"250,000-3,200,000","103,000,000",,1%,Stable,Winter Migrant,https://www.iucnredlist.org/species/22696453/154505853
Eurasian Hobby,Falco subbuteo,Least Concern,Least Concern,To be done,Low,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.69,NA,,Unknown,NA,,,Appendix II,Appendix II,Schedule-II,No,"4,526,780",,NA,NA,,,NA,NA,NA,1,,,Unknown,"6,011,681",,< 1%,Unknown,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22696460/210514648
Oriental Hobby,Falco severus,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.41,NA,,Unknown,NA,,,Appendix II,Appendix II,Schedule-II,No,"330,384",,NA,NA,564,"(Max 64,372)",NA,NA,NA,1,,,Unknown,"20,300,000",,9%,Decreasing,Resident & Local Migrant,https://www.iucnredlist.org/species/22696470/199043226
Laggar Falcon,Falco jugger,Least Concern,Near Threatened,To be done,Moderate,Insufficient Data,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,A2cd+3cd+4cd; C1,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.05,NA,,Yes,NA,,,NA,Appendix I,Schedule-I,No,"1,700,857",,NA,NA,"1,167","(Max 490,356)",NA,NA,NA,1,,,"10,000-19,999","5,880,000",,76%,Decreasing,Resident,https://www.iucnredlist.org/species/22696492/181452933
Saker Falcon,Falco cherrug,Least Concern,Endangered,To be done,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,,Unknown,NA,,,Appendix I,Appendix II,Schedule-I,No,"553,255",,NA,NA,,,NA,NA,NA,2,,,0-6,848,,3%,Unknown,Winter Migrant & Localized Summer Migrant,https://www.iucnredlist.org/species/22696495/209774770
Peregrine Falcon,Falco peregrinus,Least Concern,Least Concern,To be done,Moderate,Decline,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.08,NA,,Yes,NA,,,Appendix II,Appendix I,Schedule-I,No,"6,084,789",,NA,NA,,,NA,NA,NA,5,,,Unknown,"7,347,349",,3%,Unknown,Resident & Winter Migrant,https://www.iucnredlist.org/species/45354964/210513652
Alexandrine Parakeet,Psittacula eupatria,Least Concern,Least Concern,To be done,Low,Rapid Increase,Rapid Increase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,9.31,"10.58% (12.72, 8.44) pa, ","10y, 2015-2025",No,NA,,,NA,Appendix II,Schedule-II,No,"5,564,625",,NA,NA,,,NA,NA,NA,4,,,Unknown,"9,010,000",,62%,Increasing,Resident,https://www.iucnredlist.org/species/22685434/241494588
Rose-ringed Parakeet,Psittacula krameri,Least Concern,Least Concern,To be done,Low,Increase,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,10.25,NA,,No,NA,,,NA,NA,Schedule-II,No,"5,114,070",,NA,NA,,,NA,NA,NA,2,,,Unknown,"28,400,000",,37%,Increasing,Resident,https://www.iucnredlist.org/species/22685441/264075173
Slaty-headed Parakeet,Psittacula himalayana,Least Concern,Least Concern,To be done,Low,Stable,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.5,"-0.11% (2.25, -2.47) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,Appendix II,Schedule-II,No,"436,565",,NA,NA,,,NA,NA,NA,1,,,Unknown,"696,000",,44%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22685468/264072849
Grey-headed Parakeet,Psittacula finschii,Least Concern,Near Threatened,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A2cd+3cd+4cd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.28,NA,,Unknown,NA,,,NA,Appendix II,Schedule-II,No,"38,669",,NA,NA,149,"(Max 10,538)",NA,NA,NA,1,,,Unknown,"2,020,000",,8%,Decreasing,Summer Migrant & Localized Winter Migrant,https://www.iucnredlist.org/species/22685473/261477759
Plum-headed Parakeet,Psittacula cyanocephala,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.94,"-0.43% (0.29, -1.15) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,Appendix II,Schedule-II,No,"3,381,110",,NA,NA,,,NA,NA,NA,1,,,Unknown,"4,010,000",,92%,Decreasing,Resident,https://www.iucnredlist.org/species/22685481/264060594
Blossom-headed Parakeet,Psittacula roseata,Least Concern,Near Threatened,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A2cd+4cd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.68,NA,,Unknown,NA,,,NA,Appendix II,Schedule-II,No,"195,912",,NA,NA,934,"(Max 47,858)",NA,NA,NA,1,,,Unknown,"2,670,000",,6%,Decreasing,Resident,https://www.iucnredlist.org/species/22685486/241241739
Malabar Parakeet,Psittacula columboides,Least Concern,Least Concern,Least Concern,Moderate,Decline,Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.03,"-0.3% (0.53, -1.12) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,Appendix II,Schedule-II,Yes,"259,959",,NA,NA,,,NA,NA,NA,1,,,Unknown,"276,000",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22685489/264059486
Derbyan Parakeet,Psittacula derbiana,Near Threatened,Least Concern,To be done,NA,NA,NA,NA,NT,NA,NA,NA,B1a,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,6.66,NA,,Unknown,NA,,,NA,Appendix II,Schedule-I,No,60,(Max 711),NA,NA,,,2,9,9,1,,,Unknown,"370,000",,8%,Decreasing,Resident,https://www.iucnredlist.org/species/22685500/256298888
Red-breasted Parakeet,Psittacula alexandri,Least Concern,Near Threatened,To be done,Low,Stable,Stable,NA,NA,NA,NA,NA,NA,NA,NA,A2cd+3cd+4cd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.62,"-0.3% (1.4, -2) pa, ","10y, 2015-2025",Uncertain,NA,,,NA,Appendix II,Schedule-I,No,"1,980,736",,NA,NA,,,NA,NA,NA,2,,,Unknown,"9,000,000",,13%,Decreasing,Resident,https://www.iucnredlist.org/species/22685505/261477056
Nicobar Parakeet,Psittacula caniceps,Least Concern,Near Threatened,Least Concern,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,"B1ab(ii,iii)",NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,5.79,NA,,Unknown,NA,,,NA,Appendix II,Schedule-II,Yes,"2,511","(Max 5,067)",NA,NA,24,(Max 140),NA,NA,NA,1,,,"6,000-15,000","1,700",,100%,Decreasing,Resident,https://www.iucnredlist.org/species/22685508/152076509
Long-tailed Parakeet,Psittacula longicauda,Least Concern,Vulnerable,To be done,High,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,A2cd+3cd+4cd,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.94,NA,,Unknown,NA,,,NA,Appendix II,Schedule-II,No,"110,431",,NA,NA,"2,405","(Max 5,459)",NA,NA,NA,2,,,Unknown,"4,365,000",,< 1%,Decreasing,Resident,https://www.iucnredlist.org/species/22685513/258108195
Vernal Hanging-Parrot,Loriculus vernalis,Least Concern,Least Concern,To be done,Low,Stable,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.13,NA,,No,NA,,,NA,Appendix II,Schedule-II,No,"3,797,523",,NA,NA,,,NA,NA,NA,1,,,Unknown,"6,460,000",,19%,Decreasing,Resident & Local Migrant,https://www.iucnredlist.org/species/22685366/264115068
Long-tailed Broadbill,Psarisomus dalhousiae,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.15,NA,,Uncertain,NA,,,NA,NA,Schedule-II,No,"968,478",,NA,NA,,,NA,NA,NA,1,,,Unknown,"7,910,000",,10%,Decreasing,Resident & Altitudinal Migrant,https://www.iucnredlist.org/species/22698747/264067809
Grey-lored Broadbill,Serilophus rubropygius,Least Concern,Least Concern,To be done,Moderate,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.19,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"203,336",,NA,NA,906,"(Max 59,430)",NA,NA,NA,1,,,Unknown,"568,000",,49%,Decreasing,Resident,https://www.iucnredlist.org/species/103656933/263962189
Blue-naped Pitta,Hydrornis nipalensis,Least Concern,Least Concern,To be done,Low,Insufficient Data,Insufficient Data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,4.23,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,"364,867",,NA,NA,"1,287","(Max 85,603)",NA,NA,NA,1,,,Unknown,"1,620,000",,34%,Decreasing,Resident,https://www.iucnredlist.org/species/22698602/264130232
Blue Pitta,Hydrornis cyaneus,Least Concern,Least Concern,To be done,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.59,NA,,Unknown,NA,,,NA,NA,Schedule-II,No,,,NA,NA,,,NA,NA,NA,1,,,Unknown,"2,380,000",,7%,Decreasing,Summer Migrant,https://www.iucnredlist.org/species/22698617/264125341
Indian Pitta,Pitta brachyura,Least Concern,Least Concern,To be done,Low,Trend Inconclusive,Trend Inconclusive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inferred,NA,NA,NA,NA,NA,NA,NA,NA,3.02,NA,,No,NA,,,NA,NA,Schedule-II,No,"3,053,724",,NA,NA,,,NA,NA,NA,1,,,Unknown,"336,000",,95%,Decreasing,Within-India Migrant,https://www.iucnredlist.org/species/22698681/264113487
