"eBird.English.Name.2025","eBird.Scientific.Name.2025","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Avilist.English.Name","Avilist.Scientific.Name","Avibase.ID","Selected.NRL","Generation.Length","No.of.Subspecies","Percent.of.Global.Range","India.Checklist.Sortorder","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","proj2033.lci","proj2033.mean","proj2033.rci","proj2034.lci","proj2034.mean","proj2034.rci","rangemean","rangelci","rangerci"
"Abbott's Babbler","Malacocincla abbotti","abbbab1","Passeriformes","Pellorneidae (Ground Babblers and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Abbott's Babbler","Malacocincla abbotti","Abbott's Babbler","Malacocincla abbotti","Least Concern","Schedule-II","","",NA,"Abbott's Babbler","Malacocincla abbotti","avibase-B0AD6BC8",1,3.06,2,0.062983552,982,"","X","X",87,0.114942528735632,0.297413793103448,0.471264367816092,11.5287356321839,1.23439916647347,NA,NA,NA,-5.21298181231361,-1.8485936476201,1.5157945170734,59.3860221464231,76.0777607063412,97.3177423345967,56.3511184162539,74.5311406376791,98.8149674435221,53.4268081506792,73.0414171591885,100.159594069208,50.6545304990302,71.7442117165545,101.863605981819,47.9807484767577,70.5260993303594,103.44505323195,45.3804565682267,69.1085861504705,105.209510238668,42.9363891322955,67.8070534233236,106.932711089647,40.7057577927547,66.526619149843,108.832251507859,NA,NA,NA,80894,80456,81332
"Streaked Wren-Babbler","Gypsophila brevicaudata","stwbab1","Passeriformes","Pellorneidae (Ground Babblers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Streaked Wren-Babbler","Gypsophila brevicaudata","Streaked Wren-babbler","Gypsophila brevicaudata","Least Concern","Schedule-II","","",NA,"Streaked Wren-Babbler","Gypsophila brevicaudata","avibase-472A5B98",1,2.97,1,0.085492429,983,"","","X",12,0.166666666666667,0.285714285714286,0.25,9.91666666666667,3.24991919091456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9957,9517,10397
"Eyebrowed Wren-Babbler","Napothera epilepidota","eywbab1","Passeriformes","Pellorneidae (Ground Babblers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",1,NA,NA,"Eyebrowed Wren-Babbler","Napothera epilepidota","Eyebrowed Wren-babbler","Napothera epilepidota","Least Concern","Schedule-II","","",NA,"Eyebrowed Wren-Babbler","Napothera epilepidota","avibase-F8F526E4",1,2.74,2,0.079602133,984,"","","X",11,0.0909090909090909,0.409090909090909,0.545454545454545,10.4545454545455,3.09749501563777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16650,16037,17263
"Long-billed Wren-Babbler","Napothera malacoptila","lbwbab1","Passeriformes","Pellorneidae (Ground Babblers and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","Yes","Eastern Himalayas","Forest","Resident",NA,NA,NA,"Long-billed Wren-Babbler","Napothera malacoptila","Long-billed Wren-babbler","Napothera malacoptila","Least Concern","Schedule-II","","",NA,"Long-billed Wren-Babbler","Napothera malacoptila","avibase-9293E8A9",1,3.1,1,0.517202988,985,"","","X",18,0.222222222222222,0.319444444444444,0.611111111111111,13.1666666666667,2.98660232773838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10956,10634,11278
"Brown-cheeked Fulvetta","Alcippe poioicephala","brcful1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Strong Decline","Uncertain","Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Brown-cheeked Fulvetta","Alcippe poioicephala","Brown-cheeked Fulvetta","Alcippe poioicephala","Least Concern","Schedule-II","","",NA,"Brown-cheeked Fulvetta","Alcippe poioicephala","avibase-E4C78D6C",1,3.06,3,0.395233719,986,"X","X","X",383,0.18798955613577,0.448107049608355,0.600522193211488,14.8120104438642,0.722718715790305,23.8513517525986,26.8752338033733,30.0355651540244,0.24866564692956,0.778839582655307,1.30901351838105,117.710622108234,135.345121027841,155.616709487517,119.049820120045,139.51459069154,163.457133910735,120.410624780217,143.875087195179,171.672959961712,121.754687122944,148.313190598622,180.404489162716,123.101650116988,152.831939741278,189.617372468239,124.423071888746,157.502024810376,199.348812975019,125.739679764989,162.313970455826,209.530110629968,127.067111737971,167.250475457212,220.334447010875,NA,NA,NA,338808,338476,339140
"Nepal Fulvetta","Alcippe nipalensis","nepful1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Nepal Fulvetta","Alcippe nipalensis","Nepal Fulvetta","Alcippe nipalensis","Least Concern","Schedule-II","","",NA,"Nepal Fulvetta","Alcippe nipalensis","avibase-735DD267",1,2.55,3,0.402866632,987,"X","X","X",152,0.0921052631578947,0.324835526315789,0.519736842105263,8.57236842105263,0.955895601710004,45.1234214838898,55.9886428152857,68.6337510904376,-1.00969220995161,0.314904906818932,1.63950202358948,81.1070230218092,94.2885168569179,109.650830261629,79.935652305268,94.8048649779123,112.492316659861,78.7448122740884,95.3739586688659,115.425443090422,77.5399147990953,95.927128708311,118.544010006168,76.3582020653282,96.6289256895436,121.710474461914,75.2086167912593,97.2743344801895,125.092596698255,74.0646036864825,97.8381338273467,128.547363627952,72.9146166193444,98.4688962799546,132.072685381145,NA,NA,NA,127566,127267,127865
"Striated Laughingthrush","Grammatoptila striata","strlau2","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","Yes","Himalayas","Forest","Resident",NA,NA,NA,"Striated Laughingthrush","Grammatoptila striata","Striated Laughingthrush","Grammatoptila striata","Least Concern","Schedule-II","","",NA,"Striated Laughingthrush","Grammatoptila striata","avibase-6FCD4F9D",1,4.93,4,0.408449641,988,"","X","X",156,0.153846153846154,0.40625,0.506410256410256,11.1217948717949,0.982079859080118,NA,NA,NA,1.04612134547788,2.8312259572946,4.61633056911131,105.619317401248,118.986670795115,134.212258432438,106.934891087522,122.320251551013,140.141201558168,108.195037143692,125.888353826951,146.557983608318,109.435077528363,129.443510041412,153.311453277816,110.714239619282,133.135304256018,160.34443928704,111.91595240385,136.914099144481,167.651291935641,113.166294278173,140.828150248242,175.291082983024,114.392692850363,144.826281351076,183.436541579786,NA,NA,NA,105886,105567,106205
"Himalayan Cutia","Cutia nipalensis","cutia1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Himalayan Cutia","Cutia nipalensis","Himalayan Cutia","Cutia nipalensis","Least Concern","Schedule-II","","",NA,"Himalayan Cutia","Cutia nipalensis","avibase-D7F4C39A",1,3.83,1,0.17045908,989,"","","X",44,0.113636363636364,0.34375,0.454545454545455,11.2272727272727,1.969160794373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38196,37801,38591
"Scaly Laughingthrush","Trochalopteron subunicolor","scalau1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Data Deficient","Uncertain","Restricted","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",1,NA,NA,"Scaly Laughingthrush","Trochalopteron subunicolor","Scaly Laughingthrush","Trochalopteron subunicolor","Least Concern","Schedule-II","","",NA,"Scaly Laughingthrush","Trochalopteron subunicolor","avibase-C9493A71",1,3.87,1,0.175214768,990,"X","X","X",24,0.333333333333333,0.505208333333333,0.75,15.0833333333333,2.3827981561895,24.6774810653954,45.5960647928181,106.690797143678,-350195.875616414,1.09598296058379,350198.067582335,103.590134116927,134.883869085753,175.570447268274,103.096601116393,139.139104269658,187.395539532744,102.739354963985,143.428032607007,199.626077204958,102.019302128427,147.866519469968,213.037750728889,101.085710428975,152.233638176474,227.182190321381,100.212009897506,156.812717494749,243.727096857703,99.3956229969234,161.456339359275,260.784766991901,98.5296031195087,166.465409288247,279.702961196126,NA,NA,NA,15735,15449,16021
"Brown-capped Laughingthrush","Trochalopteron austeni","brclau1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","High","Data Deficient","Data Deficient","Very Restricted","Diurnal","Diurnal","Omnivore","No","No","Yes","Eastern Himalayas","Forest","Resident",NA,NA,NA,"Brown-capped Laughingthrush","Trochalopteron austeni","Brown-capped Laughingthrush","Trochalopteron austeni","Least Concern","Schedule-I","","",NA,"Brown-capped Laughingthrush","Trochalopteron austeni","avibase-93675AD5",1,3.77,2,0.631443266,991,"","","X",6,NA,0.285714285714286,0.333333333333333,7.66666666666667,3.67263998296109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8407,7211,9603
"Blue-winged Laughingthrush","Trochalopteron squamatum","blwlau1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Omnivore","No","No","Yes","Eastern Himalayas","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Blue-winged Laughingthrush","Trochalopteron squamatum","Blue-winged Laughingthrush","Trochalopteron squamatum","Least Concern","Schedule-II","","",NA,"Blue-winged Laughingthrush","Trochalopteron squamatum","avibase-466F5979",1,4.27,1,0.23514717,992,"","","X",55,0.109090909090909,0.331818181818182,0.581818181818182,10.6,1.73572627363006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59881,59446,60316
"Streaked Laughingthrush","Trochalopteron lineatum","strlau1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","Yes","Himalayas","Non-specialized","Resident & Altitudinal Migrant",NA,NA,NA,"Streaked Laughingthrush","Trochalopteron lineatum","Streaked Laughingthrush","Trochalopteron lineatum","Least Concern","Schedule-II","","",NA,"Streaked Laughingthrush","Trochalopteron lineatum","avibase-67F7511E",1,3.6,3,0.171202794,993,"X","X","X",249,0.184738955823293,0.513052208835341,0.726907630522088,9.85140562248996,0.774788217849288,78.3016944241905,91.5032659905581,106.659940982861,-2.5400736124639,-1.1471658301288,0.2457419522063,74.4230320755616,81.5172635311057,89.1816410319692,72.7115063334017,80.5861707082307,89.2399469312381,70.9828108837869,79.7051119477643,89.3691656168286,69.3340838731866,78.8245301782619,89.4520323502867,67.7109422743176,77.9568554435218,89.6100033595668,66.0770672513769,77.0980439081202,89.7618931092449,64.4912593836845,76.2030363333159,89.9608312556291,62.9396423779042,75.3515576406602,90.1648958563441,NA,NA,NA,153414,153157,153671
"Bhutan Laughingthrush","Trochalopteron imbricatum","bhulau1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Data Deficient","Uncertain","Restricted","Diurnal","Diurnal","Invertebrate","No","No","Yes","Eastern Himalayas","Non-specialized","Resident",NA,NA,NA,"Bhutan Laughingthrush","Trochalopteron imbricatum","Bhutan Laughingthrush","Trochalopteron imbricatum","Least Concern","Schedule-II","","",NA,"Bhutan Laughingthrush","Trochalopteron imbricatum","avibase-CE76873B",1,3.62,1,0.160757639,994,"","","X",9,NA,0.666666666666667,0.888888888888889,10.8888888888889,2.96609815609749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6597,6457,6737
"Striped Laughingthrush","Trochalopteron virgatum","strlau3","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","Yes","Eastern Himalayas","Forest","Resident",NA,NA,NA,"Striped Laughingthrush","Trochalopteron virgatum","Striped Laughingthrush","Trochalopteron virgatum","Least Concern","Schedule-II","","",NA,"Striped Laughingthrush","Trochalopteron virgatum","avibase-5046CFCA",1,4.07,1,0.524603005,995,"","","X",16,NA,0.265625,0.5,8.375,2.02329063656213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20011,19638,20384
"Variegated Laughingthrush","Trochalopteron variegatum","varlau1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Fruit & Nect","No","No","Yes","Himalayas","Forest & Plantation","Resident & Altitudinal Migrant",NA,NA,NA,"Variegated Laughingthrush","Trochalopteron variegatum","Variegated Laughingthrush","Trochalopteron variegatum","Least Concern","Schedule-II","","",NA,"Variegated Laughingthrush","Trochalopteron variegatum","avibase-9779E4D3",1,3.97,2,0.348317512,996,"","X","X",152,0.131578947368421,0.407894736842105,0.552631578947368,10.0592105263158,0.90824232135879,NA,NA,NA,-4.98798465723779,-1.48799565537432,2.01199334648914,101.692681486909,122.186271333221,146.385963069859,98.3328084327084,121.121958640854,148.766702206249,95.072561625242,120.008865096978,151.106242282649,91.851052816319,118.978800777403,153.589872338284,88.707341755646,117.839280552531,156.178488525145,85.6645580216657,116.740804621842,158.86198380764,82.8048471768628,115.77787523435,161.509391947076,79.9649236297245,114.869563017778,164.224461386527,NA,NA,NA,91675,91412,91938
"Black-faced Laughingthrush","Trochalopteron affine","blflau1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",1,NA,NA,"Black-faced Laughingthrush","Trochalopteron affine","Black-faced Laughingthrush","Trochalopteron affine","Least Concern","Schedule-II","","",NA,"Black-faced Laughingthrush","Trochalopteron affine","avibase-06A0BB28",1,4.15,2,0.092477791,997,"","","X",43,0.186046511627907,0.491279069767442,0.511627906976744,10.8372093023256,2.05217546061407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30256,29854,30658
"Elliot's Laughingthrush","Trochalopteron elliotii","elllau1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Uncertain",NA,1,NA,"Elliot's Laughingthrush","Trochalopteron elliotii","Elliot's Laughingthrush","Trochalopteron elliotii","Least Concern","Schedule-II","","",NA,"Elliot's Laughingthrush","Trochalopteron elliotii","avibase-9CBD5A5C",NA,3.71,1,0.011215464,998,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum","chclau2","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","Yes","Himalayas","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum","Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum","Least Concern","Schedule-II","","",NA,"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum","avibase-F9A2B4EB",1,4.15,2,0.480077958,999,"X","X","X",146,0.143835616438356,0.451198630136986,0.616438356164384,11.1506849315068,1.04072256141051,95.3181695284979,119.211742803616,145.552166298563,-0.201890039558848,1.46193286114376,3.12575576184637,94.5989297778464,104.4204345106,115.456439276103,94.665079529965,105.852707059688,118.635906541488,94.6407351977026,107.356218036218,122.036581674971,94.6568671384283,108.816341035342,125.472513593219,94.6526163583137,110.212904873514,129.122041737742,94.5753647604883,111.628175453605,132.827730276326,94.4429303986936,113.144315964457,136.67708006057,94.354614362526,114.749260956164,140.531623717863,NA,NA,NA,101637,101359,101915
"Assam Laughingthrush","Trochalopteron chrysopterum","asslau1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","Yes","Eastern Himalayas","Forest","Resident",NA,NA,NA,"Assam Laughingthrush","Trochalopteron chrysopterum","Assam Laughingthrush","Trochalopteron chrysopterum","Least Concern","Schedule-II","","",NA,"Assam Laughingthrush","Trochalopteron chrysopterum","avibase-3467E0CF",1,4.07,4,0.241640817,1000,"","","X",21,0.0476190476190476,0.345238095238095,0.619047619047619,8.47619047619048,1.63772742271451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23659,23389,23929
"Banasura Laughingthrush","Montecincla jerdoni","bkclau1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","High","Data Deficient","Data Deficient","Very Restricted","Diurnal","Diurnal","Fruit & Nect","Yes","Yes","No","Western Ghats","Forest","Resident",NA,NA,NA,"Banasura Laughingthrush","Montecincla jerdoni","Banasura Chilappan","Montecincla jerdoni","Endangered","Schedule-I","","",NA,"Banasura Laughingthrush","Montecincla jerdoni","avibase-F192C0CB",1,4.34,1,1,1001,"","","X",4,NA,0.458333333333333,0.5,24.75,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2443,2443,2443
"Nilgiri Laughingthrush","Montecincla cachinnans","bkclau2","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","High","Uncertain","Uncertain","Very Restricted","Diurnal","Diurnal","Fruit & Nect","Yes","Yes","No","Western Ghats","Forest & Plantation","Resident",NA,NA,NA,"Nilgiri Laughingthrush","Montecincla cachinnans","Nilgiri Chilappan","Montecincla cachinnans","Near Threatened","Schedule-I","","",NA,"Nilgiri Laughingthrush","Montecincla cachinnans","avibase-E39255D9",1,3.72,1,1,1002,"X","X","X",8,0.625,0.625,0.75,23.875,1.07592983042576,34.225623591365,63.4281091728976,131.028705416745,-6356979.46195895,2.03335321742741,6356983.52866539,135.955436275559,176.875595264981,230.482951143126,137.524349505649,185.257207299129,250.04542213946,139.0758663091,194.156088150869,271.440077442571,140.208890336824,203.349674786849,295.169416884374,141.385487721087,213.176255001247,320.698459075768,142.635468859153,223.635758159255,349.263254543252,143.839036208367,234.110436299464,380.190819744979,145.131744704471,245.282890336382,413.610823953257,NA,NA,NA,4279,4272,4286
"Palani Laughingthrush","Montecincla fairbanki","kerlau2","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Uncertain","Uncertain","Restricted","Diurnal","Diurnal","Fruit & Nect","Yes","Yes","No","Western Ghats","Forest & Plantation","Resident",NA,NA,NA,"Palani Laughingthrush","Montecincla fairbanki","Palani Chilappan","Montecincla fairbanki","Near Threatened","Schedule-II","","",NA,"Palani Laughingthrush","Montecincla fairbanki","avibase-7BF8790B",1,3.88,1,1,1003,"X","X","X",16,0.25,0.5859375,0.5625,21.625,1.94256831711697,84.840855144322,156.263783881591,343.464452592478,-384616.716158333,3.98297158697218,384624.682101507,132.946610274887,172.000905142703,222.342568357697,132.614641157894,177.5169343806,237.230273611216,132.188324035344,183.221671380862,253.086651975927,131.703961104235,189.198753394449,270.530032621628,131.194774363203,195.146967544882,289.33107006083,130.452634113628,201.550482853413,309.506577099107,129.767336605006,207.980409474725,331.176448051674,129.24646908651,214.636971602535,354.64329917987,NA,NA,NA,9411,9325,9497
"Ashambu Laughingthrush","Montecincla meridionalis","kerlau3","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","High","Data Deficient","Data Deficient","Very Restricted","Diurnal","Diurnal","Fruit & Nect","Yes","Yes","No","Western Ghats","Forest","Resident",NA,NA,NA,"Ashambu Laughingthrush","Montecincla meridionalis","Ashambu Chilappan","Montecincla meridionalis","Vulnerable","Schedule-I","","",NA,"Ashambu Laughingthrush","Montecincla meridionalis","avibase-9D9DBBDC",1,3.73,1,1,1004,"","","X",6,0.666666666666667,0.388888888888889,0.333333333333333,22.5,1.49697472701891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,1788,2154
"Long-tailed Sibia","Heterophasia picaoides","lotsib1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Long-tailed Sibia","Heterophasia picaoides","Long-tailed Sibia","Heterophasia picaoides","Least Concern","Schedule-II","","",NA,"Long-tailed Sibia","Heterophasia picaoides","avibase-3C8820C7",1,3.23,1,0.11572561,1005,"X","X","X",38,0.157894736842105,0.325657894736842,0.421052631578947,9.1578947368421,1.66207375940494,28.3197444761665,44.1154045808937,70.7644855435711,-3.47719597843274,-1.88829641170846,-0.299396844984175,53.5052470646357,63.4160332364873,74.9501244011337,50.5604671838546,61.2216848082193,74.0830634555005,47.6940046083315,59.2644297960677,73.332327137987,45.016272694033,57.2287614790333,72.5597826336698,42.4929313386171,55.3950516415116,71.8297983619848,40.0594571814977,53.6188992934452,71.051195213293,37.7433598594854,51.9707334212616,70.3333583051605,35.5793710259311,50.1994530194984,69.722656992477,NA,NA,NA,24841,24531,25151
"Rufous Sibia","Heterophasia capistrata","rufsib1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Omnivore","No","No","Yes","Himalayas","Forest & Plantation","Resident & Altitudinal Migrant",NA,NA,NA,"Rufous Sibia","Heterophasia capistrata","Rufous Sibia","Heterophasia capistrata","Least Concern","Schedule-II","","",NA,"Rufous Sibia","Heterophasia capistrata","avibase-50BF5295",1,3.65,3,0.480660775,1006,"X","X","X",167,0.197604790419162,0.521706586826347,0.640718562874252,11.9760479041916,0.918798598380639,86.6907092694314,107.97200964495,130.270180471379,-0.175402627922342,0.957588238783138,2.09057910548862,100.931857402156,108.039176931646,115.903967024011,100.905426654554,109.007434376999,118.011631353318,100.881649920902,109.996737556982,120.252347335689,100.812221147191,111.098026307289,122.573766596821,100.810997860441,112.095937402771,124.930301394001,100.784604633182,113.107173141167,127.338941313623,100.739450569417,114.203484918834,130.020168399603,100.723931543841,115.2800850985,132.644826547518,NA,NA,NA,104787,104539,105035
"Beautiful Sibia","Heterophasia pulchella","beasib1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","Yes","Eastern Himalayas","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Beautiful Sibia","Heterophasia pulchella","Beautiful Sibia","Heterophasia pulchella","Least Concern","Schedule-II","","",NA,"Beautiful Sibia","Heterophasia pulchella","avibase-F990AA6C",1,4.19,2,0.360177523,1007,"","","X",58,0.0862068965517241,0.299568965517241,0.53448275862069,6.60344827586207,1.13051717102968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40325,40011,40639
"Gray Sibia","Heterophasia gracilis","grysib1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","Yes","Eastern Himalayas","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Grey Sibia","Heterophasia gracilis","Grey Sibia","Heterophasia gracilis","Least Concern","Schedule-II","","",NA,"Grey Sibia","Heterophasia gracilis","avibase-3B369923",1,3.83,1,0.352355327,1008,"","","X",44,0.0681818181818182,0.409090909090909,0.636363636363636,7.56818181818182,1.18774712977222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40995,40810,41180
"Hoary-throated Barwing","Actinodura nipalensis","hotbar1","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)","Moderate","Data Deficient","Uncertain","Restricted","Diurnal","Diurnal","Invertebrate","No","No","Yes","Eastern Himalayas","Forest","Resident",NA,NA,NA,"Hoary-throated Barwing","Actinodura nipalensis","Hoary-throated Barwing","Sibia nipalensis","Least Concern","Schedule-II","","",NA,"Hoary-throated Barwing","Actinodura nipalensis","avibase-05F6BA7F",1,4.09,1,0.128999638,1009,"X","X","X",24,0.375,0.46875,0.583333333333333,14.3333333333333,2.66345059689974,16.1730244270015,26.9915434948901,55.7035724577578,-570614.254699797,-0.695367618241944,570612.863964561,42.6520488964076,58.4449129006605,80.2268858318983,40.1976091682908,57.5754881102296,82.1659212433608,37.9446740595757,56.8026086300977,84.1697597691801,35.7047663749762,55.9826064248001,86.7344089237182,33.5880823794788,54.991215052592,89.3125950106256,31.6406677119689,53.9549493800112,91.4025412192145,29.7626410148035,53.1222137869145,94.2919909776921,28.0265722118131,52.3442594875439,97.2653573780995,NA,NA,NA,14917,14630,15204
