eBird.English.Name.2022,longtermlci,longtermmean,longtermrci,currentslopelci,currentslopemean,currentsloperci,rangelci,rangemean,rangerci,SOIBv2.Long.Term.Status,SOIBv2.Current.Status,SOIBv2.Range.Status,SOIBv2.Priority.Status
Plain Flowerpecker,NA,NA,NA,-5.58540657,-3.160491307,-0.735576045,12.914,12.989,13.064,Insufficient Data,Trend Inconclusive,Moderate,Low
Andaman Flowerpecker,9.475819411,33.64430946,62.06741909,-4.848341794,-1.492013246,1.864315302,0.503,0.503,0.503,Trend Inconclusive,Trend Inconclusive,Restricted,Moderate
Fire-breasted Flowerpecker,-34.91851255,-15.57165845,10.77743516,-3.325925144,-0.89530336,1.535318425,13.919,13.963,14.007,Stable,Stable,Moderate,Low
Scarlet-backed Flowerpecker,-28.03467199,-7.623252608,16.05600075,1.604351692,4.916227181,8.22810267,11.613,11.653,11.693,Stable,Trend Inconclusive,Moderate,Low
Ruby-cheeked Sunbird,NA,NA,NA,NA,NA,NA,9.24,9.303,9.366,Insufficient Data,Insufficient Data,Moderate,Low
Purple-rumped Sunbird,16.17677721,31.06881857,47.47083843,0.711533024,2.059867791,3.408202557,130.563,130.598,130.633,Trend Inconclusive,Trend Inconclusive,Very Large,Low
Crimson-backed Sunbird,-65.9511402,-57.49785095,-46.46640114,-2.138013417,0.584536598,3.307086613,12.931,12.95,12.969,Decline,Trend Inconclusive,Moderate,Moderate
Van Hasselt's Sunbird,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purple Sunbird,49.7662245,66.09006549,85.39783973,0.448465222,1.793122257,3.137779293,179.426,179.46,179.494,Increase,Trend Inconclusive,Very Large,Low
Olive-backed Sunbird,NA,NA,NA,NA,NA,NA,0.832,0.838,0.844,Insufficient Data,Insufficient Data,Restricted,Moderate
Loten's Sunbird,-39.99729088,-29.09998002,-16.86261742,2.958322805,5.081692613,7.205062421,30.626,30.669,30.712,Trend Inconclusive,Rapid Increase,Large,Low
Fire-tailed Sunbird,NA,NA,NA,-5.583941521,-3.137418097,-0.690894673,5.534,5.576,5.618,Insufficient Data,Trend Inconclusive,Moderate,Low
Black-throated Sunbird,-17.59420302,11.11543739,48.58824545,-1.03058791,2.570084291,6.170756492,9.47,9.516,9.562,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Mrs. Gould's Sunbird,NA,NA,NA,-5.999229357,-3.236865507,-0.474501657,7.592,7.642,7.692,Insufficient Data,Trend Inconclusive,Moderate,Low
Green-tailed Sunbird,-9.240515362,16.5831823,50.36220542,-4.103768578,-2.05446442,-0.005160262,8.163,8.197,8.231,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Vigors's Sunbird,NA,NA,NA,-3.61805741,-1.514728988,0.588599433,7.416,7.452,7.488,Insufficient Data,Stable,Moderate,Low
Crimson Sunbird,-1.065122123,16.81320261,38.51667914,-3.328955436,-1.885899231,-0.442843025,27.306,27.357,27.408,Stable,Trend Inconclusive,Large,Low
Little Spiderhunter,-69.24432003,-62.47357222,-54.31219879,-4.166141217,-2.310438591,-0.454735965,21.459,21.5,21.541,Rapid Decline,Trend Inconclusive,Moderate,Moderate
Streaked Spiderhunter,-44.65803335,-29.58879634,-10.84933998,-4.233112787,-2.18604419,-0.138975592,12.701,12.747,12.793,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Asian Fairy-bluebird,-56.44623935,-47.54494183,-35.54442379,-2.342946828,-0.353648779,1.63564927,16.389,16.415,16.441,Decline,Stable,Moderate,Moderate
Blue-winged Leafbird,NA,NA,NA,NA,NA,NA,3.869,3.929,3.989,Insufficient Data,Insufficient Data,Restricted,Moderate
Jerdon's Leafbird,-47.2886821,-38.51129412,-28.00288015,-2.163019719,-0.586352303,0.990315114,70.892,70.957,71.022,Decline,Stable,Large,Low
Golden-fronted Leafbird,-46.13910996,-36.22411072,-24.89321775,-2.810035763,-1.277804901,0.254425961,52.768,52.814,52.86,Trend Inconclusive,Stable,Large,Low
Orange-bellied Leafbird,-37.4241284,-19.81294641,3.268259453,-5.898017255,-3.790673133,-1.68332901,14.672,14.724,14.776,Stable,Decline,Moderate,Moderate
Streaked Weaver,-62.54045949,-53.87375677,-43.44404123,-4.218459039,-2.323136726,-0.427814412,21.856,21.856,21.856,Decline,Trend Inconclusive,Moderate,Moderate
Baya Weaver,-12.19231866,-0.89415309,11.87442633,-0.217036359,1.144785129,2.506606617,175.605,175.658,175.711,Stable,Stable,Very Large,Low
Finn's Weaver,NA,NA,NA,NA,NA,NA,0.699,0.792,0.885,Insufficient Data,Insufficient Data,Restricted,High
Black-breasted Weaver,-35.97729608,-17.67549705,6.22158473,-3.653349835,-1.627344459,0.398660917,37.447,37.519,37.591,Stable,Stable,Large,Low
Indian Silverbill,-18.73403715,-8.835168042,2.482287214,-0.507209791,0.890729269,2.288668328,171.595,171.642,171.689,Stable,Trend Inconclusive,Very Large,Low
Scaly-breasted Munia,44.74980841,64.74966199,86.55429855,1.006412168,2.638340872,4.270269576,184.567,184.618,184.669,Increase,Trend Inconclusive,Very Large,Low
Black-throated Munia,-2.279676005,27.48006847,63.16441824,3.746906754,7.145163125,10.5434195,10.608,10.64,10.672,Trend Inconclusive,Trend Inconclusive,Moderate,Low
White-rumped Munia,-13.56941956,0.178210708,15.60680103,-0.324358678,1.28851133,2.901381339,75.175,75.234,75.293,Stable,Stable,Large,Low
Tricolored Munia,-25.04760583,-7.005201718,14.26003973,-1.869147397,0.498225886,2.86559917,107.048,107.119,107.19,Stable,Stable,Very Large,Low
Chestnut Munia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Avadavat,NA,NA,NA,NA,NA,NA,1.117,1.175,1.233,Insufficient Data,Insufficient Data,Restricted,High
Red Avadavat,5.373211143,29.02845995,58.54005466,-2.572935022,-0.484689099,1.603556823,104.887,104.949,105.011,Trend Inconclusive,Stable,Very Large,Low
Alpine Accentor,NA,NA,NA,-5.617017325,-2.933144664,-0.249272003,8.93,8.98,9.03,Insufficient Data,Trend Inconclusive,Moderate,Low
Altai Accentor,NA,NA,NA,NA,NA,NA,2.776,2.822,2.868,Insufficient Data,Insufficient Data,Restricted,Moderate
Robin Accentor,NA,NA,NA,NA,NA,NA,6.245,6.28,6.315,Insufficient Data,Insufficient Data,Moderate,Low
Rufous-breasted Accentor,-62.71790284,-49.85507948,-33.5198193,-1.684467086,2.224088731,6.132644547,13.072,13.121,13.17,Decline,Trend Inconclusive,Moderate,Moderate
Brown Accentor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black-throated Accentor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maroon-backed Accentor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
House Sparrow,-26.23511279,-17.96235498,-8.8365179,-3.987494766,-2.974686149,-1.961877531,197.756,197.788,197.82,Trend Inconclusive,Decline,Very Large,Moderate
Spanish Sparrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sind Sparrow,NA,NA,NA,-5.61003664,-2.332112552,0.945811535,10.175,10.248,10.321,Insufficient Data,Trend Inconclusive,Moderate,Low
Russet Sparrow,21.32892479,44.20600478,72.74422174,-1.846016707,-0.039511655,1.766993397,16.746,16.774,16.802,Trend Inconclusive,Stable,Moderate,Low
Eurasian Tree Sparrow,-44.42087188,-33.53251302,-21.22804259,-3.125417809,-1.431083786,0.263250237,17.022,17.056,17.09,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Yellow-throated Sparrow,-32.54691329,-18.84301826,-4.24731105,-1.925438053,0.024553763,1.97454558,139.668,139.729,139.79,Trend Inconclusive,Stable,Very Large,Low
Rock Sparrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pale Rockfinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black-winged Snowfinch,NA,NA,NA,NA,NA,NA,4.038,4.069,4.1,Insufficient Data,Insufficient Data,Restricted,Moderate
White-rumped Snowfinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rufous-necked Snowfinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blanford's Snowfinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forest Wagtail,-78.69262466,-73.74136914,-67.49373926,-8.487906325,-7.17676807,-5.865629814,17.585,17.585,17.585,Rapid Decline,Rapid Decline,Moderate,High
Gray Wagtail,-52.72694896,-46.80421509,-39.83603252,-5.163870183,-4.126371803,-3.088873423,100.378,100.378,100.378,Decline,Rapid Decline,Very Large,Moderate
Western Yellow Wagtail,-44.25146137,-35.00706207,-24.3766228,-5.843843088,-4.63444621,-3.425049331,151.051,151.108,151.165,Trend Inconclusive,Rapid Decline,Very Large,Moderate
Eastern Yellow Wagtail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrine Wagtail,-35.38938924,-24.37217746,-12.86259786,-4.532072545,-3.313768046,-2.095463547,60.137,60.137,60.137,Trend Inconclusive,Decline,Large,Moderate
White-browed Wagtail,-39.21759911,-31.9584126,-23.76539673,-1.44565609,-0.195503102,1.054649886,186.861,186.909,186.957,Trend Inconclusive,Stable,Very Large,Low
White Wagtail,-56.97078192,-51.42634682,-45.32783765,-6.084990411,-5.154915887,-4.224841363,156.079,156.124,156.169,Decline,Rapid Decline,Very Large,Moderate
Richard's Pipit,NA,NA,NA,NA,NA,NA,8.388,8.388,8.388,Insufficient Data,Insufficient Data,Moderate,Low
Paddyfield Pipit,-23.13730115,-11.40937212,1.808263659,-3.999140612,-2.735687473,-1.472234334,193.67,193.724,193.778,Stable,Decline,Very Large,Low
Long-billed Pipit,-70.02843636,-62.0954839,-52.49411623,-5.70939886,-3.369348138,-1.029297417,28.385,28.461,28.537,Rapid Decline,Trend Inconclusive,Large,Moderate
Blyth's Pipit,NA,NA,NA,7.443929764,13.8858889,20.32784804,17.285,17.285,17.285,Insufficient Data,Trend Inconclusive,Moderate,Low
Tawny Pipit,-72.36905518,-67.05472746,-60.6544945,-7.536161675,-6.379615988,-5.223070301,71.875,71.948,72.021,Rapid Decline,Rapid Decline,Large,High
Nilgiri Pipit,-86.66813443,-76.39669271,-58.76922855,-6.414696614,-1.101019946,4.212656723,0.735,0.735,0.735,Trend Inconclusive,Trend Inconclusive,Very Restricted,High
Upland Pipit,NA,NA,NA,NA,NA,NA,4.999,5.047,5.095,Insufficient Data,Insufficient Data,Moderate,Low
Meadow Pipit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosy Pipit,-42.99827995,-30.00076012,-12.50284227,-1.245022561,1.121065777,3.487154116,18.951,19.021,19.091,Trend Inconclusive,Stable,Moderate,Low
Tree Pipit,-63.82865525,-55.43509461,-44.61617462,-6.505761195,-4.756739741,-3.007718288,104.277,104.347,104.417,Decline,Decline,Very Large,Moderate
Olive-backed Pipit,-71.77707272,-66.16333677,-59.72570154,-5.216344633,-3.769130648,-2.321916663,54.98,55.043,55.106,Rapid Decline,Decline,Large,High
Red-throated Pipit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Water Pipit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Pipit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Chaffinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brambling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black-and-yellow Grosbeak,NA,NA,NA,-4.081563872,-1.344179511,1.39320485,6.222,6.277,6.332,Insufficient Data,Trend Inconclusive,Moderate,Low
Collared Grosbeak,NA,NA,NA,NA,NA,NA,3.275,3.349,3.423,Insufficient Data,Insufficient Data,Restricted,Moderate
Spot-winged Grosbeak,NA,NA,NA,-6.500964922,-2.426778125,1.647408673,4.941,4.998,5.055,Insufficient Data,Trend Inconclusive,Moderate,Low
White-winged Grosbeak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawfinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Rosefinch,-34.25608884,-23.78742149,-9.306488668,-5.058137262,-3.834957956,-2.61177865,35.388,35.388,35.388,Trend Inconclusive,Decline,Large,Moderate
Scarlet Finch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blyth's Rosefinch,NA,NA,NA,NA,NA,NA,2.464,2.524,2.584,Insufficient Data,Insufficient Data,Restricted,Moderate
Himalayan Beautiful Rosefinch,NA,NA,NA,NA,NA,NA,1.637,1.675,1.713,Insufficient Data,Insufficient Data,Restricted,Moderate
Pink-rumped Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dark-rumped Rosefinch,NA,NA,NA,NA,NA,NA,2.088,2.124,2.16,Insufficient Data,Insufficient Data,Restricted,Moderate
Pink-browed Rosefinch,NA,NA,NA,1.202423863,6.380227423,11.55803098,9.851,9.89,9.929,Insufficient Data,Trend Inconclusive,Moderate,Low
Spot-winged Rosefinch,NA,NA,NA,NA,NA,NA,1.844,1.901,1.958,Insufficient Data,Insufficient Data,Restricted,Moderate
Vinaceous Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pale Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sillem's Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streaked Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red-fronted Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crimson-browed Finch,NA,NA,NA,NA,NA,NA,1.593,1.631,1.669,Insufficient Data,Insufficient Data,Restricted,Moderate
Three-banded Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Himalayan White-browed Rosefinch,NA,NA,NA,NA,NA,NA,1.997,2.028,2.059,Insufficient Data,Insufficient Data,Restricted,Moderate
Chinese White-browed Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Bullfinch,NA,NA,NA,NA,NA,NA,3.573,3.633,3.693,Insufficient Data,Insufficient Data,Restricted,Moderate
Orange Bullfinch,NA,NA,NA,0.942512474,29.30769149,57.67287051,1.442,1.491,1.54,Insufficient Data,Trend Inconclusive,Restricted,Moderate
Red-headed Bullfinch,NA,NA,NA,-1.041195639,4.008262075,9.057719789,5.191,5.234,5.277,Insufficient Data,Trend Inconclusive,Moderate,Low
Gray-headed Bullfinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crimson-winged Finch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trumpeter Finch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mongolian Finch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blanford's Rosefinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gold-naped Finch,NA,NA,NA,NA,NA,NA,1.776,1.804,1.832,Insufficient Data,Insufficient Data,Restricted,Moderate
Spectacled Finch,NA,NA,NA,NA,NA,NA,2.956,3.035,3.114,Insufficient Data,Insufficient Data,Restricted,Moderate
Dark-breasted Rosefinch,NA,NA,NA,-6.057993074,-2.524679237,1.008634599,5.445,5.484,5.523,Insufficient Data,Trend Inconclusive,Moderate,Low
Plain Mountain Finch,-60.24330395,-51.08859137,-39.11214593,-2.860664131,-0.354275106,2.152113919,15.408,15.452,15.496,Decline,Trend Inconclusive,Moderate,Moderate
Black-headed Mountain Finch,NA,NA,NA,NA,NA,NA,5.147,5.177,5.207,Insufficient Data,Insufficient Data,Moderate,Low
Desert Finch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow-breasted Greenfinch,-56.89876908,-44.7945432,-27.974219,-2.778889051,-0.151932558,2.475023935,11.548,11.548,11.548,Decline,Stable,Moderate,Moderate
Black-headed Greenfinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twite,NA,NA,NA,NA,NA,NA,3.923,3.966,4.009,Insufficient Data,Insufficient Data,Restricted,Moderate
Eurasian Linnet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Crossbill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
European Goldfinch,NA,NA,NA,-2.1334978,1.474972915,5.083443629,10.413,10.461,10.509,Insufficient Data,Trend Inconclusive,Moderate,Low
Fire-fronted Serin,-38.29457008,-19.38488823,3.651438011,-1.211406804,2.071551133,5.35450907,11.26,11.302,11.344,Stable,Trend Inconclusive,Moderate,Low
Tibetan Serin,NA,NA,NA,NA,NA,NA,1.015,1.051,1.087,Insufficient Data,Insufficient Data,Restricted,Moderate
Eurasian Siskin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crested Bunting,-64.83671606,-56.09171503,-45.23644558,-4.75503764,-2.973678894,-1.192320147,27.674,27.753,27.832,Decline,Trend Inconclusive,Large,Moderate
Black-headed Bunting,NA,NA,NA,-3.767579189,-1.752185942,0.263207304,49.163,49.182,49.201,Insufficient Data,Trend Inconclusive,Large,Low
Red-headed Bunting,-96.06948076,-46.50976476,956.9401632,-458.5133269,21.31303988,501.1394067,38.835,38.907,38.979,Trend Inconclusive,Trend Inconclusive,Large,Low
Chestnut-eared Bunting,NA,NA,NA,NA,NA,NA,3.21,3.282,3.354,Insufficient Data,Insufficient Data,Restricted,Moderate
Rock Bunting,-48.67861847,-36.07723618,-20.24783131,-1.952788804,0.643642531,3.240073866,17.061,17.094,17.127,Trend Inconclusive,Stable,Moderate,Low
Godlewski's Bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-capped Bunting,NA,NA,NA,-1.18489186,1.748178523,4.681248906,7.828,7.828,7.828,Insufficient Data,Trend Inconclusive,Moderate,Low
Yellowhammer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pine Bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gray-necked Bunting,-85.74861423,-80.88149645,-74.85552588,-5.57255615,-2.995963778,-0.419371406,39.248,39.323,39.398,Rapid Decline,Trend Inconclusive,Large,Moderate
Ortolan Bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Striolated Bunting,NA,NA,NA,NA,NA,NA,4.77,4.845,4.92,Insufficient Data,Insufficient Data,Moderate,Low
Reed Bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow-breasted Bunting,NA,NA,NA,NA,NA,NA,0.95,0.989,1.028,Insufficient Data,Insufficient Data,Restricted,High
Little Bunting,NA,NA,NA,NA,NA,NA,5.514,5.566,5.618,Insufficient Data,Insufficient Data,Moderate,Low
Rustic Bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black-faced Bunting,NA,NA,NA,NA,NA,NA,2.69,2.754,2.818,Insufficient Data,Insufficient Data,Restricted,Moderate
Chestnut Bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow-browed Bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tristram's Bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
