"","Species","MinAOO","MaxAOO","MinEstimate_2km","EOOStartYear","LikelyEOO","MaxEOO","EOOYearBandChange","EOOChange","EOOChangePercent"
"168","Buffy Fish-Owl",46,238,40,2021,474,1473,NA,NA,NA
"169","Brahminy Kite",NA,NA,NA,2018,5812884,NA,NA,NA,NA
"170","Alexandrine Parakeet",NA,NA,NA,2016,5564625,NA,NA,NA,NA
"171","Barn Swallow",NA,NA,NA,2019,7325564,NA,NA,NA,NA
"172","Black-capped Kingfisher",2549,672826,1600,2008,4129296,NA,NA,NA,NA
"173","Blue-tailed Bee-eater",NA,NA,NA,2015,5971133,NA,NA,NA,NA
"174","Common Sandpiper",NA,NA,NA,2016,7114957,NA,NA,NA,NA
"175","Forest Wagtail",NA,NA,NA,2016,4418852,NA,NA,NA,NA
"176","Narcondam Hornbill",17,23,8,2024,2,412,NA,NA,NA
"177","Ornate Sunbird",3237,7490,1436,2014,241526,NA,NA,NA,NA
"178","Pacific Reef-Heron",1466,4728,860,2017,111615,NA,NA,NA,NA
"179","Pied Imperial-Pigeon",687,2951,460,2022,107898,NA,NA,NA,NA
"180","Ruddy Turnstone",3668,673861,1720,2013,4973899,NA,NA,NA,NA
"181","White-nest Swiftlet",1468,4419,724,2020,107416,NA,NA,NA,NA
"182","Arctic Warbler",103,1342,64,2014,28898,42434,NA,NA,NA
"183","Brown Bush Warbler",157,26165,84,2020,83758,NA,NA,NA,NA
"184","Andaman Crake",524,2787,356,2017,11120,16670,NA,NA,NA
"185","Andaman Teal",1079,2787,220,2018,12033,19365,NA,NA,NA
"186","Asian Brown Flycatcher",NA,NA,NA,2014,5432704,NA,NA,NA,NA
"187","Beach Thick-knee",232,2642,188,2019,13816,21662,NA,NA,NA
"188","Nicobar Pigeon",302,1875,200,2020,91828,NA,NA,NA,NA
"189","Indian White-eye",NA,NA,NA,2018,7220528,NA,NA,NA,NA
"190","Red-throated Pipit",385,629914,148,2015,3120471,NA,NA,NA,NA
"191","White-breasted Waterhen",NA,NA,NA,2014,7247772,NA,NA,NA,NA
"192","Falcated Duck",491,228060,280,2019,1031730,NA,"2011-2018 to 2019-2025",-1175192,-53.2502725922599
"193","Black Eagle",NA,NA,NA,2015,4263073,NA,NA,NA,NA
"194","Puff-throated Babbler",NA,NA,NA,2017,4072243,NA,NA,NA,NA
"195","Indian Paradise-Flycatcher",NA,NA,NA,2014,3794863,NA,NA,NA,NA
"196","Brown-headed Barbet",NA,NA,NA,2015,2832047,NA,NA,NA,NA
"197","Common Cuckoo",NA,NA,NA,2020,5035380,NA,NA,NA,NA
"198","Coppersmith Barbet",NA,NA,NA,2011,4393478,NA,NA,NA,NA
"199","Large Gray Babbler",NA,NA,NA,2020,2506207,NA,NA,NA,NA
"200","Indian Cuckooshrike",NA,NA,NA,2017,2550356,NA,NA,NA,NA
"201","Oriental Magpie-Robin",NA,NA,NA,2016,6414773,NA,NA,NA,NA
"202","Pied Bushchat",NA,NA,NA,2015,4383576,NA,NA,NA,NA
"203","Red-vented Bulbul",NA,NA,NA,2017,4875266,NA,NA,NA,NA
"204","Tawny-bellied Babbler",NA,NA,NA,2015,2388323,NA,NA,NA,NA
"205","White-bellied Drongo",NA,NA,NA,2015,2756927,NA,NA,NA,NA
"206","Pied Cuckoo",NA,NA,NA,2013,4184356,NA,NA,NA,NA
"207","Indian Robin",NA,NA,NA,2015,3297651,NA,NA,NA,NA
"208","Long-tailed Shrike",NA,NA,NA,2018,5027518,NA,NA,NA,NA
"209","Tawny Lark",NA,NA,NA,2016,1381758,NA,NA,NA,NA
"210","Common Myna",NA,NA,NA,2016,6827307,NA,NA,NA,NA
"211","Greenish Warbler",NA,NA,NA,2014,6371366,NA,NA,NA,NA
"212","Streak-throated Swallow",NA,NA,NA,2020,3245717,NA,NA,NA,NA
"213","Brown Shrike",NA,NA,NA,2015,6090871,NA,NA,NA,NA
"214","Purple-rumped Sunbird",NA,NA,NA,2015,2952321,NA,NA,NA,NA
