"","Species","MinAOO","MaxAOO","MinEstimate_2km","EOOStartYear","LikelyEOO","MaxEOO","EOOYearBandChange","EOOChange","EOOChangePercent"
"662","Chestnut-crowned Laughingthrush",NA,NA,NA,2016,815212,NA,NA,NA,NA
"663","Black-throated Thrush",NA,NA,NA,2013,1820726,NA,NA,NA,NA
"664","Eurasian Jay",6271,135249,2296,2013,1203630,NA,NA,NA,NA
"665","Great Barbet",NA,NA,NA,2021,1433090,NA,NA,NA,NA
"666","Lineated Barbet",NA,NA,NA,2017,1192310,NA,NA,NA,NA
"667","Chestnut Munia",1871,334180,1140,2018,1460191,NA,NA,NA,NA
"668","Hill Partridge",NA,NA,NA,2016,1150756,NA,NA,NA,NA
"669","Bengal Bushlark",NA,NA,NA,2018,1851040,NA,NA,NA,NA
"670","Red Collared-Dove",NA,NA,NA,2016,6565017,NA,NA,NA,NA
"671","Sarus Crane",NA,NA,NA,2014,1389066,NA,NA,NA,NA
"672","Black Francolin",NA,NA,NA,2015,2274488,NA,NA,NA,NA
"673","Black-throated Accentor",1981,78653,1436,2016,213842,NA,NA,NA,NA
"674","Brown Crake",NA,NA,NA,2014,3227498,NA,NA,NA,NA
"675","Steppe Eagle",NA,NA,NA,2014,4585666,NA,NA,NA,NA
"676","Himalayan Prinia",NA,NA,NA,2015,1143756,NA,NA,NA,NA
"677","Flame-throated Bulbul",NA,NA,NA,2016,113436,NA,NA,NA,NA
"678","White-crested Laughingthrush",NA,NA,NA,2020,1205887,NA,NA,NA,NA
"679","Booted Eagle",NA,NA,NA,2018,4868203,NA,NA,NA,NA
"680","Mountain Hawk-Eagle",NA,NA,NA,2017,1332217,NA,NA,NA,NA
"681","Crested Lark",NA,NA,NA,2020,1871603,NA,NA,NA,NA
"682","Great Cormorant",NA,NA,NA,2020,4757805,NA,NA,NA,NA
"683","Eurasian Curlew",NA,NA,NA,2013,6260248,NA,NA,NA,NA
"684","Bonelli's Eagle",NA,NA,NA,2015,3868405,NA,NA,NA,NA
"685","Blue-cheeked Bee-eater",NA,NA,NA,2013,1656193,NA,NA,NA,NA
"686","Black-necked Stork",NA,NA,NA,2013,2165208,NA,NA,NA,NA
"687","Greater Whitethroat",784,93439,640,2021,308659,NA,NA,NA,NA
"688","Red-naped Ibis",NA,NA,NA,2016,3598831,NA,NA,NA,NA
"689","White-tailed Lapwing",NA,NA,NA,2013,1832532,NA,NA,NA,NA
"690","Black-tailed Godwit",NA,NA,NA,2015,5884812,NA,NA,NA,NA
"691","Pallas's Gull",NA,NA,NA,2015,4334768,NA,NA,NA,NA
"692","Jungle Nightjar",NA,NA,NA,2013,2125780,NA,NA,NA,NA
"693","Gull-billed Tern",NA,NA,NA,2012,2927918,NA,NA,NA,NA
"694","Oriental Pratincole",NA,NA,NA,2013,4903357,NA,NA,NA,NA
"695","Spotted Redshank",NA,NA,NA,2022,4329853,NA,NA,NA,NA
"696","Chestnut-headed Bee-eater",NA,NA,NA,2018,4682329,NA,NA,NA,NA
"697","Indochinese Roller",NA,NA,NA,2014,1228362,NA,NA,NA,NA
"698","Oriental Cuckooshrike",NA,NA,NA,2018,2422712,NA,NA,NA,NA
"699","Lesser Adjutant",NA,NA,NA,2015,2656091,NA,NA,NA,NA
"700","Hen Harrier",1879,186737,1296,2020,1316607,NA,"2015-2019 to 2020-2025",-1672313,-55.9504175096132
"701","Red Junglefowl",NA,NA,NA,2018,2664250,NA,NA,NA,NA
"702","Swamp Francolin",1693,37121,908,2015,337610,NA,NA,NA,NA
"703","Taiga Flycatcher",NA,NA,NA,2016,5819359,NA,NA,NA,NA
"704","Aberrant Bush Warbler",1732,159976,1212,2015,1173101,NA,NA,NA,NA
"705","Daurian Redstart",1628,52359,1144,2018,181459,NA,NA,NA,NA
"706","Delicate Prinia",NA,NA,NA,2021,2332613,NA,NA,NA,NA
"707","Greater Adjutant",1529,21680,888,2013,75736,NA,NA,NA,NA
"708","Kalij Pheasant",NA,NA,NA,2021,1234364,NA,NA,NA,NA
"709","Kentish Plover",NA,NA,NA,2014,6028634,NA,NA,NA,NA
"710","Sand Lark",NA,NA,NA,2011,2509956,NA,NA,NA,NA
"711","Smew",46,114,20,2016,40,975,NA,NA,NA
"712","Stork-billed Kingfisher",NA,NA,NA,2014,5706554,NA,NA,NA,NA
"713","White-browed Scimitar-Babbler",3234,209897,2268,2020,1326501,NA,NA,NA,NA
"714","White-tailed Stonechat",968,187074,640,2015,1075199,NA,NA,NA,NA
"715","Lesser Black-backed Gull",NA,NA,NA,2015,3311900,NA,NA,NA,NA
"716","Ashy-throated Warbler",NA,NA,NA,2018,875198,NA,NA,NA,NA
"717","Ashy Wood-Pigeon",367,84832,276,2016,628923,NA,NA,NA,NA
"718","Barred Cuckoo-Dove",3217,94970,1744,2019,390669,NA,NA,NA,NA
"719","Bay Woodpecker",5121,98758,2348,2017,408806,NA,NA,NA,NA
"720","Black-eared Shrike-Babbler",1760,90452,980,2017,377551,NA,NA,NA,NA
"721","Black-backed Forktail",2832,101646,1460,2023,540016,NA,NA,NA,NA
"722","Black-throated Sunbird",NA,NA,NA,2021,895299,NA,NA,NA,NA
"723","Blue-winged Minla",NA,NA,NA,2021,953488,NA,NA,NA,NA
"724","Sikkim Treecreeper",2007,17375,928,2021,292004,NA,NA,NA,NA
"725","Chestnut-crowned Warbler",4214,124695,1960,2020,898323,NA,NA,NA,NA
"726","Chestnut-headed Tesia",NA,NA,NA,2013,1078261,NA,NA,NA,NA
"727","Collared Falconet",1669,140996,712,2021,636172,NA,NA,NA,NA
"728","Crimson-naped Woodpecker",1383,99167,756,2015,382250,NA,NA,NA,NA
"729","Himalayan Cutia",1736,105783,792,2013,674279,NA,NA,NA,NA
"730","Dark-breasted Rosefinch",2707,117434,1508,2014,926439,NA,NA,NA,NA
"731","Dark-rumped Rosefinch",757,27946,404,2017,137906,NA,NA,NA,NA
"732","Darjeeling Woodpecker",1363,60852,632,2013,255793,NA,NA,NA,NA
"733","Greater Necklaced Laughingthrush",3687,101723,1808,2016,515135,NA,NA,NA,NA
"734","Golden-throated Barbet",4219,93091,2028,2016,405523,NA,NA,NA,NA
"735","Green-billed Malkoha",NA,NA,NA,2018,1863703,NA,NA,NA,NA
"736","Great Hornbill",9763,838408,5336,2018,3232253,NA,NA,NA,NA
"737","Common Green-Magpie",NA,NA,NA,2012,833685,NA,NA,NA,NA
"738","Greater Yellownape",NA,NA,NA,2016,1849830,NA,NA,NA,NA
"739","Gray-bellied Tesia",3318,125931,2044,2021,879305,NA,NA,NA,NA
"740","Gray-cheeked Warbler",3403,93017,1488,2016,394387,NA,NA,NA,NA
"741","Gray-throated Babbler",3659,108222,2240,2019,539955,NA,NA,NA,NA
"742","Hodgson's Redstart",1991,57684,1260,2018,249210,NA,NA,NA,NA
"743","Hoary-throated Barwing",1040,5154,516,2018,43761,NA,NA,NA,NA
"744","House Swift",NA,NA,NA,2015,1138351,NA,NA,NA,NA
"745","Large Niltava",3637,111091,1872,2018,732755,NA,NA,NA,NA
"746","Little Bunting",2623,96288,1436,2020,419644,NA,"2013-2019 to 2020-2025",-723397,-63.2870481786931
"747","Lesser Racket-tailed Drongo",NA,NA,NA,2015,1135100,NA,NA,NA,NA
"748","Mountain Imperial-Pigeon",2245,83633,1280,2018,376926,NA,NA,NA,NA
"749","Oriental Scops-Owl",NA,NA,NA,2015,5907963,NA,NA,NA,NA
"750","Pale-headed Woodpecker",559,85548,348,2019,330961,NA,NA,NA,NA
"751","Lemon-rumped Warbler",NA,NA,NA,2018,1822500,NA,NA,NA,NA
"752","Pin-tailed Green-Pigeon",2724,117087,1380,2016,836841,NA,NA,NA,NA
"753","Plain Flowerpecker",NA,NA,NA,2021,382830,NA,NA,NA,NA
"754","Pygmy Flycatcher",1278,79347,732,2017,331629,NA,NA,NA,NA
"755","Pygmy Cupwing",4322,127371,2424,2015,878049,NA,NA,NA,NA
"756","Red-billed Leiothrix",NA,NA,NA,2020,1037179,NA,NA,NA,NA
"757","Red-headed Trogon",2725,106299,1080,2021,730366,NA,NA,NA,NA
"758","Rufous-bellied Eagle",NA,NA,NA,2016,3365807,NA,NA,NA,NA
"759","Rufous-bellied Niltava",NA,NA,NA,2015,1542208,NA,NA,NA,NA
"760","Rufous-capped Babbler",4514,75900,1740,2014,294046,NA,NA,NA,NA
"761","Rufescent Prinia",2534,75726,1756,2021,311819,NA,NA,NA,NA
"762","Rufous Sibia",NA,NA,NA,2015,473914,NA,NA,NA,NA
"763","Rufous-necked Laughingthrush",3034,81782,1884,2016,368154,NA,NA,NA,NA
"764","Rufous-winged Fulvetta",4017,98236,1552,2018,389778,NA,NA,NA,NA
"765","Scarlet Finch",1655,127953,780,2022,906501,NA,NA,NA,NA
"766","Scarlet-backed Flowerpecker",NA,NA,NA,2016,445535,NA,NA,NA,NA
"767","Silver-eared Mesia",NA,NA,NA,2019,764691,NA,NA,NA,NA
"768","Slaty-backed Forktail",2845,110585,1752,2015,825311,NA,NA,NA,NA
"769","Snowy-browed Flycatcher",2504,167902,1444,2013,1062465,NA,NA,NA,NA
"770","Upland Pipit",1991,44376,1136,2018,235252,NA,NA,NA,NA
"771","White-browed Fulvetta",1947,84162,936,2017,689796,NA,NA,NA,NA
"772","White-browed Piculet",2291,141791,1428,2014,703414,NA,NA,NA,NA
"773","White-browed Shrike-Babbler",NA,NA,NA,2019,1087526,NA,NA,NA,NA
"774","Whistler's Warbler",NA,NA,NA,2022,1558675,NA,NA,NA,NA
"775","White-throated Bulbul",NA,NA,NA,2016,390146,NA,NA,NA,NA
"776","White-tailed Nuthatch",NA,NA,NA,2013,1085141,NA,NA,NA,NA
"777","Yellow-browed Tit",3233,93177,1488,2016,766545,NA,NA,NA,NA
"778","Yellow-bellied Warbler",3068,88433,1688,2016,395659,NA,NA,NA,NA
"779","Ashy Bulbul",NA,NA,NA,2015,887545,NA,NA,NA,NA
"780","Bengal Florican",412,17256,120,2017,200493,NA,NA,NA,NA
"781","Blue-breasted Quail",141,29770,68,2017,143251,NA,NA,NA,NA
"782","Blue-eared Kingfisher",2955,467389,1840,2007,3484978,NA,NA,NA,NA
"783","Brown Boobook",NA,NA,NA,2014,5885419,NA,NA,NA,NA
"784","Chestnut-capped Babbler",2303,197220,1044,2015,1154779,NA,NA,NA,NA
"785","Chestnut Bunting",173,15944,104,2021,72131,NA,"2013-2020 to 2021-2025",-159629,-68.8769536982557
"786","Dark-sided Thrush",126,24832,84,2017,303521,NA,NA,NA,NA
"787","Eyebrowed Thrush",424,539727,332,2008,3567740,NA,NA,NA,NA
"788","Jerdon's Babbler",530,55068,164,2015,500397,NA,NA,NA,NA
"789","Little Spiderhunter",NA,NA,NA,2014,2300535,NA,NA,NA,NA
"790","Little Tern",NA,NA,NA,2018,4366448,NA,NA,NA,NA
"791","Long-billed Plover",550,12565,188,2019,72312,NA,NA,NA,NA
"792","Scaly Thrush",1839,595008,1336,2017,3727116,NA,NA,NA,NA
"793","Striated Yuhina",1652,85616,1160,2021,379980,NA,NA,NA,NA
"794","Thick-billed Green-Pigeon",1915,304002,988,2012,1230640,NA,NA,NA,NA
"795","White-bellied Heron",107,9504,72,2021,36932,NA,NA,NA,NA
"796","Wreathed Hornbill",1362,65754,624,2019,256542,NA,NA,NA,NA
"797","Yellow-vented Flowerpecker",915,71044,548,2012,283862,NA,NA,NA,NA
"798","Yellow-vented Warbler",1802,106494,1248,2016,555260,NA,NA,NA,NA
"799","Black-faced Bunting",654,38682,448,2020,132203,NA,"2010-2019 to 2020-2025",-141656,-51.7258957640685
"800","Blossom-headed Parakeet",934,47858,320,2013,195912,NA,NA,NA,NA
"801","Blue-naped Pitta",1287,85603,680,2018,364867,NA,NA,NA,NA
"802","Great Crested Grebe",NA,NA,NA,2012,3305115,NA,NA,NA,NA
"803","Jerdon's Bushchat",48,43654,32,2022,313260,NA,"2012-2021 to 2022-2025",-2827,-0.894235983327967
"804","Lesser Necklaced Laughingthrush",2276,100187,1492,2020,508356,NA,NA,NA,NA
"805","Nepal Fulvetta",NA,NA,NA,2020,840064,NA,NA,NA,NA
"806","Rufous-fronted Babbler",1615,128844,1128,2020,628630,NA,NA,NA,NA
"807","White-cheeked Partridge",938,59377,376,2020,230540,NA,NA,NA,NA
"808","White-hooded Babbler",830,66981,360,2018,239817,NA,NA,NA,NA
"809","Crested Finchbill",1593,38402,736,2016,156037,NA,NA,NA,NA
"810","Dark-rumped Swift",347,31479,232,2022,110245,NA,NA,NA,NA
"811","Flavescent Bulbul",2198,48968,1348,2014,196734,NA,NA,NA,NA
"812","Golden Babbler",3720,91860,1880,2019,415420,NA,NA,NA,NA
"813","Gray Sibia",3090,31345,1364,2016,112222,NA,NA,NA,NA
"814","Rusty-fronted Barwing",4385,91370,1644,2019,390768,NA,NA,NA,NA
"815","Streak-breasted Scimitar-Babbler",5089,126737,2164,2021,863921,NA,NA,NA,NA
"816","Curlew Sandpiper",NA,NA,NA,2013,4496195,NA,NA,NA,NA
"817","Great Crested Tern",NA,NA,NA,2019,3715922,NA,NA,NA,NA
"818","Greater Sand-Plover",NA,NA,NA,2014,3886911,NA,NA,NA,NA
"819","Pied Avocet",NA,NA,NA,2015,3917992,NA,NA,NA,NA
"820","Short-eared Owl",1590,860875,964,2007,3719184,NA,NA,NA,NA
"821","Kashmir Flycatcher",396,387267,284,2014,1185035,NA,NA,NA,NA
"822","Long-legged Buzzard",NA,NA,NA,2013,3796357,NA,NA,NA,NA
"823","Rufous-fronted Prinia",NA,NA,NA,2018,1471796,NA,NA,NA,NA
"824","Gray-necked Bunting",NA,NA,NA,2010,2575673,NA,NA,NA,NA
"825","Plain Leaf Warbler",74,2384,64,2024,7325,9552,NA,NA,NA
"826","Cetti's Warbler",76,5150,52,2015,12185,20061,NA,NA,NA
"827","Isabelline Shrike",NA,NA,NA,2011,2578878,NA,NA,NA,NA
"828","Brooks's Leaf Warbler",231,47387,188,2013,135563,NA,NA,NA,NA
"829","Large-tailed Nightjar",NA,NA,NA,2018,3006857,NA,NA,NA,NA
"830","Greater Flamingo",NA,NA,NA,2009,2425896,NA,NA,NA,NA
"831","Pin-tailed Snipe",NA,NA,NA,2013,6126963,NA,NA,NA,NA
"832","Bar-tailed Godwit",2055,646523,1152,2003,3957341,NA,NA,NA,NA
"833","Heart-spotted Woodpecker",NA,NA,NA,2020,1229516,NA,NA,NA,NA
"834","Crimson-backed Sunbird",NA,NA,NA,2016,285385,NA,NA,NA,NA
"835","Malabar Lark",NA,NA,NA,2016,291981,NA,NA,NA,NA
"836","Crab-Plover",610,97810,316,2012,461136,NA,NA,NA,NA
"837","Eurasian Oystercatcher",1261,377743,552,2012,1685461,NA,NA,NA,NA
"838","Nilgiri Flycatcher",4357,22071,2204,2018,68522,NA,NA,NA,NA
"839","Gray-fronted Green-Pigeon",NA,NA,NA,2015,452720,NA,NA,NA,NA
"840","White-rumped Spinetail",NA,NA,NA,2016,1710189,NA,NA,NA,NA
"841","Black-and-orange Flycatcher",3086,15149,1488,2016,54584,NA,NA,NA,NA
"842","Nilgiri Laughingthrush",1196,1375,528,2018,2159,4268,NA,NA,NA
"843","Hill Swallow",5173,22624,2716,2011,64838,NA,NA,NA,NA
"844","Great White Pelican",NA,NA,NA,2014,1291861,NA,NA,NA,NA
"845","Greater Spotted Eagle",NA,NA,NA,2013,3944276,NA,NA,NA,NA
"846","Dunlin",3067,792333,1604,2012,3985800,NA,NA,NA,NA
"847","Alpine Thrush",1356,110670,824,2018,888649,NA,NA,NA,NA
"848","Himalayan Black-lored Tit",NA,NA,NA,2019,708171,NA,NA,NA,NA
"849","Chestnut Thrush",1170,144932,776,2018,1100877,NA,NA,NA,NA
"850","Lesser Crested Tern",NA,NA,NA,2019,3936619,NA,NA,NA,NA
"851","Malabar Pied-Hornbill",NA,NA,NA,2020,1263835,NA,NA,NA,NA
"852","Vigors's Sunbird",NA,NA,NA,2016,211169,NA,NA,NA,NA
"853","Chestnut-bellied Sandgrouse",NA,NA,NA,2017,2732443,NA,NA,NA,NA
"854","Sanderling",2696,409382,1412,2015,2349521,NA,NA,NA,NA
"855","Tawny Eagle",NA,NA,NA,2012,1871714,NA,NA,NA,NA
"856","Dalmatian Pelican",NA,NA,NA,2016,453648,NA,NA,NA,NA
"857","Spanish Sparrow",286,101415,156,2013,346976,NA,NA,NA,NA
"858","Isabelline Wheatear",NA,NA,NA,2011,1955428,NA,NA,NA,NA
"859","Indian Spotted Creeper",544,204696,340,2019,666012,NA,NA,NA,NA
"860","Asian Desert Warbler",793,134153,500,2015,449581,NA,NA,NA,NA
"861","Nilgiri Thrush",525,15592,372,2015,52958,NA,NA,NA,NA
"862","Eurasian Griffon",NA,NA,NA,2012,2199673,NA,NA,NA,NA
"863","Eurasian Goshawk",290,583492,220,2017,2850304,NA,NA,NA,NA
"864","Koklass Pheasant",2452,65286,1268,2019,562460,NA,NA,NA,NA
"865","Moustached Warbler",632,128607,344,2015,391163,NA,NA,NA,NA
"866","Broad-billed Sandpiper",1508,363736,724,2015,2963682,NA,NA,NA,NA
"867","Dark-fronted Babbler",NA,NA,NA,2008,154775,NA,NA,NA,NA
"868","Gray-headed Bulbul",NA,NA,NA,2016,127245,NA,NA,NA,NA
"869","Nilgiri Pipit",948,2878,488,2012,9292,13671,NA,NA,NA
"870","Painted Bush-Quail",1512,52590,1036,2015,165781,NA,NA,NA,NA
"871","White-bellied Blue Flycatcher",NA,NA,NA,2013,160070,NA,NA,NA,NA
"872","Nilgiri Sholakili",961,6158,420,2022,20734,25430,NA,NA,NA
"873","Striolated Bunting",854,201808,484,2014,684234,NA,NA,NA,NA
"874","Rock Bush-Quail",NA,NA,NA,2016,1346954,NA,NA,NA,NA
"875","Square-tailed Drongo-Cuckoo",NA,NA,NA,2021,966137,NA,NA,NA,NA
"876","Common Wood-Pigeon",852,28842,612,2015,77851,NA,NA,NA,NA
"877","Pine Bunting",518,14523,316,2021,34480,NA,NA,NA,NA
"878","Common Crane",NA,NA,NA,2013,2409189,NA,NA,NA,NA
"879","Cream-colored Courser",491,70278,256,2009,229632,NA,NA,NA,NA
"880","Greater Hoopoe-Lark",360,22454,188,2016,89232,NA,NA,NA,NA
"881","Greater Short-toed Lark",NA,NA,NA,2014,1103324,NA,NA,NA,NA
"882","Lesser Kestrel",220,806025,100,2011,2788201,NA,NA,NA,NA
"883","Dusky Eagle-Owl",1183,375279,300,2018,1644692,NA,NA,NA,NA
"884","Lesser Fish-Eagle",1853,770607,1232,2016,3181676,NA,NA,NA,NA
"885","Lesser Flamingo",NA,NA,NA,2011,1519508,NA,NA,NA,NA
"886","Terek Sandpiper",NA,NA,NA,2018,4540886,NA,NA,NA,NA
"887","Black-breasted Parrotbill",571,26730,184,2014,98441,NA,NA,NA,NA
"888","Indian Grassbird",209,82643,128,2021,521754,NA,NA,NA,NA
"889","Swamp Grass Babbler",347,5334,156,2015,19266,27840,NA,NA,NA
"890","Blyth's Paradise-Flycatcher",1034,69531,564,2021,850803,NA,NA,NA,NA
"891","Dark-necked Tailorbird",1919,62331,920,2020,231142,NA,NA,NA,NA
"892","Fulvous Whistling-Duck",NA,NA,NA,2018,2381405,NA,NA,NA,NA
"893","Indian Swiftlet",NA,NA,NA,2011,289924,NA,NA,NA,NA
"894","Spotted Flycatcher",2404,258119,1784,2021,873878,NA,NA,NA,NA
"895","Sykes's Nightjar",448,99766,296,2015,333573,NA,NA,NA,NA
"896","Collared Scops-Owl",NA,NA,NA,2019,1688682,NA,NA,NA,NA
"897","White-naped Yuhina",1570,60440,968,2014,250259,NA,NA,NA,NA
"898","Brown Wood-Owl",NA,NA,NA,2018,3657883,NA,NA,NA,NA
"899","Chestnut-winged Cuckoo",1815,583038,1200,2013,2584284,NA,NA,NA,NA
"900","Ferruginous Flycatcher",519,44415,360,2014,173225,NA,NA,NA,NA
"901","Long-billed Wren-Babbler",329,44404,176,2018,175876,NA,NA,NA,NA
"902","Himalayan Shortwing",848,95174,480,2024,708073,NA,NA,NA,NA
"903","White-gorgeted Flycatcher",1011,93711,560,2016,371887,NA,NA,NA,NA
"904","Green Shrike-Babbler",1322,147057,668,2018,1155059,NA,NA,NA,NA
"905","Indian Skimmer",1511,630254,716,2013,2554123,NA,NA,NA,NA
"906","Lesser Cuckoo",3473,985190,2048,2016,5465757,NA,NA,NA,NA
"907","Brambling",397,29312,292,2012,177895,NA,NA,NA,NA
"908","Crested Goshawk",NA,NA,NA,2015,3011355,NA,NA,NA,NA
"909","Rufous-bellied Woodpecker",3477,103623,1324,2017,883541,NA,NA,NA,NA
"910","Orange-breasted Green-Pigeon",NA,NA,NA,2011,2903696,NA,NA,NA,NA
"911","Persian Wheatear",554,39576,268,2013,138750,NA,NA,NA,NA
"912","Common Flameback",1858,118918,1336,2015,363397,NA,NA,NA,NA
"913","Ashambu Laughingthrush",58,173,52,2015,401,1418,"2008-2014 to 2015-2025",-13,-3.01968820213393
"914","Cinereous Vulture",NA,NA,NA,2018,1713452,NA,"2004-2017 to 2018-2025",-1514473,-46.9178546257908
"915","Red-backed Shrike",852,123293,644,2017,420026,NA,NA,NA,NA
"916","Painted Francolin",NA,NA,NA,2014,1158289,NA,NA,NA,NA
"917","Western Tragopan",107,7705,100,2020,15489,27093,NA,NA,NA
"918","Bimaculated Lark",691,319035,396,2004,1029496,NA,NA,NA,NA
"919","Cheer Pheasant",849,31090,540,2022,87706,NA,NA,NA,NA
"920","Great Knot",858,427313,484,2021,1794151,NA,NA,NA,NA
"921","Slaty-breasted Rail",2738,737997,1848,2015,5003022,NA,NA,NA,NA
"922","Watercock",NA,NA,NA,2017,5497109,NA,NA,NA,NA
"923","Bank Swallow",NA,NA,NA,2014,3831194,NA,NA,NA,NA
"924","Spotted Sandgrouse",20,2204,12,2020,6821,10125,NA,NA,NA
"925","Small Buttonquail",93,160257,76,2011,571485,NA,NA,NA,NA
"926","Black Baza",3079,429808,1560,2010,3651849,NA,NA,NA,NA
"927","Dollarbird",NA,NA,NA,2017,5089811,NA,NA,NA,NA
"928","Collared Grosbeak",444,26311,304,2016,356296,NA,NA,NA,NA
"929","Himalayan Owl",572,116197,396,2018,948802,NA,NA,NA,NA
"930","Spot-winged Grosbeak",1254,121101,824,2017,966421,NA,NA,NA,NA
"931","Blanford's Rosefinch",72,7033,40,2019,144088,NA,NA,NA,NA
"932","Blyth's Swift",1526,725115,1180,2011,4641223,NA,NA,NA,NA
"933","Blue-eared Barbet",3327,79380,1796,2019,328215,NA,NA,NA,NA
"934","Black-throated Prinia",2232,27179,1156,2016,122070,NA,NA,NA,NA
"935","Himalayan Flameback",1453,169158,844,2021,759506,NA,NA,NA,NA
"936","Red Crossbill",220,79816,124,2020,952786,NA,NA,NA,NA
"937","Sapphire Flycatcher",1091,83554,636,2019,339942,NA,NA,NA,NA
"938","White-throated Needletail",477,45008,348,2007,510248,NA,NA,NA,NA
"939","Collared Kingfisher",4065,159795,1744,2014,2022692,NA,NA,NA,NA
"940","Himalayan Beautiful Rosefinch",735,20458,432,2015,291750,NA,NA,NA,NA
"941","Tawny Fish-Owl",465,22317,244,2015,230392,NA,NA,NA,NA
"942","Fork-tailed Drongo-Cuckoo",NA,NA,NA,2008,1871049,NA,NA,NA,NA
"943","Tibetan Snowcock",215,22174,120,2017,209145,NA,NA,NA,NA
"944","Rufous-tailed Scrub-Robin",730,89351,544,2014,317240,NA,NA,NA,NA
"945","Palani Laughingthrush",2395,3510,976,2015,7303,10786,NA,NA,NA
"946","Streaked Rosefinch",237,14898,192,2016,120560,NA,NA,NA,NA
"947","Mongolian Finch",396,32108,308,2018,90741,NA,NA,NA,NA
"948","White-browed Tit-Warbler",602,42507,428,2014,326536,NA,NA,NA,NA
"949","Eurasian Bittern",118,512040,72,2014,1563849,NA,NA,NA,NA
"950","Merlin",127,124975,76,2017,462379,NA,NA,NA,NA
"951","Red-throated Thrush",406,83062,280,2015,822185,NA,NA,NA,NA
"952","Pallid Scops-Owl",317,218547,244,2020,748657,NA,"2014-2019 to 2020-2025",-296704,-28.3829291736137
"953","Yellowhammer",283,8274,180,2019,20423,25963,NA,NA,NA
"954","Water Pipit",935,175166,548,2013,630311,NA,NA,NA,NA
"955","White-crowned Penduline-Tit",85,11493,56,2018,27867,35475,NA,NA,NA
"956","Black-crowned Sparrow-Lark",941,34345,492,2018,101195,NA,NA,NA,NA
"957","Black-bellied Sandgrouse",12,212,4,2015,328,2216,NA,NA,NA
"958","Desert Lark",830,32412,436,2017,94999,NA,NA,NA,NA
"959","Trumpeter Finch",365,12155,180,2014,52709,NA,NA,NA,NA
"960","White-browed Bushchat",412,86994,288,2014,289269,NA,NA,NA,NA
"961","Common Chaffinch",254,28139,184,2022,77821,NA,NA,NA,NA
"962","Twite",1093,47849,780,2018,280750,NA,NA,NA,NA
"963","Dusky Thrush",44,9548,36,2015,57867,NA,NA,NA,NA
"964","Long-tailed Thrush",426,60102,300,2015,459896,NA,NA,NA,NA
"965","Yellow-bellied Flowerpecker",284,75347,240,2021,320564,NA,NA,NA,NA
"966","Black-headed Shrike-Babbler",1039,78898,536,2021,324252,NA,NA,NA,NA
"967","Broad-billed Warbler",711,64367,420,2013,237923,NA,NA,NA,NA
"968","Fulvous Parrotbill",126,13313,88,2021,63374,NA,NA,NA,NA
"969","Golden-breasted Fulvetta",1195,68619,552,2018,260587,NA,NA,NA,NA
"970","Slender-billed Scimitar-Babbler",1603,95595,760,2018,368919,NA,NA,NA,NA
"971","Spotted Laughingthrush",1182,16726,484,2012,294161,NA,NA,NA,NA
"972","White-throated Redstart",238,3250,140,2020,35406,NA,NA,NA,NA
"973","Hume's Bush Warbler",792,27840,380,2015,368812,NA,NA,NA,NA
"974","Brown Parrotbill",504,4754,284,2018,117149,NA,NA,NA,NA
"975","Red-necked Phalarope",139,527333,84,2008,2013978,NA,NA,NA,NA
"976","Red-tailed Shrike",758,82541,576,2015,287543,NA,NA,NA,NA
"977","Eastern Marsh Harrier",1284,157177,568,2020,2052630,NA,NA,NA,NA
"978","Pale-capped Pigeon",584,61682,300,2016,303304,NA,NA,NA,NA
"979","White-tailed Eagle",136,338310,108,2023,1682987,NA,NA,NA,NA
"980","Common Ringed Plover",289,444881,216,2015,1685567,NA,NA,NA,NA
"981","Broad-tailed Grassbird",481,32958,316,2007,109492,NA,NA,NA,NA
"982","Tibetan Blackbird",108,51478,72,2014,399068,NA,NA,NA,NA
"983","Water Rail",583,303805,300,2013,1002167,NA,NA,NA,NA
"984","Eared Grebe",281,356708,120,2012,2057075,NA,NA,NA,NA
"985","Sind Sparrow",2818,94520,1048,2014,347170,NA,NA,NA,NA
"986","Red-necked Stint",465,1265,100,2017,40621,NA,NA,NA,NA
"987","Golden-headed Cisticola",1056,498728,624,2013,2233999,NA,NA,NA,NA
"988","Baer's Pochard",34,2604,32,2022,7434,13131,"2007-2021 to 2022-2025",-87799,-92.1934916175782
"989","Rufous-backed Redstart",277,9389,208,2022,22705,29195,NA,NA,NA
"990","Blue-winged Leafbird",1530,51612,708,2018,217230,NA,NA,NA,NA
"991","Great Myna",NA,NA,NA,2019,258982,NA,NA,NA,NA
"992","Ashy Minivet",218,42305,172,2012,900661,NA,NA,NA,NA
"993","Singing Bushlark",583,263674,404,2019,936819,NA,"2010-2018 to 2019-2025",-55818,-5.62322329707303
"994","Black-chinned Yuhina",2766,109205,1640,2015,781812,NA,NA,NA,NA
"995","Green Cochoa",524,89725,344,2022,467583,NA,NA,NA,NA
"996","Spotted Elachura",1549,91378,996,2016,377338,NA,NA,NA,NA
"997","Sandwich Tern",682,236010,540,2015,1011173,NA,NA,NA,NA
"998","Collared Treepie",715,59950,364,2014,248381,NA,NA,NA,NA
"999","Assam Laughingthrush",767,30067,336,2021,106617,NA,NA,NA,NA
