scientific_name,photo_credit
Hieraaetus pennatus,Parthasarathi Chakrabarti
Aquila rapax,Siddhartha Vatsal
Aquila nipalensis,Rahuldev Rajguru
Aquila heliaca,Prabhav Benara
Aquila chrysaetos,Avadhesh Malik
Aquila fasciata,Vipul Gupta
Butastur teesa,Dr Pankaj Chibber
Circus aeruginosus,Ksheetij Pandey
Circus cyaneus,Parthasarathi Chakrabarti
Circus macrourus,Hari K Patibanda
Circus melanoleucos,Sriram Reddy
Circus pygargus,Albin Jacob
Accipiter trivirgatus,Novelkumar MS
Accipiter badius,Vivek Vaidyanathan
Accipiter butleri,Manjula Mathur 
Accipiter virgatus,Harshil Mehta
Accipiter nisus,Vipul Gupta
Milvus migrans,Ajay Sarvagnam
Haliastur indus,Jithu Vellimattom
Haliaeetus leucoryphus,Rofikul Islam
Haliaeetus leucogaster,Arpit Bansal
Haliaeetus humilis,Rofikul Islam
Haliaeetus ichthyaetus,Shalini Jain 
Buteo buteo,Renuka Vijayaraghavan
Buteo rufinus,Bhaarat Vyas
Ketupa coromandus,Rajkumar Das
Ketupa zeylonensis,Dipen Tratiya 
Glaucidium cuculoides,Dr Pankaj Chibber
Glaucidium radiatum,Sri Teja
Taenioptynx brodiei,Sharad Agrawal
Athene blewitti,Saswat Mishra
Asio flammeus,Tomal Gogoi
Harpactes fasciatus,Chinmay Rahane
Harpactes erythrocephalus,Bharat Tiwari
Harpactes wardi,Siddhartha Vatsal
Upupa epops,Sthitaprajna Nayak 
Buceros bicornis,Rahuldev Rajguru
Anorrhinus austeni,Vishal Goswami
Ocyceros birostris,Jithu Vellimattom
Ocyceros griseus,Siddhartha Vatsal
Anthracoceros coronatus,Rohid Khader
Anthracoceros albirostris,Parthasarathi Chakrabarti
Aceros nipalensis,Vipul Gupta
Rhyticeros undulatus,Rofikul Islam
Rhyticeros narcondami,Rohit Naniwadekar
Alcedo hercules,Vishal Goswami
Alcedo atthis,Ksheetij Pandey
Alcedo meninting,Vipul Gupta
Ceyx erithaca,Vipul Gupta
Pelargopsis amauroptera,Druva Murali
Pelargopsis capensis,Parthasarathi Chakrabarti
Halcyon coromanda,Chinmay Rahane 
Halcyon smyrnensis,Prabhav Benara
