"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km"
"Common Myna","Acridotheres tristis","","","X",46,0.130434782608696,0.402173913043478,0.565217391304348,6.52173913043478,1.26882053469132
"Bank Myna","Acridotheres ginginianus","","","",NA,NA,NA,NA,NA,NA
"Jungle Myna","Acridotheres fuscus","","","X",29,0.0689655172413793,0.370689655172414,0.551724137931034,7.10344827586207,1.57253387321288
"Collared Myna","Acridotheres albocinctus","","","",NA,NA,NA,NA,NA,NA
"Great Myna","Acridotheres grandis","","","X",29,NA,0.323275862068966,0.482758620689655,7.6551724137931,1.55720900366455
"Spot-winged Starling","Saroglossa spilopterus","","","X",17,NA,0.213235294117647,0.470588235294118,7.64705882352941,1.87862203788992
"Grandala","Grandala coelicolor","","","X",1,NA,1,1,4,NA
"Long-tailed Thrush","Zoothera dixoni","","","",6,NA,0.354166666666667,0.5,12,4.32386247083168
"Alpine Thrush","Zoothera mollissima","","","X",12,NA,0.447916666666667,0.666666666666667,9.41666666666667,3.26778011327061
"Himalayan Thrush","Zoothera salimalii","","","X",6,NA,0.541666666666667,0.666666666666667,10.3333333333333,4.5169862125586
"Dark-sided Thrush","Zoothera marginata","","","X",6,NA,0.333333333333333,0.166666666666667,7,4.38269323589959
"Long-billed Thrush","Zoothera monticola","","","X",7,NA,0.314285714285714,0.571428571428571,12.7142857142857,3.0458715227884
"Scaly Thrush","Zoothera dauma","","","X",13,0.153846153846154,0.278846153846154,0.538461538461538,9.76923076923077,2.5704569467679
"Nilgiri Thrush","Zoothera neilgherriensis","","","",NA,NA,NA,NA,NA,NA
"Purple Cochoa","Cochoa purpurea","","","X",7,NA,0.387755102040816,0.714285714285714,10.1428571428571,4.02200613293084
"Green Cochoa","Cochoa viridis","X","X","X",12,0.0833333333333333,0.333333333333333,0.5,8.66666666666667,2.91847337981467
"Siberian Thrush","Geokichla sibirica","","","",NA,NA,NA,NA,NA,NA
"Pied Thrush","Geokichla wardii","","","",NA,NA,NA,NA,NA,NA
"Orange-headed Thrush","Geokichla citrina","","","X",10,NA,0.214285714285714,0.3,8.9,3.38789715179064
"Chinese Thrush","Turdus mupinensis","","","",NA,NA,NA,NA,NA,NA
"Mistle Thrush","Turdus viscivorus","","","",NA,NA,NA,NA,NA,NA
"Song Thrush","Turdus philomelos","","","",NA,NA,NA,NA,NA,NA
"Chinese Blackbird","Turdus mandarinus","","","",NA,NA,NA,NA,NA,NA
"Gray-winged Blackbird","Turdus boulboul","","","X",20,0.1,0.39375,0.5,9,2.04580597937907
"Indian Blackbird","Turdus simillimus","","","",NA,NA,NA,NA,NA,NA
"Japanese Thrush","Turdus cardis","","","",NA,NA,NA,NA,NA,NA
"Tickell's Thrush","Turdus unicolor","","","X",5,NA,0.533333333333333,0.8,11.8,4.22196920879345
"Black-breasted Thrush","Turdus dissimilis","","","X",4,0.25,0.55,0.25,8.75,5.0210058753202
"Gray-sided Thrush","Turdus feae","","","",NA,NA,NA,NA,NA,NA
"Eyebrowed Thrush","Turdus obscurus","","","",2,NA,NA,NA,16.5,0.98
"White-backed Thrush","Turdus kessleri","","","",1,NA,NA,NA,4,NA
"Tibetan Blackbird","Turdus maximus","","","X",4,NA,0.45,NA,12.5,5.68625242727288
"Fieldfare","Turdus pilaris","","","",NA,NA,NA,NA,NA,NA
"White-collared Blackbird","Turdus albocinctus","","","X",21,0.0476190476190476,0.398809523809524,0.428571428571429,7.76190476190476,2.14240156003594
"Chestnut Thrush","Turdus rubrocanus","","","X",6,NA,0.416666666666667,NA,9.83333333333333,4.03006589414008
"Black-throated Thrush","Turdus atrogularis","","","X",10,NA,0.5,0.8,11.6,2.60023383563863
"Red-throated Thrush","Turdus ruficollis","","","X",10,NA,0.314285714285714,0.3,11.1,3.07066666666667
"Dusky Thrush","Turdus eunomus","","","",6,NA,0.333333333333333,NA,13,3.78707978967084
"Naumann's Thrush","Turdus naumanni","","","",NA,NA,NA,NA,NA,NA
"Dark-sided Flycatcher","Muscicapa sibirica","","","X",20,NA,0.3375,0.5,8.8,2.09753258553197
"Ferruginous Flycatcher","Muscicapa ferruginea","","","",7,NA,0.214285714285714,0.285714285714286,11.7142857142857,3.19249119027759
"Asian Brown Flycatcher","Muscicapa dauurica","","","",NA,NA,NA,NA,NA,NA
"Brown-breasted Flycatcher","Muscicapa muttui","","","X",5,NA,0.36,0.6,11.4,4.94293192346405
"Spotted Flycatcher","Muscicapa striata","","","",NA,NA,NA,NA,NA,NA
"Rufous-tailed Scrub-Robin","Cercotrichas galactotes","","","",NA,NA,NA,NA,NA,NA
"Indian Robin","Copsychus fulicatus","","","",NA,NA,NA,NA,NA,NA
"Oriental Magpie-Robin","Copsychus saularis","","","X",61,0.114754098360656,0.35655737704918,0.590163934426229,6.11475409836066,1.06971470132823
"White-rumped Shama","Copsychus malabaricus","","","X",23,NA,0.315217391304348,0.434782608695652,7.30434782608696,1.770464601347
"Andaman Shama","Copsychus albiventris","","","",NA,NA,NA,NA,NA,NA
"White-gorgeted Flycatcher","Anthipes monileger","","X","X",14,0.0714285714285714,0.294642857142857,0.285714285714286,7.71428571428571,2.77512023301556
"Nilgiri Sholakili","Sholicola major","","","",NA,NA,NA,NA,NA,NA
"White-bellied Sholakili","Sholicola albiventris","","","",NA,NA,NA,NA,NA,NA
"White-tailed Flycatcher","Leucoptilon concretum","","","",4,NA,0.416666666666667,0.5,7.25,3.23795717492784
"White-bellied Blue Flycatcher","Cyornis pallidipes","","","",NA,NA,NA,NA,NA,NA
