,Species,EOOStartYear,EOOEndYear,LikelyEOO,MaxEOO,EOOMap
50,Andaman Cuckooshrike,2019,2025,12800.48,17326.71,"list(c(93.1080904, 93.0469967, 93.043463, 93.0011804, 92.9117957, 92.708232, 92.5397414, 92.4894773, 92.5044239, 92.5292, 92.5632274, 93.0613709, 93.1080904, 12.1421016, 13.2289227, 13.2516617, 13.3975281, 13.4011216, 12.8991297, 11.5892181, 10.7247936, 10.5118752, 10.5209812, 10.571181, 11.8212215, 12.1421016))"
51,Andaman Drongo,2020,2025,13144.96,19982.44,"list(c(93.0855105, 93.074087, 93.0298471, 92.9898658, 92.8857262, 92.8664972, 92.708232, 92.5351175, 92.4894773, 92.5044239, 92.5155808, 92.5292, 92.5319567, 92.5632274, 93.0651363, 93.0855105, 12.2367841, 13.3029363, 13.387978, 13.4110061, 13.4274847, 13.4116029, 12.8991297, 11.5874627, 10.7247936, 10.5118752, 10.5135591, 10.5209812, 10.5235496, 10.571181, 11.8250473, 12.2367841))"
52,Andaman Treepie,2020,2025,12821.81,19646.31,"list(c(93.0911544, 92.8857262, 92.8664972, 92.708232, 92.5449838, 92.4894773, 92.5044239, 92.5155808, 92.5292, 92.5319567, 92.5632274, 93.0559702, 93.0911544, 13.4158703, 13.4274847, 13.4116029, 12.8991297, 11.5920216, 10.7247936, 10.5118752, 10.5135591, 10.5209812, 10.5235496, 10.571181, 11.8410139, 13.4158703))"
53,Andaman Serpent-Eagle,2017,2025,13478.08,20235.97,"list(c(93.1139712, 93.0695844, 93.031818, 92.8857262, 92.8664972, 92.708232, 92.5353123, 92.4894773, 92.5044239, 92.51278, 92.5292, 92.5319567, 92.5632274, 93.0651363, 93.1139712, 12.1437243, 13.3072769, 13.477962, 13.4274847, 13.4116029, 12.8991297, 11.5799247, 10.7247936, 10.5118752, 10.5140375, 10.5209812, 10.5235496, 10.571181, 11.8250473, 12.1437243))"
54,White-crowned Forktail,2023,2025,23608.11,29142.38,"list(c(96.9099418, 96.3954763, 95.9180119, 95.2453808, 94.133684, 93.8580065, 93.8608557, 93.8618594, 93.8642022, 95.410081, 96.9099418, 27.2792834, 27.9605716, 28.2941767, 28.1314101, 27.428585, 27.1878826, 27.1591382, 27.15835, 27.1568632, 27.2236702, 27.2792834))"
55,Andaman Woodpecker,2016,2025,12301.8,19913.08,"list(c(93.0708182, 93.0473561, 92.8664972, 92.708232, 92.5353123, 92.4894773, 92.5044239, 92.5155808, 92.5292, 92.5319567, 92.5632274, 93.0136663, 93.0276208, 93.0708182, 13.306118, 13.6298974, 13.4116029, 12.8991297, 11.5799247, 10.7247936, 10.5118752, 10.5135591, 10.5209812, 10.5235496, 10.571181, 11.8494022, 11.9530017, 13.306118))"
56,Nicobar Imperial-Pigeon,2014,2025,12179.24,19264.97,"list(c(93.9368279, 93.6309278, 92.8230849, 92.8166612, 92.8029399, 92.7581047, 93.1148378, 93.8277054, 93.880635, 93.8886026, 93.8919974, 93.8959512, 93.9368279, 7.0082922, 8.495005, 9.1717418, 9.1745842, 9.1728193, 9.1638765, 8.2537302, 6.7555616, 6.797353, 6.8047749, 6.8101364, 6.8165861, 7.0082922))"
57,Nicobar Bulbul,2021,2025,2454.31,4100.44,"list(c(93.6290505, 93.1143728, 93.1148378, 93.319342, 93.4212698, 93.5796566, 93.6290505, 8.4865186, 8.3074403, 8.2537302, 7.9499785, 7.9572192, 7.9780116, 8.4865186))"
58,Rufous-throated Fulvetta,2017,2025,19938.22,24119.47,"list(c(96.6956578, 96.254934, 95.8534062, 95.3736151, 95.2805934, 94.350912, 94.3563981, 96.6956578, 27.4395138, 27.916213, 28.1581302, 28.1555842, 28.0284368, 26.581284, 26.5653764, 27.4395138))"
59,Masked Booby,2021,2025,17928.42,27073.46,"list(c(72.9797342, 72.6815343, 69.6834089, 69.7038013, 69.7114921, 72.8257193, 72.9360771, 72.9797063, 72.9797342, 19.1795249, 19.87906, 21.6436291, 21.5429302, 21.5360845, 18.9098997, 18.9633311, 19.1793536, 19.1795249))"
