Sl No,Order,Family,Species,English Name,Scientific Name,eBird.English.Name.2025,eBird.Scientific.Name.2025,Authority,Alternative Names,Vagrant,Historical,IUCN RedList,WPA Schedule,SOIB,CITES Appendix,CMS Appendix,Endemic (India),Endemic (Andaman & Nicobar Is),Endemic (Assam Plains),Endemic (Cental Indian Forests),Endemic (Southern Andhra Pradesh),Endemic (Eastern Himalayas),Endemic (Indus Plains),Endemic (Northern Myanmar lowlands),Endemic (Southern Deccan Plateau),Endemic (Western Ghats),Endemic (Western Himalayas)
684,Passeriformes,Laniidae,Red-backed Shrike Lanius collurio,Red-backed Shrike,Lanius collurio,Red-backed Shrike,Lanius collurio,"Linnaeus, 1758",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
685,Passeriformes,Laniidae,Red-tailed Shrike Lanius phoenicuroides,Red-tailed Shrike,Lanius phoenicuroides,Red-tailed Shrike,Lanius phoenicuroides,"(Schalow, 1875)","Turkestan Shrike, Rufous Shrike",,,Least Concern,Schedule-II,,,,,,,,,,,,,,
686,Passeriformes,Laniidae,Isabelline Shrike Lanius isabellinus,Isabelline Shrike,Lanius isabellinus,Isabelline Shrike,Lanius isabellinus,"Hemprich & Ehrenberg, 1833","Pale Brown Shrike, Rufous-tailed Shrike (with L. phoenicuroides)",,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
687,Passeriformes,Laniidae,Brown Shrike Lanius cristatus,Brown Shrike,Lanius cristatus,Brown Shrike,Lanius cristatus,"Linnaeus, 1758","Philippine Shrike L. c. lucionensis, Japanese Shrike L. c. superciliosus",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
688,Passeriformes,Laniidae,Burmese Shrike Lanius collurioides,Burmese Shrike,Lanius collurioides,Burmese Shrike,Lanius collurioides,"Lesson, 1832",Chestnut-rumped Shrike,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
689,Passeriformes,Laniidae,Bay-backed Shrike Lanius vittatus,Bay-backed Shrike,Lanius vittatus,Bay-backed Shrike,Lanius vittatus,"Valenciennes, 1826",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
690,Passeriformes,Laniidae,Long-tailed Shrike Lanius schach,Long-tailed Shrike,Lanius schach,Long-tailed Shrike,Lanius schach,"Linnaeus, 1758",Rufous-backed Shrike,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
691,Passeriformes,Laniidae,Grey-backed Shrike Lanius tephronotus,Grey-backed Shrike,Lanius tephronotus,Gray-backed Shrike,Lanius tephronotus,"(Vigors, 1831)",Tibetan Shrike,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
692,Passeriformes,Laniidae,Great Grey Shrike Lanius excubitor,Great Grey Shrike,Lanius excubitor,Great Gray Shrike,Lanius excubitor,"Linnaeus, 1758","[Southern Grey Shrike, Steppe Grey Shrike]",,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
693,Passeriformes,Laniidae,Lesser Grey Shrike Lanius minor,Lesser Grey Shrike,Lanius minor,Lesser Gray Shrike,Lanius minor,"Gmelin, 1788",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
694,Passeriformes,Laniidae,Giant Shrike Lanius giganteus,Giant Shrike,Lanius giganteus,Giant Shrike,Lanius giganteus,"Przevalski, 1887",Giant Grey Shrike,X,,Least Concern,Recent addition,,,,,,,,,,,,,,
695,Passeriformes,Laniidae,Masked Shrike Lanius nubicus,Masked Shrike,Lanius nubicus,Masked Shrike,Lanius nubicus,"Lichtenstein, 1823",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
696,Passeriformes,Laniidae,Woodchat Shrike Lanius senator,Woodchat Shrike,Lanius senator,Woodchat Shrike,Lanius senator,"Linnaeus, 1758",,X,,Near Threatened,Schedule-II,,,,,,,,,,,,,,
697,Passeriformes,Corvidae,Eurasian Jay Garrulus glandarius,Eurasian Jay,Garrulus glandarius,Eurasian Jay,Garrulus glandarius,"(Linnaeus, 1758)",Red-crowned Jay,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
698,Passeriformes,Corvidae,Black-headed Jay Garrulus lanceolatus,Black-headed Jay,Garrulus lanceolatus,Black-headed Jay,Garrulus lanceolatus,"Vigors, 1830",Black-throated Jay,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
699,Passeriformes,Corvidae,Yellow-billed Blue-Magpie Urocissa flavirostris,Yellow-billed Blue-Magpie,Urocissa flavirostris,Yellow-billed Blue-Magpie,Urocissa flavirostris,"(Blyth, 1846)",Gold-billed Magpie,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
700,Passeriformes,Corvidae,Red-billed Blue-Magpie Urocissa erythroryncha,Red-billed Blue-Magpie,Urocissa erythroryncha,Red-billed Blue-Magpie,Urocissa erythroryncha,"(Boddaert, 1783)",Blue Magpie,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
701,Passeriformes,Corvidae,Common Green-Magpie Cissa chinensis,Common Green-Magpie,Cissa chinensis,Common Green-Magpie,Cissa chinensis,"(Boddaert, 1783)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
702,Passeriformes,Corvidae,Rufous Treepie Dendrocitta vagabunda,Rufous Treepie,Dendrocitta vagabunda,Rufous Treepie,Dendrocitta vagabunda,"(Latham, 1790)",Indian Treepie,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
703,Passeriformes,Corvidae,Grey Treepie Dendrocitta formosae,Grey Treepie,Dendrocitta formosae,Gray Treepie,Dendrocitta formosae,"Swinhoe, 1863",Himalayan Treepie,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
704,Passeriformes,Corvidae,White-bellied Treepie Dendrocitta leucogastra,White-bellied Treepie,Dendrocitta leucogastra,White-bellied Treepie,Dendrocitta leucogastra,"Gould, 1833",Southern Treepie,,,Least Concern,Schedule-II,Moderate,,,X,,,,,,,,,X,
705,Passeriformes,Corvidae,Collared Treepie Dendrocitta frontalis,Collared Treepie,Dendrocitta frontalis,Collared Treepie,Dendrocitta frontalis,"Horsfield, 1840",Black-browed Treepie,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
706,Passeriformes,Corvidae,Andaman Treepie Dendrocitta bayleii,Andaman Treepie,Dendrocitta bayleii,Andaman Treepie,Dendrocitta bayleii,"Tytler, 1863",,,,Near Threatened,Schedule-I,High,,,X,X,,,,,,,,,
707,Passeriformes,Corvidae,Black-rumped Magpie Pica bottanensis,Black-rumped Magpie,Pica bottanensis,Black-rumped Magpie,Pica bottanensis,"Delessert, 1840",[Black-billed Magpie],X,,Not recognized,Recent addition,,,,,,,,,,,,,,
708,Passeriformes,Corvidae,Eurasian Magpie Pica pica,Eurasian Magpie,Pica pica,Eurasian Magpie,Pica pica,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
709,Passeriformes,Corvidae,Spotted Nutcracker Nucifraga hemispila,Spotted Nutcracker,Nucifraga hemispila,Southern Nutcracker,Nucifraga hemispila,"Vigors, 1831",Southern Nutcracker, [Eurasian Nutcracker],,,Least Concern,Schedule-II,Low,,,,,,,,,,,,
710,Passeriformes,Corvidae,Kashmir Nutcracker Nucifraga multipunctata,Kashmir Nutcracker,Nucifraga multipunctata,Kashmir Nutcracker,Nucifraga multipunctata,"Gould, 1849",Large-spotted Nutcracker,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
711,Passeriformes,Corvidae,Red-billed Chough Pyrrhocorax pyrrhocorax,Red-billed Chough,Pyrrhocorax pyrrhocorax,Red-billed Chough,Pyrrhocorax pyrrhocorax,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
712,Passeriformes,Corvidae,Yellow-billed Chough Pyrrhocorax graculus,Yellow-billed Chough,Pyrrhocorax graculus,Yellow-billed Chough,Pyrrhocorax graculus,"(Linnaeus, 1766)",Alpine Chough,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
713,Passeriformes,Corvidae,Eurasian Jackdaw Coloeus monedula,Eurasian Jackdaw,Coloeus monedula,Eurasian Jackdaw,Coloeus monedula,"(Linnaeus, 1758)","Western Jackdaw, Jackdaw",,,Least Concern,Schedule-II,,,,,,,,,,,,,,
714,Passeriformes,Corvidae,House Crow Corvus splendens,House Crow,Corvus splendens,House Crow,Corvus splendens,"Vieillot, 1817",,,,Least Concern,Not scheduled,Low,,,,,,,,,,,,,
715,Passeriformes,Corvidae,Rook Corvus frugilegus,Rook,Corvus frugilegus,Rook,Corvus frugilegus,"Linnaeus, 1758",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
716,Passeriformes,Corvidae,Carrion Crow Corvus corone,Carrion Crow,Corvus corone,Carrion Crow,Corvus corone,"Linnaeus, 1758",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
717,Passeriformes,Corvidae,Hooded Crow Corvus cornix,Hooded Crow,Corvus cornix,Hooded Crow,Corvus cornix,"Linnaeus, 1758",,X,,Not recognized,Schedule-II,,,,,,,,,,,,,,
718,Passeriformes,Corvidae,Large-billed Crow Corvus macrorhynchos,Large-billed Crow,Corvus macrorhynchos,Large-billed Crow,Corvus macrorhynchos,"Wagler, 1827","Jungle Crow; [Indian Jungle Crow, Eastern Jungle Crow]",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
719,Passeriformes,Corvidae,Pied Crow Corvus albus,Pied Crow,Corvus albus,Pied Crow,Corvus albus,"Müller, 1776",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
720,Passeriformes,Corvidae,Common Raven Corvus corax,Common Raven,Corvus corax,Common Raven,Corvus corax,"Linnaeus, 1758",Northern Raven,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
721,Passeriformes,Stenostiridae,Yellow-bellied Fairy-Fantail Chelidorhynx hypoxanthus,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,"(Blyth, 1843)","Yellow-bellied Fantail, Yellow-bellied Fantail-Flycatcher",,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
722,Passeriformes,Stenostiridae,Grey-headed Canary-Flycatcher Culicicapa ceylonensis,Grey-headed Canary-Flycatcher,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,"(Swainson, 1820)",Grey-headed Flycatcher,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
723,Passeriformes,Paridae,Fire-capped Tit Cephalopyrus flammiceps,Fire-capped Tit,Cephalopyrus flammiceps,Fire-capped Tit,Cephalopyrus flammiceps,"(Burton, 1836)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
724,Passeriformes,Paridae,Yellow-browed Tit Sylviparus modestus,Yellow-browed Tit,Sylviparus modestus,Yellow-browed Tit,Sylviparus modestus,"Burton, 1836",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
725,Passeriformes,Paridae,Sultan Tit Melanochlora sultanea,Sultan Tit,Melanochlora sultanea,Sultan Tit,Melanochlora sultanea,"(Hodgson, 1837)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
726,Passeriformes,Paridae,Coal Tit Periparus ater,Coal Tit,Periparus ater,Coal Tit,Periparus ater,"(Linnaeus, 1758)",Spot-winged Tit/Crested Black Tit P. [a.] melanolophus,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
727,Passeriformes,Paridae,Rufous-naped Tit Periparus rufonuchalis,Rufous-naped Tit,Periparus rufonuchalis,Rufous-naped Tit,Periparus rufonuchalis,"(Blyth, 1849)","Black-breasted Tit, Dark-grey Tit, Simla Black Tit",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
728,Passeriformes,Paridae,Rufous-vented Tit Periparus rubidiventris,Rufous-vented Tit,Periparus rubidiventris,Rufous-vented Tit,Periparus rubidiventris,"(Blyth, 1847)","Rufous-bellied Crested Tit, Black Crested Tit",,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
729,Passeriformes,Paridae,Grey-crested Tit Lophophanes dichrous,Grey-crested Tit,Lophophanes dichrous,Gray-crested Tit,Lophophanes dichrous,"(Blyth, 1845)","Brown Crested Tit, Fulvous Tit, Grey Crested Tit",,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
730,Passeriformes,Paridae,Azure Tit Cyanistes cyanus,Azure Tit,Cyanistes cyanus,Azure Tit,Cyanistes cyanus,"(Pallas, 1770)",Blue Tit,,X,Least Concern,Schedule-II,,,,,,,,,,,,,,
731,Passeriformes,Paridae,Ground Tit Pseudopodoces humilis,Ground Tit,Pseudopodoces humilis,Ground Tit,Pseudopodoces humilis,"(Hume, 1871)","Tibetan Ground Jay, Hume's Ground Jay, Tibetan Ground Tit, Hume's Ground Chough, Hume's Groundpecker, Groundpecker",,,Least Concern,Schedule-II,,,,,,,,,,,,,,
732,Passeriformes,Paridae,Green-backed Tit Parus monticolus,Green-backed Tit,Parus monticolus,Green-backed Tit,Parus monticolus,"Vigors, 1831",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
733,Passeriformes,Paridae,Cinereous Tit Parus cinereus,Cinereous Tit,Parus cinereus,Asian Tit,Parus cinereus,"Vieillot, 1818","Grey Tit/Great Tit (with P. major EL), Asian Tit",,,Not recognized,Schedule-II,Low,,,,,,,,,,,,,
734,Passeriformes,Paridae,White-naped Tit Machlolophus nuchalis,White-naped Tit,Machlolophus nuchalis,White-naped Tit,Machlolophus nuchalis,"(Jerdon, 1845)",White-winged Black Tit,,,Near Threatened,Schedule-I,Moderate,,,X,,,,,,,,,,
735,Passeriformes,Paridae,Himalayan Black-lored Tit Machlolophus xanthogenys,Himalayan Black-lored Tit,Machlolophus xanthogenys,Himalayan Black-lored Tit,Machlolophus xanthogenys,"(Vigors, 1831)",Black-lored Tit/Black-lored Yellow Tit (with M. aplonotus), Yellow-cheeked Tit (with M. aplonotus & M. spilonotus),,,Least Concern,Schedule-II,Low,,,,,,,,,,,,
736,Passeriformes,Paridae,Indian Black-lored Tit Machlolophus aplonotus,Indian Black-lored Tit,Machlolophus aplonotus,Indian Yellow Tit,Machlolophus aplonotus,"(Blyth, 1847)","Indian Tit, Indian Yellow Tit",,,Not recognized,Schedule-II,Low,,,X,,,,,,,,,,
737,Passeriformes,Paridae,Yellow-cheeked Tit Machlolophus spilonotus,Yellow-cheeked Tit,Machlolophus spilonotus,Yellow-cheeked Tit,Machlolophus spilonotus,"(Bonaparte, 1850)",Black-spotted Yellow Tit,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
738,Passeriformes,Remizidae,White-crowned Penduline-Tit Remiz coronatus,White-crowned Penduline-Tit,Remiz coronatus,White-crowned Penduline-Tit,Remiz coronatus,"(Severtsov, 1873)","Eastern Penduline Tit, Penduline Tit",,,Least Concern,Schedule-II,,,,,,,,,,,,,,
739,Passeriformes,Alaudidae,Greater Hoopoe-Lark Alaemon alaudipes,Greater Hoopoe-Lark,Alaemon alaudipes,Greater Hoopoe-Lark,Alaemon alaudipes,"(Desfontaines, 1789)",Large Desert Lark,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
740,Passeriformes,Alaudidae,Rufous-tailed Lark Ammomanes phoenicura,Rufous-tailed Lark,Ammomanes phoenicura,Rufous-tailed Lark,Ammomanes phoenicura,"(Franklin, 1831)",Rufous-tailed Finch-Lark,,,Near Threatened,Schedule-II,High,,,,,,,,,,,,,
741,Passeriformes,Alaudidae,Desert Lark Ammomanes deserti,Desert Lark,Ammomanes deserti,Desert Lark,Ammomanes deserti,"(Lichtenstein, 1823)",Desert Finch-Lark,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
742,Passeriformes,Alaudidae,Black-crowned Sparrow-Lark Eremopterix nigriceps,Black-crowned Sparrow-Lark,Eremopterix nigriceps,Black-crowned Sparrow-Lark,Eremopterix nigriceps,"(Gould, 1839)",Black-crowned Finch-Lark,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
743,Passeriformes,Alaudidae,Ashy-crowned Sparrow-Lark Eremopterix griseus,Ashy-crowned Sparrow-Lark,Eremopterix griseus,Ashy-crowned Sparrow-Lark,Eremopterix griseus,"(Scopoli, 1786)",Ashy-crowned Finch-Lark,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
744,Passeriformes,Alaudidae,Jerdon's Bushlark Plocealauda affinis,Jerdon's Bushlark,Plocealauda affinis,Jerdon's Bushlark,Plocealauda affinis,"(Blyth, 1845)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
745,Passeriformes,Alaudidae,Indian Bushlark Plocealauda erythroptera,Indian Bushlark,Plocealauda erythroptera,Indian Bushlark,Plocealauda erythroptera,"(Blyth, 1845)",Red-winged Bushlark,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
746,Passeriformes,Alaudidae,Bengal Bushlark Plocealauda assamica,Bengal Bushlark,Plocealauda assamica,Bengal Bushlark,Plocealauda assamica,"(Horsfield, 1840)",Rufous-winged Bushlark (with P. affinis),,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
747,Passeriformes,Alaudidae,Singing Bushlark Mirafra javanica,Singing Bushlark,Mirafra javanica,Singing Bushlark,Mirafra javanica,"Horsfield, 1821",Horsfield's Bushlark,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
748,Passeriformes,Alaudidae,Eurasian Skylark Alauda arvensis,Eurasian Skylark,Alauda arvensis,Eurasian Skylark,Alauda arvensis,"Linnaeus, 1758",Skylark,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
749,Passeriformes,Alaudidae,Oriental Skylark Alauda gulgula,Oriental Skylark,Alauda gulgula,Oriental Skylark,Alauda gulgula,"Franklin, 1831",Small Skylark,,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
750,Passeriformes,Alaudidae,Tawny Lark Galerida deva,Tawny Lark,Galerida deva,Tawny Lark,Galerida deva,"(Sykes, 1832)","Sykes's Lark, Deccan Crested Lark, Sykes's Crested Lark",,,Least Concern,Schedule-II,Low,,,X,,,,,,,,,,
751,Passeriformes,Alaudidae,Crested Lark Galerida cristata,Crested Lark,Galerida cristata,Crested Lark,Galerida cristata,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
752,Passeriformes,Alaudidae,Malabar Lark Galerida malabarica,Malabar Lark,Galerida malabarica,Malabar Lark,Galerida malabarica,"(Scopoli, 1786)",Malabar Crested Lark,,,Least Concern,Schedule-II,Moderate,,,X,,,,,,,,,,
753,Passeriformes,Alaudidae,Horned Lark Eremophila alpestris,Horned Lark,Eremophila alpestris,Horned Lark,Eremophila alpestris,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
754,Passeriformes,Alaudidae,Greater Short-toed Lark Calandrella brachydactyla,Greater Short-toed Lark,Calandrella brachydactyla,Greater Short-toed Lark,Calandrella brachydactyla,"(Leisler, 1814)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
755,Passeriformes,Alaudidae,Hume's Short-toed Lark Calandrella acutirostris,Hume's Short-toed Lark,Calandrella acutirostris,Hume's Lark,Calandrella acutirostris,"Hume, 1873",Hume's Lark,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
756,Passeriformes,Alaudidae,Mongolian Short-toed Lark Calandrella dukhunensis,Mongolian Short-toed Lark,Calandrella dukhunensis,Mongolian Short-toed Lark,Calandrella dukhunensis,"(Sykes, 1832)","Eastern Short-toed Lark, Sykes's Short-toed Lark",,,Least Concern,Schedule-II,,,,,,,,,,,,,,
757,Passeriformes,Alaudidae,Bimaculated Lark Melanocorypha bimaculata,Bimaculated Lark,Melanocorypha bimaculata,Bimaculated Lark,Melanocorypha bimaculata,"(Ménétries, 1832)",Eastern Calandra Lark,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
758,Passeriformes,Alaudidae,Tibetan Lark Melanocorypha maxima,Tibetan Lark,Melanocorypha maxima,Tibetan Lark,Melanocorypha maxima,"Blyth, 1867",Long-billed Calandra Lark,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
759,Passeriformes,Alaudidae,Turkestan Short-toed Lark Alaudala heinei,Turkestan Short-toed Lark,Alaudala heinei,Turkestan Short-toed Lark,Alaudala heinei,"(Homeyer, 1873)",Lesser Short-toed Lark (with A. rufescens EL),X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
760,Passeriformes,Alaudidae,Sand Lark Alaudala raytal,Sand Lark,Alaudala raytal,Sand Lark,Alaudala raytal,"(Blyth, 1845)",Indian Short-toed Lark,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
761,Passeriformes,Cisticolidae,Common Tailorbird Orthotomus sutorius,Common Tailorbird,Orthotomus sutorius,Common Tailorbird,Orthotomus sutorius,"(Pennant, 1769)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
762,Passeriformes,Cisticolidae,Dark-necked Tailorbird Orthotomus atrogularis,Dark-necked Tailorbird,Orthotomus atrogularis,Dark-necked Tailorbird,Orthotomus atrogularis,"Temminck, 1836",Black-necked Tailorbird,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
763,Passeriformes,Cisticolidae,Himalayan Prinia Prinia crinigera,Himalayan Prinia,Prinia crinigera,Himalayan Prinia,Prinia crinigera,"(Hodgson, 1836)","Brown Hill Warbler, Striated Prinia (with P. striata EL)",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
764,Passeriformes,Cisticolidae,Black-throated Prinia Prinia atrogularis,Black-throated Prinia,Prinia atrogularis,Black-throated Prinia,Prinia atrogularis,"(Moore, 1854)",Black-throated Hill Warbler (with P. khasiana),,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
765,Passeriformes,Cisticolidae,Rufous-crowned Prinia Prinia khasiana,Rufous-crowned Prinia,Prinia khasiana,Rufous-crowned Prinia,Prinia khasiana,"(Godwin-Austen, 1876)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
766,Passeriformes,Cisticolidae,Hill Prinia Prinia superciliaris,Hill Prinia,Prinia superciliaris,Hill Prinia,Prinia superciliaris,"(Anderson, 1871)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
767,Passeriformes,Cisticolidae,Grey-crowned Prinia Prinia cinereocapilla,Grey-crowned Prinia,Prinia cinereocapilla,Gray-crowned Prinia,Prinia cinereocapilla,"Moore, 1854",Hodgson's Wren-Warbler,,,Vulnerable,Schedule-I,High,,,,,,,,,,,,,
768,Passeriformes,Cisticolidae,Rufous-fronted Prinia Prinia buchanani,Rufous-fronted Prinia,Prinia buchanani,Rufous-fronted Prinia,Prinia buchanani,"Blyth, 1844",Rufous-fronted Wren-Warbler,,,Least Concern,Schedule-I,Moderate,,,,,,,,,,,,,
769,Passeriformes,Cisticolidae,Rufescent Prinia Prinia rufescens,Rufescent Prinia,Prinia rufescens,Rufescent Prinia,Prinia rufescens,"Blyth, 1847",Rufous Wren-Warbler,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
770,Passeriformes,Cisticolidae,Grey-breasted Prinia Prinia hodgsonii,Grey-breasted Prinia,Prinia hodgsonii,Gray-breasted Prinia,Prinia hodgsonii,"Blyth, 1844","Franklin's Wren-Warbler, Ashy-grey Wren-Warbler",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
771,Passeriformes,Cisticolidae,Delicate Prinia Prinia lepida,Delicate Prinia,Prinia lepida,Delicate Prinia,Prinia lepida,"Blyth, 1844","Streaked Wren-Warbler, Graceful Prinia (with P. gracilis EL)",,,Not recognized,Schedule-II,Low,,,,,,,,,,,,,
772,Passeriformes,Cisticolidae,Jungle Prinia Prinia sylvatica,Jungle Prinia,Prinia sylvatica,Jungle Prinia,Prinia sylvatica,"Jerdon, 1840",Jungle Wren-Warbler,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
773,Passeriformes,Cisticolidae,Yellow-bellied Prinia Prinia flaviventris,Yellow-bellied Prinia,Prinia flaviventris,Yellow-bellied Prinia,Prinia flaviventris,"(Delessert, 1840)",Yellow-bellied Wren-Warbler,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
774,Passeriformes,Cisticolidae,Ashy Prinia Prinia socialis,Ashy Prinia,Prinia socialis,Ashy Prinia,Prinia socialis,"Sykes, 1832",Ashy Wren-Warbler,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
775,Passeriformes,Cisticolidae,Plain Prinia Prinia inornata,Plain Prinia,Prinia inornata,Plain Prinia,Prinia inornata,"Sykes, 1832",Plain Wren-Warbler,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
776,Passeriformes,Cisticolidae,Zitting Cisticola Cisticola juncidis,Zitting Cisticola,Cisticola juncidis,Zitting Cisticola,Cisticola juncidis,"(Rafinesque, 1810)",Streaked Fantail Warbler,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
777,Passeriformes,Cisticolidae,Golden-headed Cisticola Cisticola exilis,Golden-headed Cisticola,Cisticola exilis,Golden-headed Cisticola,Cisticola exilis,"(Vigors & Horsfield, 1827)","Fantail Warbler, Bright-capped Cisticola",,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
778,Passeriformes,Acrocephalidae,Thick-billed Warbler Arundinax aedon,Thick-billed Warbler,Arundinax aedon,Thick-billed Warbler,Arundinax aedon,"(Pallas, 1776)",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
779,Passeriformes,Acrocephalidae,Booted Warbler Iduna caligata,Booted Warbler,Iduna caligata,Booted Warbler,Iduna caligata,"(Lichtenstein, 1823)",Siberian Booted Tree Warbler,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
780,Passeriformes,Acrocephalidae,Sykes's Warbler Iduna rama,Sykes's Warbler,Iduna rama,Sykes's Warbler,Iduna rama,"(Sykes, 1832)",Indian Booted Tree Warbler,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
781,Passeriformes,Acrocephalidae,Icterine Warbler Hippolais icterina,Icterine Warbler,Hippolais icterina,Icterine Warbler,Hippolais icterina,"(Vieillot, 1817)",,X,,Least Concern,Recent addition,,,,,,,,,,,,,,
782,Passeriformes,Acrocephalidae,Black-browed Reed Warbler Acrocephalus bistrigiceps,Black-browed Reed Warbler,Acrocephalus bistrigiceps,Black-browed Reed Warbler,Acrocephalus bistrigiceps,"Swinhoe, 1860",,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
783,Passeriformes,Acrocephalidae,Moustached Warbler Acrocephalus melanopogon,Moustached Warbler,Acrocephalus melanopogon,Moustached Warbler,Acrocephalus melanopogon,"(Temminck, 1823)",Moustached Sedge Warbler,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
784,Passeriformes,Acrocephalidae,Sedge Warbler Acrocephalus schoenobaenus,Sedge Warbler,Acrocephalus schoenobaenus,Sedge Warbler,Acrocephalus schoenobaenus,"(Linnaeus, 1758)",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
785,Passeriformes,Acrocephalidae,Paddyfield Warbler Acrocephalus agricola,Paddyfield Warbler,Acrocephalus agricola,Paddyfield Warbler,Acrocephalus agricola,"(Jerdon, 1845)",,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
786,Passeriformes,Acrocephalidae,Blunt-winged Warbler Acrocephalus concinens,Blunt-winged Warbler,Acrocephalus concinens,Blunt-winged Warbler,Acrocephalus concinens,"(Swinhoe, 1870)","Blunt-winged Paddyfield Warbler, Blunt-winged Reed Warbler",,X,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
