TaxonID,group,sci_name,ISO3,pp,groupcode,Scientific
22690173,Bird,Columba elphinstonii,IND,1,1,22690173
22690191,Bird,Columba punicea,IND,0.579475117,1,22690191
22690201,Bird,Columba palumboides,IND,1,1,22690201
22690439,Bird,Streptopelia orientalis,IND,0.125203948,1,22690439
22690445,Bird,Spilopelia senegalensis,IND,0.094479581,1,22690445
22690493,Bird,Streptopelia tranquebarica,IND,0.27006832,1,22690493
22690545,Bird,Macropygia unchall,IND,0.064629408,1,22690545
22690549,Bird,Macropygia rufipennis,IND,1,1,22690549
22690974,Bird,Caloenas nicobarica,IND,0.013199665,1,22690974
22691142,Bird,Treron bicinctus,IND,0.384968127,1,22691142
22691160,Bird,Treron curvirostra,IND,0.075440707,1,22691160
22691203,Bird,Treron phoenicopterus,IND,0.610257862,1,22691203
22691252,Bird,Treron apicauda,IND,0.141966279,1,22691252
22691274,Bird,Treron sphenurus,IND,0.12801524,1,22691274
22691799,Bird,Ducula bicolor,IND,0.008945044,1,22691799
22691896,Bird,Tetrax tetrax,IND,0.005043169,1,22691896
22691932,Bird,Ardeotis nigriceps,IND,0.994660791,1,22691932
22692015,Bird,Houbaropsis bengalensis,IND,0.693954659,1,22692015
22692024,Bird,Sypheotides indicus,IND,0.928833952,1,22692024
22692053,Bird,Leucogeranus leucogeranus,IND,0.037861157,1,22692053
22692064,Bird,Grus antigone,IND,0.450732772,1,22692064
22692081,Bird,Anthropoides virgo,IND,0.12065995,1,22692081
22692146,Bird,Grus grus,IND,0.025272323,1,22692146
22692162,Bird,Grus nigricollis,IND,0.010969813,1,22692162
22692311,Bird,Rallina canningi,IND,1,1,22692311
22692314,Bird,Rallina fasciata,IND,9.44E-04,1,22692314
22692317,Bird,Rallina eurizonoides,IND,0.125437339,1,22692317
22692463,Bird,Lewinia striata,IND,0.08409462,1,22692463
22692612,Bird,Zapornia akool,IND,0.593680324,1,22692612
22692640,Bird,Amaurornis phoenicurus,IND,0.277344285,1,22692640
22692660,Bird,Zapornia bicolor,IND,0.154641234,1,22692660
22692663,Bird,Zapornia parva,IND,0.003069985,1,22692663
22692667,Bird,Zapornia pusilla,IND,0.064362041,1,22692667
22692676,Bird,Porzana porzana,IND,0.036353224,1,22692676
22692699,Bird,Zapornia fusca,IND,0.077959075,1,22692699
22692789,Bird,Gallicrex cinerea,IND,0.251117479,1,22692789
22692792,Bird,Porphyrio porphyrio,IND,0.159951764,1,22692792
22692913,Bird,Fulica atra,IND,0.07867376,1,22692913
22692977,Bird,Syrrhaptes tibetanus,IND,0.016647259,1,22692977
22692983,Bird,Pterocles alchata,IND,0.035482542,1,22692983
22692990,Bird,Pterocles exustus,IND,0.238357914,1,22692990
22692994,Bird,Pterocles senegallus,IND,0.020426734,1,22692994
22693002,Bird,Pterocles orientalis,IND,0.062230333,1,22693002
22693025,Bird,Pterocles indicus,IND,0.979476733,1,22693025
22693052,Bird,Scolopax rusticola,IND,0.034513924,1,22693052
22693075,Bird,Gallinago solitaria,IND,0.028455103,1,22693075
22693082,Bird,Gallinago nemoricola,IND,0.140205811,1,22693082
22693085,Bird,Gallinago stenura,IND,0.153532044,1,22693085
22693090,Bird,Gallinago megala,IND,0.032459034,1,22693090
22693097,Bird,Gallinago gallinago,IND,0.04828859,1,22693097
22693133,Bird,Lymnocryptes minimus,IND,0.05812542,1,22693133
22693150,Bird,Limosa limosa,IND,0.054581142,1,22693150
22693158,Bird,Limosa lapponica,IND,0.031428673,1,22693158
22693178,Bird,Numenius phaeopus,IND,0.025975651,1,22693178
22693190,Bird,Numenius arquata,IND,0.034123898,1,22693190
22693207,Bird,Tringa erythropus,IND,0.091314432,1,22693207
22693211,Bird,Tringa totanus,IND,0.067777404,1,22693211
22693216,Bird,Tringa stagnatilis,IND,0.045021613,1,22693216
22693220,Bird,Tringa nebularia,IND,0.059407398,1,22693220
22693225,Bird,Tringa guttifer,IND,0.016541821,1,22693225
22693243,Bird,Tringa ochropus,IND,0.062819989,1,22693243
22693247,Bird,Tringa glareola,IND,0.059745112,1,22693247
22693251,Bird,Xenus cinereus,IND,0.008257564,1,22693251
22693264,Bird,Actitis hypoleucos,IND,0.044992206,1,22693264
22693289,Bird,Tringa brevipes,IND,0.006507006,1,22693289
22693336,Bird,Arenaria interpres,IND,0.020484662,1,22693336
22693351,Bird,Limnodromus semipalmatus,IND,0.001106469,1,22693351
22693359,Bird,Calidris tenuirostris,IND,0.062541642,1,22693359
22693363,Bird,Calidris canutus,IND,0.020265882,1,22693363
22693369,Bird,Calidris alba,IND,0.020258665,1,22693369
22693379,Bird,Calidris minuta,IND,0.024902497,1,22693379
22693383,Bird,Calidris ruficollis,IND,0.033364069,1,22693383
22693388,Bird,Calidris temminckii,IND,0.141979253,1,22693388
22693392,Bird,Calidris subminuta,IND,0.062512592,1,22693392
22693427,Bird,Calidris alpina,IND,0.036817855,1,22693427
22693431,Bird,Calidris ferruginea,IND,0.036168841,1,22693431
22693464,Bird,Calidris falcinellus,IND,0.048511027,1,22693464
22693468,Bird,Calidris pugnax,IND,0.008705894,1,22693468
22693543,Bird,Hydrophasianus chirurgus,IND,0.345346969,1,22693543
22693547,Bird,Metopidius indicus,IND,0.579144187,1,22693547
22693604,Bird,Esacus recurvirostris,IND,0.553842798,1,22693604
22693613,Bird,Haematopus ostralegus,IND,0.027169772,1,22693613
22693672,Bird,Ibidorhyncha struthersii,IND,0.054316764,1,22693672
22693712,Bird,Recurvirostra avosetta,IND,0.041295255,1,22693712
22693735,Bird,Pluvialis fulva,IND,0.061888194,1,22693735
22693749,Bird,Pluvialis squatarola,IND,0.022067535,1,22693749
22693759,Bird,Charadrius hiaticula,IND,0.004364056,1,22693759
22693767,Bird,Charadrius placidus,IND,0.029745907,1,22693767
22693770,Bird,Charadrius dubius,IND,0.063351861,1,22693770
22693862,Bird,Charadrius leschenaultii,IND,0.033977144,1,22693862
22693949,Bird,Vanellus vanellus,IND,0.01659939,1,22693949
22693959,Bird,Vanellus malabaricus,IND,0.930080795,1,22693959
22693992,Bird,Vanellus duvaucelii,IND,0.437080243,1,22693992
22694010,Bird,Vanellus cinereus,IND,0.073796882,1,22694010
22694013,Bird,Vanellus indicus,IND,0.391100945,1,22694013
22694053,Bird,Vanellus gregarius,IND,0.123790697,1,22694053
22694064,Bird,Vanellus leucurus,IND,0.11146647,1,22694064
22694081,Bird,Dromas ardeola,IND,0.052052584,1,22694081
22694103,Bird,Rhinoptilus bitorquatus,IND,1,1,22694103
22694124,Bird,Cursorius coromandelicus,IND,0.863404627,1,22694124
22694127,Bird,Glareola pratincola,IND,0.00656346,1,22694127
22694132,Bird,Glareola maldivarum,IND,0.073045564,1,22694132
22694152,Bird,Glareola lactea,IND,0.499910618,1,22694152
22694240,Bird,Stercorarius pomarinus,IND,0.021187475,1,22694240
22694268,Bird,Rynchops albicollis,IND,0.869605063,1,22694268
22694373,Bird,Larus fuscus,IND,0.03315485,1,22694373
22694379,Bird,Larus ichthyaetus,IND,0.250516773,1,22694379
22694384,Bird,Larus brunnicephalus,IND,0.358392655,1,22694384
22694420,Bird,Larus ridibundus,IND,0.02407621,1,22694420
22694428,Bird,Larus genei,IND,0.038707751,1,22694428
22694524,Bird,Hydroprogne caspia,IND,0.055138468,1,22694524
22694537,Bird,Sterna aurantia,IND,0.524643816,1,22694537
22694561,Bird,Thalasseus bengalensis,IND,0.088417536,1,22694561
22694571,Bird,Thalasseus bergii,IND,0.001668955,1,22694571
22694591,Bird,Thalasseus sandvicensis,IND,0.003706348,1,22694591
22694601,Bird,Sterna dougallii,IND,0.015188034,1,22694601
22694612,Bird,Sterna sumatrana,IND,0.021420525,1,22694612
22694623,Bird,Sterna hirundo,IND,0.008458986,1,22694623
22694656,Bird,Sternula albifrons,IND,0.019498148,1,22694656
22694666,Bird,Sternula saundersi,IND,0.002747428,1,22694666
22694705,Bird,Sterna repressa,IND,0.275780287,1,22694705
22694711,Bird,Sterna acuticauda,IND,0.708186801,1,22694711
22694730,Bird,Onychoprion anaethetus,IND,0.02866614,1,22694730
22694740,Bird,Onychoprion fuscatus,IND,0.014582308,1,22694740
22694764,Bird,Chlidonias hybrida,IND,0.086116037,1,22694764
22694782,Bird,Chlidonias leucopterus,IND,0.00457385,1,22694782
22694794,Bird,Anous stolidus,IND,0.007750678,1,22694794
22694805,Bird,Anous tenuirostris,IND,0.071870326,1,22694805
22694938,Bird,Pandion haliaetus,IND,0.030922409,1,22694938
22694956,Bird,Aviceda jerdoni,IND,0.112293583,1,22694956
22694964,Bird,Aviceda leuphotes,IND,0.028532448,1,22694964
22694995,Bird,Pernis ptilorhynchus,IND,0.180103617,1,22694995
22695028,Bird,Elanus caeruleus,IND,0.10506064,1,22695028
22695094,Bird,Haliastur indus,IND,0.29608902,1,22695094
22695097,Bird,Haliaeetus leucogaster,IND,0.032428862,1,22695097
22695130,Bird,Haliaeetus leucoryphus,IND,0.100434094,1,22695130
22695137,Bird,Haliaeetus albicilla,IND,0.009271458,1,22695137
22695156,Bird,Icthyophaga humilis,IND,0.250916648,1,22695156
22695163,Bird,Icthyophaga ichthyaetus,IND,0.264272045,1,22695163
22695174,Bird,Gypaetus barbatus,IND,0.027226112,1,22695174
22695180,Bird,Neophron percnopterus,IND,0.094801815,1,22695180
22695194,Bird,Gyps bengalensis,IND,0.517331362,1,22695194
