English Name,Scientific Name,BLI,GEN
Legge's Hawk-Eagle,Nisaetus kelaarti,Nisaetus nipalensis,34
Rufous-bellied Eagle,Lophotriorchis kienerii,Lophotriorchis kienerii,27
Black Eagle,Ictinaetus malaiensis,Ictinaetus malaiensis,29
Indian Spotted Eagle,Clanga hastata,Clanga hastata,29
Greater Spotted Eagle,Clanga clanga,Clanga clanga,30
Booted Eagle,Hieraaetus pennatus,Hieraaetus pennatus,20
Tawny Eagle,Aquila rapax,Aquila rapax,43
Steppe Eagle,Aquila nipalensis,Aquila nipalensis,40
Imperial Eagle,Aquila heliaca,Aquila heliaca,50
Golden Eagle,Aquila chrysaetos,Aquila chrysaetos,57
Bonelli's Eagle,Aquila fasciata,Aquila fasciata,35
White-eyed Buzzard,Butastur teesa,Butastur teesa,17
Rufous-winged Buzzard,Butastur liventer,Butastur liventer,18
Gray-faced Buzzard,Butastur indicus,Butastur indicus,17
Eurasian Marsh-Harrier,Circus aeruginosus,Circus aeruginosus,20
Eastern Marsh-Harrier,Circus spilonotus,Circus spilonotus,19
Hen Harrier,Circus cyaneus,Circus cyaneus,25
Pallid Harrier,Circus macrourus,Circus macrourus,16
Pied Harrier,Circus melanoleucos,Circus melanoleucos,14
Montagu's Harrier,Circus pygargus,Circus pygargus,17
Crested Goshawk,Accipiter trivirgatus,Accipiter trivirgatus,18
Shikra,Accipiter badius,Accipiter badius,11
Nicobar Sparrowhawk,Accipiter butleri,Accipiter butleri,18
Chinese Sparrowhawk,Accipiter soloensis,Accipiter soloensis,14
Japanese Sparrowhawk,Accipiter gularis,Accipiter gularis,12
Besra,Accipiter virgatus,Accipiter virgatus,12
Eurasian Sparrowhawk,Accipiter nisus,Accipiter nisus,16
Northern Goshawk,Accipiter gentilis,Accipiter gentilis,24
Red Kite,Milvus milvus,Milvus milvus,33
Black Kite,Milvus migrans,Milvus migrans,28
Brahminy Kite,Haliastur indus,Haliastur indus,20
White-tailed Eagle,Haliaeetus albicilla,Haliaeetus albicilla,51
Pallas's Fish-Eagle,Haliaeetus leucoryphus,Haliaeetus leucoryphus,37
White-bellied Sea-Eagle,Haliaeetus leucogaster,Haliaeetus leucogaster,37
Lesser Fish-Eagle,Haliaeetus humilis,Icthyophaga humilis,24
Gray-headed Fish-Eagle,Haliaeetus ichthyaetus,Icthyophaga ichthyaetus,29
Rough-legged Hawk,Buteo lagopus,Buteo lagopus,21
Common Buzzard,Buteo buteo,Buteo buteo,29
Himalayan Buzzard,Buteo refectus,Buteo refectus,25
Long-legged Buzzard,Buteo rufinus,Buteo rufinus,22
Upland Buzzard,Buteo hemilasius,Buteo hemilasius,23
Australasian Grass-Owl,Tyto longimembris,Tyto longimembris,14
Barn Owl,Tyto alba,Tyto alba,21
Andaman Masked-Owl,Tyto deroepstorffi,Tyto alba,21
Oriental Bay-Owl,Phodilus badius,Phodilus badius,16
Sri Lanka Bay-Owl,Phodilus assimilis,Phodilus assimilis,16
Andaman Scops-Owl,Otus balli,Otus balli,11
Mountain Scops-Owl,Otus spilocephalus,Otus spilocephalus,9
Indian Scops-Owl,Otus bakkamoena,Otus bakkamoena,10
Collared Scops-Owl,Otus lettia,Otus lettia,11
Nicobar Scops-Owl,Otus alius,Otus alius,10
Eurasian Scops-Owl,Otus scops,Otus scops,9
Pallid Scops-Owl,Otus brucei,Otus brucei,9
Oriental Scops-Owl,Otus sunia,Otus sunia,9
Eurasian Eagle-Owl,Bubo bubo,Bubo bubo,41
Rock Eagle-Owl,Bubo bengalensis,Bubo bengalensis,30
Spot-bellied Eagle-Owl,Bubo nipalensis,Bubo nipalensis,27
Dusky Eagle-Owl,Bubo coromandus,Bubo coromandus,24
Brown Fish-Owl,Ketupa zeylonensis,Ketupa zeylonensis,27
Tawny Fish-Owl,Ketupa flavipes,Ketupa flavipes,33
Buffy Fish-Owl,Ketupa ketupu,Ketupa ketupu,29
Asian Barred Owlet,Glaucidium cuculoides,Glaucidium cuculoides,13
Jungle Owlet,Glaucidium radiatum,Glaucidium radiatum,13
Collared Owlet,Taenioptynx brodiei,Glaucidium brodiei,10
Spotted Owlet,Athene brama,Athene brama,13
Little Owl,Athene noctua,Athene noctua,11
Forest Owlet,Athene blewitti,Athene blewitti,15
Mottled Wood-Owl,Strix ocellata,Strix ocellata,20
Brown Wood-Owl,Strix leptogrammica,Strix leptogrammica,25
Tawny Owl,Strix aluco,Strix aluco,17
Himalayan Owl,Strix nivicolum,Strix nivicolum,15
Long-eared Owl,Asio otus,Asio otus,17
Short-eared Owl,Asio flammeus,Asio flammeus,14
Boreal Owl,Aegolius funereus,Aegolius funereus,12
Andaman Boobook,Ninox affinis,Ninox affinis,19
Brown Boobook,Ninox scutulata,Ninox scutulata,15
Hume's Boobook,Ninox obscura,Ninox obscura,17
Malabar Trogon,Harpactes fasciatus,Harpactes fasciatus,12
Red-headed Trogon,Harpactes erythrocephalus,Harpactes erythrocephalus,13
Ward's Trogon,Harpactes wardi,Harpactes wardi,14
Eurasian Hoopoe,Upupa epops,Upupa epops,8
Great Hornbill,Buceros bicornis,Buceros bicornis,63
Brown Hornbill,Anorrhinus austeni,Anorrhinus austeni,21
Indian Gray Hornbill,Ocyceros birostris,Ocyceros birostris,18
Malabar Gray Hornbill,Ocyceros griseus,Ocyceros griseus,18
Malabar Pied-Hornbill,Anthracoceros coronatus,Anthracoceros coronatus,22
Oriental Pied-Hornbill,Anthracoceros albirostris,Anthracoceros albirostris,23
Rufous-necked Hornbill,Aceros nipalensis,Aceros nipalensis,33
Wreathed Hornbill,Rhyticeros undulatus,Rhyticeros undulatus,31
Narcondam Hornbill,Rhyticeros narcondami,Rhyticeros narcondami,24
Blyth's Kingfisher,Alcedo hercules,Alcedo hercules,11
Common Kingfisher,Alcedo atthis,Alcedo atthis,14
Blue-eared Kingfisher,Alcedo meninting,Alcedo meninting,11
Black-backed Dwarf-Kingfisher,Ceyx erithaca,Ceyx erithaca,8
Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa,Ceyx erithaca,8
Brown-winged Kingfisher,Pelargopsis amauroptera,Pelargopsis amauroptera,15
Stork-billed Kingfisher,Pelargopsis capensis,Pelargopsis capensis,15
Ruddy Kingfisher,Halcyon coromanda,Halcyon coromanda,9
White-throated Kingfisher,Halcyon smyrnensis,Halcyon smyrnensis,11
Black-capped Kingfisher,Halcyon pileata,Halcyon pileata,10
Collared Kingfisher,Todiramphus chloris,Todiramphus chloris,10
Crested Kingfisher,Megaceryle lugubris,Megaceryle lugubris,14
Pied Kingfisher,Ceryle rudis,Ceryle rudis,10
Blue-bearded Bee-eater,Nyctyornis athertoni,Nyctyornis athertoni,12
Asian Green Bee-eater,Merops orientalis,Merops orientalis,8
Blue-throated Bee-eater,Merops viridis,Merops viridis,10
Blue-cheeked Bee-eater,Merops persicus,Merops persicus,9
Blue-tailed Bee-eater,Merops philippinus,Merops philippinus,8
European Bee-eater,Merops apiaster,Merops apiaster,9
Chestnut-headed Bee-eater,Merops leschenaulti,Merops leschenaulti,10
European Roller,Coracias garrulus,Coracias garrulus,11
Indian Roller,Coracias benghalensis,Coracias benghalensis,14
Indochinese Roller,Coracias affinis,Coracias affinis,15
Dollarbird,Eurystomus orientalis,Eurystomus orientalis,13
Malabar Barbet,Psilopogon malabaricus,Psilopogon malabaricus,11
Coppersmith Barbet,Psilopogon haemacephalus,Psilopogon haemacephalus,11
Blue-eared Barbet,Psilopogon duvaucelii,Psilopogon duvaucelii,11
Great Barbet,Psilopogon virens,Psilopogon virens,15
Lineated Barbet,Psilopogon lineatus,Psilopogon lineatus,15
Brown-headed Barbet,Psilopogon zeylanicus,Psilopogon zeylanicus,14
White-cheeked Barbet,Psilopogon viridis,Psilopogon viridis,13
Golden-throated Barbet,Psilopogon franklinii,Psilopogon franklinii,12
Blue-throated Barbet,Psilopogon asiaticus,Psilopogon asiaticus,13
Yellow-rumped Honeyguide,Indicator xanthonotus,Indicator xanthonotus,10
Eurasian Wryneck,Jynx torquilla,Jynx torquilla,8
Speckled Piculet,Picumnus innominatus,Picumnus innominatus,8
White-browed Piculet,Sasia ochracea,Sasia ochracea,8
Heart-spotted Woodpecker,Hemicircus canente,Hemicircus canente,12
Brown-capped Pygmy Woodpecker,Yungipicus nanus,Picoides nanus,9
Gray-capped Pygmy Woodpecker,Yungipicus canicapillus,Picoides canicapillus,8
Yellow-crowned Woodpecker,Leiopicus mahrattensis,Leiopicus mahrattensis,10
Brown-fronted Woodpecker,Dendrocoptes auriceps,Leiopicus auriceps,10
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,Dendrocopos hyperythrus,9
Fulvous-breasted Woodpecker,Dendrocopos macei,Dendrocopos macei,10
Freckle-breasted Woodpecker,Dendrocopos analis,Dendrocopos analis,10
Stripe-breasted Woodpecker,Dendrocopos atratus,Dendrocopos atratus,9
Darjeeling Woodpecker,Dendrocopos darjellensis,Dendrocopos darjellensis,11
Great Spotted Woodpecker,Dendrocopos major,Dendrocopos major,9
Himalayan Woodpecker,Dendrocopos himalayensis,Dendrocopos himalayensis,11
Sind Woodpecker,Dendrocopos assimilis,Dendrocopos assimilis,10
Crimson-breasted Woodpecker,Dryobates cathpharius,Dryobates cathpharius,8
Bay Woodpecker,Blythipicus pyrrhotis,Blythipicus pyrrhotis,15
Greater Flameback,Chrysocolaptes guttacristatus,Chrysocolaptes guttacristatus,16
White-naped Woodpecker,Chrysocolaptes festivus,Chrysocolaptes festivus,18
Rufous Woodpecker,Micropternus brachyurus,Micropternus brachyurus,14
Pale-headed Woodpecker,Gecinulus grantia,Gecinulus grantia,13
Himalayan Flameback,Dinopium shorii,Dinopium shorii,13
Common Flameback,Dinopium javanense,Dinopium javanense,12
Black-rumped Flameback,Dinopium benghalense,Dinopium benghalense,13
Lesser Yellownape,Picus chlorolophus,Picus chlorolophus,10
Streak-throated Woodpecker,Picus xanthopygaeus,Picus xanthopygaeus,11
Scaly-bellied Woodpecker,Picus squamatus,Picus squamatus,11
Gray-headed Woodpecker,Picus canus,Picus canus,10
Greater Yellownape,Chrysophlegma flavinucha,Chrysophlegma flavinucha,19
Great Slaty Woodpecker,Mulleripicus pulverulentus,Mulleripicus pulverulentus,20
White-bellied Woodpecker,Dryocopus javensis,Dryocopus javensis,14
Andaman Woodpecker,Dryocopus hodgei,Dryocopus hodgei,13
Collared Falconet,Microhierax caerulescens,Microhierax caerulescens,10
Pied Falconet,Microhierax melanoleucos,Microhierax melanoleucos,11
Lesser Kestrel,Falco naumanni,Falco naumanni,13
Eurasian Kestrel,Falco tinnunculus,Falco tinnunculus,18
Red-necked Falcon,Falco chicquera,Falco chicquera,14
Red-footed Falcon,Falco vespertinus,Falco vespertinus,15
Amur Falcon,Falco amurensis,Falco amurensis,13
Merlin,Falco columbarius,Falco columbarius,11
Eurasian Hobby,Falco subbuteo,Falco subbuteo,14
Oriental Hobby,Falco severus,Falco severus,13
Laggar Falcon,Falco jugger,Falco jugger,18
Saker Falcon,Falco cherrug,Falco cherrug,20
Peregrine Falcon,Falco peregrinus,Falco peregrinus,18
Alexandrine Parakeet,Psittacula eupatria,Palaeornis eupatria,28
Rose-ringed Parakeet,Psittacula krameri,Alexandrinus krameri,31
Slaty-headed Parakeet,Psittacula himalayana,Himalayapsitta himalayana,20
Gray-headed Parakeet,Psittacula finschii,Himalayapsitta finschii,19
Plum-headed Parakeet,Psittacula cyanocephala,Himalayapsitta cyanocephala,21
Blossom-headed Parakeet,Psittacula roseata,Himalayapsitta roseata,20
Malabar Parakeet,Psittacula columboides,Nicopsitta columboides,12
Derbyan Parakeet,Psittacula derbiana,Psittacula derbiana,20
Red-breasted Parakeet,Psittacula alexandri,Psittacula alexandri,17
Nicobar Parakeet,Psittacula caniceps,Psittacula caniceps,17
Long-tailed Parakeet,Psittacula longicauda,Belocercus longicaudus,15
Vernal Hanging-Parrot,Loriculus vernalis,Loriculus vernalis,9
Long-tailed Broadbill,Psarisomus dalhousiae,Psarisomus dalhousiae,10
Silver-breasted Broadbill,Serilophus lunatus,Serilophus lunatus,10
Blue-naped Pitta,Hydrornis nipalensis,Hydrornis nipalensis,13
Blue Pitta,Hydrornis cyaneus,Hydrornis cyaneus,11
Indian Pitta,Pitta brachyura,Pitta brachyura,9
Blue-winged Pitta,Pitta moluccensis,Pitta moluccensis,10
Hooded Pitta,Pitta sordida,Pitta sordida,11
Mangrove Pitta,Pitta megarhyncha,Pitta megarhyncha,14
White-bellied Minivet,Pericrocotus erythropygius,Pericrocotus erythropygius,8
Small Minivet,Pericrocotus cinnamomeus,Pericrocotus cinnamomeus,8
Gray-chinned Minivet,Pericrocotus solaris,Pericrocotus solaris,9
Short-billed Minivet,Pericrocotus brevirostris,Pericrocotus brevirostris,9
Long-tailed Minivet,Pericrocotus ethologus,Pericrocotus ethologus,9
Orange Minivet,Pericrocotus flammeus,Pericrocotus flammeus,10
Scarlet Minivet,Pericrocotus speciosus,Pericrocotus flammeus,10
Ashy Minivet,Pericrocotus divaricatus,Pericrocotus divaricatus,10
Brown-rumped Minivet,Pericrocotus cantonensis,Pericrocotus cantonensis,9
Rosy Minivet,Pericrocotus roseus,Pericrocotus roseus,9
Large Cuckooshrike,Coracina macei,Coracina javensis,14
Andaman Cuckooshrike,Coracina dobsoni,Coracina dobsoni,16
Pied Triller,Lalage nigra,Lalage nigra,11
Black-winged Cuckooshrike,Lalage melaschistos,Lalage melaschistos,11
Black-headed Cuckooshrike,Lalage melanoptera,Lalage melanoptera,10
Black-headed Shrike-Babbler,Pteruthius rufiventer,Pteruthius rufiventer,11
White-browed Shrike-Babbler,Pteruthius aeralatus,Pteruthius aeralatus,11
Green Shrike-Babbler,Pteruthius xanthochlorus,Pteruthius xanthochlorus,8
Black-eared Shrike-Babbler,Pteruthius melanotis,Pteruthius melanotis,8
Clicking Shrike-Babbler,Pteruthius intermedius,Pteruthius aenobarbus,11
White-bellied Erpornis,Erpornis zantholeuca,Erpornis zantholeuca,9
Mangrove Whistler,Pachycephala cinerea,Pachycephala cinerea,14
Eurasian Golden Oriole,Oriolus oriolus,Oriolus oriolus,11
Indian Golden Oriole,Oriolus kundoo,Oriolus kundoo,11
Black-naped Oriole,Oriolus chinensis,Oriolus chinensis,12
Slender-billed Oriole,Oriolus tenuirostris,Oriolus tenuirostris,11
Black-hooded Oriole,Oriolus xanthornus,Oriolus xanthornus,11
Maroon Oriole,Oriolus traillii,Oriolus traillii,11
Ashy Woodswallow,Artamus fuscus,Artamus fuscus,12
White-breasted Woodswallow,Artamus leucorynchus,Artamus leucoryn,11
Malabar Woodshrike,Tephrodornis sylvicola,Tephrodornis sylvicola,11
Large Woodshrike,Tephrodornis virgatus,Tephrodornis virgatus,11
Common Woodshrike,Tephrodornis pondicerianus,Tephrodornis pondicerianus,9
Bar-winged Flycatcher-shrike,Hemipus picatus,Hemipus picatus,8
Common Iora,Aegithina tiphia,Aegithina tiphia,8
White-tailed Iora,Aegithina nigrolutea,Aegithina nigrolutea,8
White-throated Fantail,Rhipidura albicollis,Rhipidura albicollis,7
Spot-breasted Fantail,Rhipidura albogularis,Rhipidura albogularis,7
White-browed Fantail,Rhipidura aureola,Rhipidura aureola,7
Black Drongo,Dicrurus macrocercus,Dicrurus macrocercus,10
Ashy Drongo,Dicrurus leucophaeus,Dicrurus leucophaeus,9
White-bellied Drongo,Dicrurus caerulescens,Dicrurus caerulescens,11
Crow-billed Drongo,Dicrurus annectens,Dicrurus annectens,10
Bronzed Drongo,Dicrurus aeneus,Dicrurus aeneus,9
Lesser Racket-tailed Drongo,Dicrurus remifer,Dicrurus remifer,11
Hair-crested Drongo,Dicrurus hottentottus,Dicrurus hottentottus,11
Andaman Drongo,Dicrurus andamanensis,Dicrurus andamanensis,11
Greater Racket-tailed Drongo,Dicrurus paradiseus,Dicrurus paradiseus,12
Black-naped Monarch,Hypothymis azurea,Hypothymis azurea,8
Amur Paradise-Flycatcher,Terpsiphone incei,Terpsiphone incei,9
Blyth's Paradise-Flycatcher,Terpsiphone affinis,Terpsiphone affinis,9
Indian Paradise-Flycatcher,Terpsiphone paradisi,Terpsiphone paradisi,8
Red-backed Shrike,Lanius collurio,Lanius collurio,8
Red-tailed Shrike,Lanius phoenicuroides,Lanius phoenicuroides,8
Isabelline Shrike,Lanius isabellinus,Lanius isabellinus,7
Brown Shrike,Lanius cristatus,Lanius cristatus,8
Burmese Shrike,Lanius collurioides,Lanius collurioides,8
Bay-backed Shrike,Lanius vittatus,Lanius vittatus,7
Long-tailed Shrike,Lanius schach,Lanius schach,9
Gray-backed Shrike,Lanius tephronotus,Lanius tephronotus,8
Great Gray Shrike,Lanius excubitor,Lanius excubitor,11
Lesser Gray Shrike,Lanius minor,Lanius minor,8
Masked Shrike,Lanius nubicus,Lanius nubicus,7
Woodchat Shrike,Lanius senator,Lanius senator,8
Eurasian Jay,Garrulus glandarius,Garrulus glandarius,14
Black-headed Jay,Garrulus lanceolatus,Garrulus lanceolatus,14
Yellow-billed Blue-Magpie,Urocissa flavirostris,Urocissa flavirostris,14
Red-billed Blue-Magpie,Urocissa erythroryncha,Urocissa erythroryncha,14
Common Green-Magpie,Cissa chinensis,Cissa chinensis,12
Rufous Treepie,Dendrocitta vagabunda,Dendrocitta vagabunda,12
Gray Treepie,Dendrocitta formosae,Dendrocitta formosae,13
White-bellied Treepie,Dendrocitta leucogastra,Dendrocitta leucogastra,13
Collared Treepie,Dendrocitta frontalis,Dendrocitta frontalis,13
Andaman Treepie,Dendrocitta bayleii,Dendrocitta bayleii,14
Eurasian Magpie,Pica pica,Pica pica,17
Eurasian Nutcracker,Nucifraga caryocatactes,Nucifraga hemispila,14
Kashmir Nutcracker,Nucifraga multipunctata,Nucifraga multipunctata,14
Red-billed Chough,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,26
Yellow-billed Chough,Pyrrhocorax graculus,Pyrrhocorax graculus,27
Eurasian Jackdaw,Corvus monedula,Corvus monedula,16
House Crow,Corvus splendens,Corvus splendens,16
Rook,Corvus frugilegus,Corvus frugilegus,18
Carrion Crow,Corvus corone,Corvus corone,21
Hooded Crow,Corvus cornix,Corvus corone,21
Large-billed Crow,Corvus macrorhynchos,Corvus macrorhynchos,19
Pied Crow,Corvus albus,Corvus albus,20
Common Raven,Corvus corax,Corvus corax,28
Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Chelidorhynx hypoxanthus,9
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,Culicicapa ceylonensis,7
Fire-capped Tit,Cephalopyrus flammiceps,Cephalopyrus flammiceps,7
Yellow-browed Tit,Sylviparus modestus,Sylviparus modestus,7
Sultan Tit,Melanochlora sultanea,Melanochlora sultanea,9
Coal Tit,Periparus ater,Periparus ater,8
Rufous-naped Tit,Periparus rufonuchalis,Periparus rufonuchalis,8
Rufous-vented Tit,Periparus rubidiventris,Periparus rubidiventris,8
Gray-crested Tit,Lophophanes dichrous,Lophophanes dichrous,9
Azure Tit,Cyanistes cyanus,Cyanistes cyanus,9
Ground Tit,Pseudopodoces humilis,Pseudopodoces humilis,10
Green-backed Tit,Parus monticolus,Parus monticolus,10
Cinereous Tit,Parus cinereus,Parus major,11
White-naped Tit,Machlolophus nuchalis,Machlolophus nuchalis,8
Himalayan Black-lored Tit,Machlolophus xanthogenys,Machlolophus xanthogenys,8
Indian Yellow Tit,Machlolophus aplonotus,Machlolophus xanthogenys,8
Yellow-cheeked Tit,Machlolophus spilonotus,Machlolophus spilonotus,8
White-crowned Penduline-Tit,Remiz coronatus,Remiz coronatus,6
Greater Hoopoe-Lark,Alaemon alaudipes,Alaemon alaudipes,11
Rufous-tailed Lark,Ammomanes phoenicura,Ammomanes phoenicura,9
Desert Lark,Ammomanes deserti,Ammomanes deserti,9
Black-crowned Sparrow-Lark,Eremopterix nigriceps,Eremopterix nigriceps,9
Ashy-crowned Sparrow-Lark,Eremopterix griseus,Eremopterix griseus,9
Horsefield's Bushlark,Mirafra javanica,Mirafra javanica,9
Bengal Bushlark,Mirafra assamica,Mirafra assamica,10
Jerdon's Bushlark,Mirafra affinis,Mirafra affinis,10
Indian Bushlark,Mirafra erythroptera,Mirafra erythroptera,9
Horned Lark,Eremophila alpestris,Eremophila alpestris,10
Greater Short-toed Lark,Calandrella brachydactyla,Calandrella brachydactyla,9
Mongolian Short-toed Lark,Calandrella dukhunensis,Calandrella dukhunensis,9
Hume's Lark,Calandrella acutirostris,Calandrella acutirostris,9
Bimaculated Lark,Melanocorypha bimaculata,Melanocorypha bimaculata,10
Tibetan Lark,Melanocorypha maxima,Melanocorypha maxima,12
Turkestan Short-toed Lark,Alaudala heinei,Alaudala heinei,9
Sand Lark,Alaudala raytal,Alaudala raytal,9
Eurasian Skylark,Alauda arvensis,Alauda arvensis,9
Oriental Skylark,Alauda gulgula,Alauda gulgula,9
Crested Lark,Galerida cristata,Galerida cristata,9
Malabar Lark,Galerida malabarica,Galerida malabarica,11
Tawny Lark,Galerida deva,Galerida deva,8
Common Tailorbird,Orthotomus sutorius,Orthotomus sutorius,7
Dark-necked Tailorbird,Orthotomus atrogularis,Orthotomus atrogularis,7
Himalayan Prinia,Prinia crinigera,Prinia crinigera,7
Black-throated Prinia,Prinia atrogularis,Prinia atrogularis,7
Rufous-crowned Prinia,Prinia khasiana,Prinia khasiana,8
Hill Prinia,Prinia superciliaris,Prinia superciliaris,8
Gray-crowned Prinia,Prinia cinereocapilla,Prinia cinereocapilla,7
Rufous-fronted Prinia,Prinia buchanani,Prinia buchanani,7
Rufescent Prinia,Prinia rufescens,Prinia rufescens,6
Gray-breasted Prinia,Prinia hodgsonii,Prinia hodgsonii,6
Delicate Prinia,Prinia lepida,Prinia gracilis,7
Jungle Prinia,Prinia sylvatica,Prinia sylvatica,8
Yellow-bellied Prinia,Prinia flaviventris,Prinia flaviventris,6
Ashy Prinia,Prinia socialis,Prinia socialis,7
Plain Prinia,Prinia inornata,Prinia inornata,6
Zitting Cisticola,Cisticola juncidis,Cisticola juncidis,6
Golden-headed Cisticola,Cisticola exilis,Cisticola exilis,7
Thick-billed Warbler,Arundinax aedon,Arundinax aedon,9
Booted Warbler,Iduna caligata,Iduna caligata,7
Sykes's Warbler,Iduna rama,Iduna rama,7
Black-browed Reed Warbler,Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,8
Moustached Warbler,Acrocephalus melanopogon,Acrocephalus melanopogon,8
Sedge Warbler,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,9
Paddyfield Warbler,Acrocephalus agricola,Acrocephalus agricola,8
Blunt-winged Warbler,Acrocephalus concinens,Acrocephalus concinens,8
Blyth's Reed Warbler,Acrocephalus dumetorum,Acrocephalus dumetorum,7
Large-billed Reed Warbler,Acrocephalus orinus,Acrocephalus orinus,11
Great Reed Warbler,Acrocephalus arundinaceus,Acrocephalus arundinaceus,8
Oriental Reed Warbler,Acrocephalus orientalis,Acrocephalus orientalis,11
Clamorous Reed Warbler,Acrocephalus stentoreus,Acrocephalus stentoreus,9
Pallas's Grasshopper Warbler,Helopsaltes certhiola,Helopsaltes certhiola,8
Lanceolated Warbler,Locustella lanceolata,Locustella lanceolata,7
Brown Bush Warbler,Locustella luteoventris,Locustella luteoventris,7
Common Grasshopper-Warbler,Locustella naevia,Locustella naevia,7
Long-billed Bush Warbler,Locustella major,Locustella major,7
Chinese Bush Warbler,Locustella tacsanowskia,Locustella tacsanowskia,7
Baikal Bush Warbler,Locustella davidi,Locustella davidi,7
West Himalayan Bush Warbler,Locustella kashmirensis,Locustella kashmirensis,7
Spotted Bush Warbler,Locustella thoracica,Locustella thoracica,7
Russet Bush Warbler,Locustella mandelli,Locustella mandelli,7
Broad-tailed Grassbird,Schoenicola platyurus,Schoenicola platyurus,9
Bristled Grassbird,Schoenicola striatus,Schoenicola striatus,9
Striated Grassbird,Megalurus palustris,Megalurus palustris,11
Scaly-breasted Cupwing,Pnoepyga albiventer,Pnoepyga albiventer,9
Immaculate Cupwing,Pnoepyga immaculata,Pnoepyga immaculata,9
Pygmy Cupwing,Pnoepyga pusilla,Pnoepyga pusilla,8
Gray-throated Martin,Riparia chinensis,Riparia chinensis,8
Bank Swallow,Riparia riparia,Riparia riparia,8
Pale Sand Martin,Riparia diluta,Riparia diluta,8
Eurasian Crag-Martin,Ptyonoprogne rupestris,Ptyonoprogne rupestris,9
Dusky Crag-Martin,Ptyonoprogne concolor,Ptyonoprogne concolor,8
Barn Swallow,Hirundo rustica,Hirundo rustica,11
Wire-tailed Swallow,Hirundo smithii,Hirundo smithii,8
Hill Swallow,Hirundo domicola,Hirundo javanica,8
Pacific Swallow,Hirundo tahitica,Hirundo tahitica,9
Red-rumped Swallow,Cecropis daurica,Cecropis daurica,7
Striated Swallow,Cecropis striolata,Cecropis daurica,7
Streak-throated Swallow,Petrochelidon fluvicola,Petrochelidon fluvicola,7
Common House-Martin,Delichon urbicum,Delichon urbicum,10
Asian House-Martin,Delichon dasypus,Delichon dasypus,10
Nepal House-Martin,Delichon nipalense,Delichon nipalense,9
Gray-headed Bulbul,Brachypodius priocephalus,Brachypodius priocephalus,14
Black-headed Bulbul,Brachypodius melanocephalos,Brachypodius atriceps,12
Andaman Bulbul,Brachypodius fuscoflavescens,Brachypodius fuscoflavescens,13
Black-crested Bulbul,Rubigula flaviventris,Rubigula flaviventris,12
Flame-throated Bulbul,Rubigula gularis,Rubigula gularis,12
Crested Finchbill,Spizixos canifrons,Spizixos canifrons,12
Striated Bulbul,Pycnonotus striatus,Alcurus striatus,11
Red-vented Bulbul,Pycnonotus cafer,Pycnonotus cafer,11
Red-whiskered Bulbul,Pycnonotus jocosus,Pycnonotus jocosus,16
White-eared Bulbul,Pycnonotus leucotis,Pycnonotus leucotis,10
Himalayan Bulbul,Pycnonotus leucogenys,Pycnonotus leucogenys,11
Yellow-throated Bulbul,Pycnonotus xantholaemus,Pycnonotus xantholaemus,12
Flavescent Bulbul,Pycnonotus flavescens,Pycnonotus flavescens,11
White-browed Bulbul,Pycnonotus luteolus,Pycnonotus luteolus,12
White-throated Bulbul,Alophoixus flaveolus,Alophoixus flaveolus,11
Gray-eyed Bulbul,Iole propinqua,Iole propinqua,11
Cachar Bulbul,Iole cacharensis,Iole viridescens,10
Yellow-browed Bulbul,Iole indica,Acritillas indica,11
Black Bulbul,Hypsipetes leucocephalus,Hypsipetes leucocephalus,11
Square-tailed Bulbul,Hypsipetes ganeesa,Hypsipetes ganeesa,11
Nicobar Bulbul,Hypsipetes nicobariensis,Ixos nicobariensis,13
Ashy Bulbul,Hemixos flavala,Hemixos flavala,11
Mountain Bulbul,Ixos mcclellandii,Ixos mcclellandii,11
Wood Warbler,Phylloscopus sibilatrix,Phylloscopus sibilatrix,8
Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopus maculipennis,7
Buff-barred Warbler,Phylloscopus pulcher,Phylloscopus pulcher,8
Yellow-browed Warbler,Phylloscopus inornatus,Phylloscopus inornatus,8
Hume's Warbler,Phylloscopus humei,Phylloscopus humei,8
Brooks's Leaf Warbler,Phylloscopus subviridis,Phylloscopus subviridis,7
Chinese Leaf Warbler,Phylloscopus yunnanensis,Phylloscopus yunnanensis,8
Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopus chloronotus,7
Sichuan Leaf Warbler,Phylloscopus forresti,Phylloscopus forresti,7
Tytler's Leaf Warbler,Phylloscopus tytleri,Phylloscopus tytleri,8
Sulphur-bellied Warbler,Phylloscopus griseolus,Phylloscopus griseolus,8
Tickell's Leaf Warbler,Phylloscopus affinis,Phylloscopus affinis,8
Dusky Warbler,Phylloscopus fuscatus,Phylloscopus fuscatus,8
Smoky Warbler,Phylloscopus fuligiventer,Phylloscopus fuligiventer,8
