"COMMON.NAME"
"Chestnut-bellied Rock-Thrush"
"Goldcrest"
"Gray-winged Blackbird"
"Altai Accentor"
"Mountain Scops-Owl"
"Rufous-chinned Laughingthrush"
"Speckled Piculet"
"Variegated Laughingthrush"
"Scaly-breasted Cupwing"
"Blue-capped Rock-Thrush"
"Blue-throated Barbet"
"Russet Sparrow"
"Black-breasted Weaver"
"Black-bellied Plover"
"Eurasian Whimbrel"
"Australasian Grass-Owl"
"Eurasian Coot"
"Striated Babbler"
"Black Bittern"
"Gray-capped Pygmy Woodpecker"
"Malayan Night Heron"
"Nilgiri Wood-Pigeon"
"Black-chinned Babbler"
"Stripe-throated Yuhina"
"Sirkeer Malkoha"
"Red-headed Bunting"
"Chestnut-crowned Laughingthrush"
"Black-throated Thrush"
"Eurasian Jay"
"Great Barbet"
"Lineated Barbet"
"Chestnut Munia"
"Hill Partridge"
"Bengal Bushlark"
"Red Collared-Dove"
"Sarus Crane"
"Black Francolin"
"Black-throated Accentor"
"Brown Crake"
"Steppe Eagle"
"Himalayan Prinia"
"Flame-throated Bulbul"
"White-crested Laughingthrush"
"Booted Eagle"
"Mountain Hawk-Eagle"
"Crested Lark"
"Great Cormorant"
"Eurasian Curlew"
"Bonelli's Eagle"
"Blue-cheeked Bee-eater"
"Black-necked Stork"
"Greater Whitethroat"
"Red-naped Ibis"
"White-tailed Lapwing"
"Black-tailed Godwit"
"Pallas's Gull"
"Jungle Nightjar"
"Gull-billed Tern"
"Oriental Pratincole"
"Spotted Redshank"
"Chestnut-headed Bee-eater"
"Indochinese Roller"
"Oriental Cuckooshrike"
"Lesser Adjutant"
"Hen Harrier"
"Red Junglefowl"
"Swamp Francolin"
"Taiga Flycatcher"
"Aberrant Bush Warbler"
"Daurian Redstart"
"Delicate Prinia"
"Greater Adjutant"
"Kalij Pheasant"
"Kentish Plover"
"Sand Lark"
"Smew"
"Stork-billed Kingfisher"
"White-browed Scimitar-Babbler"
"White-tailed Stonechat"
"Lesser Black-backed Gull"
"Ashy-throated Warbler"
"Ashy Wood-Pigeon"
"Barred Cuckoo-Dove"
"Bay Woodpecker"
"Black-eared Shrike-Babbler"
"Black-backed Forktail"
"Black-throated Sunbird"
"Blue-winged Minla"
"Sikkim Treecreeper"
"Chestnut-crowned Warbler"
"Chestnut-headed Tesia"
"Collared Falconet"
"Crimson-naped Woodpecker"
"Himalayan Cutia"
"Dark-breasted Rosefinch"
"Dark-rumped Rosefinch"
"Darjeeling Woodpecker"
"Greater Necklaced Laughingthrush"
"Golden-throated Barbet"
"Green-billed Malkoha"
"Great Hornbill"
"Common Green-Magpie"
"Greater Yellownape"
"Gray-bellied Tesia"
"Gray-cheeked Warbler"
"Gray-throated Babbler"
"Hodgson's Redstart"
"Hoary-throated Barwing"
"House Swift"
"Large Niltava"
"Little Bunting"
"Lesser Racket-tailed Drongo"
"Mountain Imperial-Pigeon"
"Oriental Scops-Owl"
"Pale-headed Woodpecker"
"Lemon-rumped Warbler"
"Pin-tailed Green-Pigeon"
"Plain Flowerpecker"
"Pygmy Flycatcher"
"Pygmy Cupwing"
"Red-billed Leiothrix"
"Red-headed Trogon"
"Rufous-bellied Eagle"
"Rufous-bellied Niltava"
"Rufous-capped Babbler"
"Rufescent Prinia"
"Rufous Sibia"
"Rufous-necked Laughingthrush"
"Rufous-winged Fulvetta"
"Scarlet Finch"
"Scarlet-backed Flowerpecker"
"Silver-eared Mesia"
"Slaty-backed Forktail"
"Snowy-browed Flycatcher"
"Upland Pipit"
"White-browed Fulvetta"
"White-browed Piculet"
"White-browed Shrike-Babbler"
"Whistler's Warbler"
"White-throated Bulbul"
"White-tailed Nuthatch"
"Yellow-browed Tit"
"Yellow-bellied Warbler"
"Ashy Bulbul"
"Bengal Florican"
"Blue-breasted Quail"
"Blue-eared Kingfisher"
"Brown Boobook"
"Chestnut-capped Babbler"
"Chestnut Bunting"
"Dark-sided Thrush"
"Eyebrowed Thrush"
"Jerdon's Babbler"
"Little Spiderhunter"
"Little Tern"
"Long-billed Plover"
"Scaly Thrush"
"Striated Yuhina"
"Thick-billed Green-Pigeon"
"White-bellied Heron"
"Wreathed Hornbill"
"Yellow-vented Flowerpecker"
"Yellow-vented Warbler"
"Black-faced Bunting"
"Blossom-headed Parakeet"
"Blue-naped Pitta"
"Great Crested Grebe"
"Jerdon's Bushchat"
"Lesser Necklaced Laughingthrush"
"Nepal Fulvetta"
"Rufous-fronted Babbler"
"White-cheeked Partridge"
"White-hooded Babbler"
"Crested Finchbill"
"Dark-rumped Swift"
"Flavescent Bulbul"
"Golden Babbler"
"Gray Sibia"
"Rusty-fronted Barwing"
"Streak-breasted Scimitar-Babbler"
"Curlew Sandpiper"
"Great Crested Tern"
"Greater Sand-Plover"
"Pied Avocet"
"Short-eared Owl"
"Kashmir Flycatcher"
"Long-legged Buzzard"
"Rufous-fronted Prinia"
"Gray-necked Bunting"
"Plain Leaf Warbler"
"Cetti's Warbler"
"Isabelline Shrike"
"Brooks's Leaf Warbler"
"Large-tailed Nightjar"
"Greater Flamingo"
"Pin-tailed Snipe"
"Bar-tailed Godwit"
"Heart-spotted Woodpecker"
"Crimson-backed Sunbird"
"Malabar Lark"
"Crab-Plover"
"Eurasian Oystercatcher"
"Nilgiri Flycatcher"
"Gray-fronted Green-Pigeon"
"White-rumped Spinetail"
"Black-and-orange Flycatcher"
"Nilgiri Laughingthrush"
"Hill Swallow"
"Great White Pelican"
"Greater Spotted Eagle"
"Siberian Crane"
"Dunlin"
"Alpine Thrush"
"Himalayan Black-lored Tit"
"Chestnut Thrush"
"Lesser Crested Tern"
"Malabar Pied-Hornbill"
"White-cheeked Tern"
"Vigors's Sunbird"
"Chestnut-bellied Sandgrouse"
"Sanderling"
"Tawny Eagle"
"Dalmatian Pelican"
"Spanish Sparrow"
"Isabelline Wheatear"
"Indian Spotted Creeper"
"Asian Desert Warbler"
"Goliath Heron"
"Nilgiri Thrush"
"Eurasian Griffon"
"Eurasian Goshawk"
"Koklass Pheasant"
"Moustached Warbler"
"Broad-billed Sandpiper"
"Dark-fronted Babbler"
"Gray-headed Bulbul"
"Nilgiri Pipit"
"Painted Bush-Quail"
"White-bellied Blue Flycatcher"
"Nilgiri Sholakili"
"Striolated Bunting"
"Rock Bush-Quail"
"Square-tailed Drongo-Cuckoo"
"Common Wood-Pigeon"
"Pine Bunting"
"Common Crane"
"Cream-colored Courser"
"Greater Hoopoe-Lark"
"Greater Short-toed Lark"
"Lesser Kestrel"
"Dusky Eagle-Owl"
"Lesser Fish-Eagle"
"Lesser Flamingo"
"Terek Sandpiper"
"Great Reed Warbler"
"Black-breasted Parrotbill"
"Indian Grassbird"
"Swamp Grass Babbler"
"Blyth's Paradise-Flycatcher"
"Dark-necked Tailorbird"
"Fulvous Whistling-Duck"
"Indian Swiftlet"
"Spotted Flycatcher"
"Sykes's Nightjar"
"Collared Scops-Owl"
"White-naped Yuhina"
"Brown Wood-Owl"
"Chestnut-winged Cuckoo"
"Ferruginous Flycatcher"
"Long-billed Wren-Babbler"
"Himalayan Shortwing"
"White-gorgeted Flycatcher"
"Green Shrike-Babbler"
"Indian Skimmer"
"Lesser Cuckoo"
"Brambling"
"Crested Goshawk"
"Rufous-bellied Woodpecker"
"Orange-breasted Green-Pigeon"
"Persian Wheatear"
"Common Flameback"
"Ashambu Laughingthrush"
"Cinereous Vulture"
"Red-backed Shrike"
"Painted Francolin"
"Western Tragopan"
"Bimaculated Lark"
"Cheer Pheasant"
"Great Knot"
"Slaty-breasted Rail"
"Watercock"
"Bank Swallow"
"Eurasian Siskin"
"Spotted Sandgrouse"
"Small Buttonquail"
"Black Baza"
"Dollarbird"
"Collared Grosbeak"
"Himalayan Owl"
"Spot-winged Grosbeak"
"Blanford's Rosefinch"
"Blyth's Swift"
"Blue-eared Barbet"
"Black-throated Prinia"
"Himalayan Flameback"
"Red Crossbill"
"Sapphire Flycatcher"
"White-throated Needletail"
"Collared Kingfisher"
"Himalayan Beautiful Rosefinch"
"Tawny Fish-Owl"
"Fork-tailed Drongo-Cuckoo"
"Tibetan Snowcock"
"Rufous-tailed Scrub-Robin"
"Garden Warbler"
"Spoon-billed Sandpiper"
"Palani Laughingthrush"
"Sedge Warbler"
"Streaked Rosefinch"
"Mongolian Finch"
"White-browed Tit-Warbler"
"Eurasian Bittern"
"Merlin"
"Red-throated Thrush"
"Song Thrush"
"Pallid Scops-Owl"
"Yellowhammer"
"Water Pipit"
"White-crowned Penduline-Tit"
"Naumann's Thrush"
"Black-crowned Sparrow-Lark"
"Black-bellied Sandgrouse"
"Desert Lark"
"Trumpeter Finch"
"White-browed Bushchat"
"Common Chaffinch"
"Twite"
"Dusky Thrush"
"Long-tailed Thrush"
"Yellow-bellied Flowerpecker"
"Black-headed Shrike-Babbler"
"Broad-billed Warbler"
"Brown Parrotbill"
"Fulvous Parrotbill"
"Golden-breasted Fulvetta"
"Slender-billed Scimitar-Babbler"
"Spotted Laughingthrush"
"White-throated Redstart"
"Hume's Bush Warbler"
"Common Redstart"
"European Turtle-Dove"
"Lesser Gray Shrike"
"Eurasian Linnet"
"Red-necked Phalarope"
"Red-tailed Shrike"
"Eastern Marsh Harrier"
"Pale-capped Pigeon"
"White-tailed Eagle"
"Common Ringed Plover"
"Broad-tailed Grassbird"
"Tibetan Blackbird"
"Lesser Noddy"
"Water Rail"
"Eared Grebe"
"Sind Sparrow"
"Red-necked Stint"
"Golden-headed Cisticola"
"Baer's Pochard"
"Rufous-backed Redstart"
"Blue-winged Leafbird"
"Great Myna"
"Ashy Minivet"
"Singing Bushlark"
"Black-chinned Yuhina"
"Green Cochoa"
"Spotted Elachura"
"Barau's Petrel"
"Sandwich Tern"
"Collared Treepie"
"Assam Laughingthrush"
"Andaman Bulbul"
"Andaman Coucal"
"Andaman Cuckooshrike"
"Andaman Drongo"
"Andaman Treepie"
"Andaman Serpent-Eagle"
"Andaman Wood-Pigeon"
"Plume-toed Swiftlet"
"White-headed Starling"
"Red-necked Grebe"
"White-crowned Forktail"
"Red Knot"
"Slender-billed Gull"
"Greater White-fronted Goose"
