"timegroups","lci_std","rci_std","timegroupsf","mean_trans","se_trans","COMMON.NAME","lci","mean","rci","m1","mean_year1","s1","mean_std"
2013,106.849110430296,168.15108723199,"2013",-3.59921031156776,0.0873074422131994,"Ruddy Shelduck",0.0227808965041398,0.0269748100667089,0.0319281146809309,-3.89857422568089,0.0200667211362031,0.0877899185546586,134.425598898879
2014,92.9385635488276,155.054759707043,"2014",-3.70807841140149,0.085112690695151,"Ruddy Shelduck",0.0205424963029162,0.0242263195291168,0.028561061225756,-3.89857422568089,0.0200667211362031,0.0877899185546586,120.728839378792
2015,89.6495323612267,140.887462623586,"2015",-3.77274160251533,0.0832906503194552,"Ruddy Shelduck",0.0193369296604701,0.022726717658489,0.0267026036691441,-3.89857422568089,0.0200667211362031,0.0877899185546586,113.25576064087
2016,83.5101218797049,133.165593995434,"2016",-3.8499945210979,0.0811951535568869,"Ruddy Shelduck",0.0179853485324218,0.021055034481613,0.024642037614125,-3.89857422568089,0.0200667211362031,0.0877899185546586,104.925136192912
2017,80.6218004068616,128.793418499158,"2017",-3.87956799906148,0.0825750046532687,"Ruddy Shelduck",0.0174190919384058,0.0204477978091956,0.0239966500843006,-3.89857422568089,0.0200667211362031,0.0877899185546586,101.89904803284
2018,86.0462947903975,137.679363285402,"2018",-3.80817668987602,0.0800865617077225,"Ruddy Shelduck",0.0187865518062971,0.0219442424804107,0.0256257176173705,-3.89857422568089,0.0200667211362031,0.0877899185546586,109.35639326158
2019,71.963725731101,114.861364070069,"2019",-3.98657339397846,0.0808957239621812,"Ruddy Shelduck",0.0157165771731531,0.0183919788215818,0.0215178080540723,-3.89857422568089,0.0200667211362031,0.0877899185546586,91.6541307209387
2020,70.5438045718853,113.932182333249,"2020",-4.01958421043252,0.0797849325903002,"Ruddy Shelduck",0.0152430282235906,0.0178001038874018,0.0207815926847778,-3.89857422568089,0.0200667211362031,0.0877899185546586,88.7045958658784
2021,65.9227908885211,103.275364731553,"2021",-4.08669816651448,0.0793042193606954,"Ruddy Shelduck",0.0142740188124524,0.016654352061404,0.019427701694661,-3.89857422568089,0.0200667211362031,0.0877899185546586,82.9948846568524
2022,64.4786219446075,104.442650887138,"2022",-4.11390777610873,0.0808973902729711,"Ruddy Shelduck",0.0138505238441537,0.0162109467921701,0.0189697513879216,-3.89857422568089,0.0200667211362031,0.0877899185546586,80.7852298446672
2023,65.471459495705,103.020586105578,"2023",-4.09424236719991,0.0795581868839492,"Ruddy Shelduck",0.0141605011766371,0.0165302213606696,0.0192926115193277,-3.89857422568089,0.0200667211362031,0.0877899185546586,82.3762948040715
2024,60.3986388722335,94.3418915767242,"2024",-4.19113763276654,0.0789424373892001,"Ruddy Shelduck",0.0128766722297553,0.0150151944440913,0.0175057157689902,-3.89857422568089,0.0200667211362031,0.0877899185546586,74.8263472750504
1992,81.7367670760267,122.017921858496,"before 2000",-3.5266888606339,0.0753117986506333,"Cotton Pygmy-Goose",0.0250481137853403,0.0289740726513154,0.033504725836682,-3.5266888606339,0.0289740726513154,0.0753117986506333,100
2003,50.5679318951214,77.7558043181074,"2000-2006",-3.99282725784431,0.0793899024478146,"Cotton Pygmy-Goose",0.0156651675203182,0.0182783711852559,0.0213227568805661,-3.5266888606339,0.0289740726513154,0.0753117986506333,63.0852673189045
2009,55.0753142175944,83.3366980220714,"2007-2010",-3.90595844524863,0.0755717288951821,"Cotton Pygmy-Goose",0.0172017833796647,0.019920570152447,0.0230640018420378,-3.5266888606339,0.0289740726513154,0.0753117986506333,68.7530896749603
2012,52.6697545549046,80.0900727764563,"2011-2012",-3.95839931281417,0.0772094908571416,"Cotton Pygmy-Goose",0.0162782601441016,0.0189125236580108,0.0219683005264463,-3.5266888606339,0.0289740726513154,0.0753117986506333,65.2739567737371
