"COMMON.NAME","timegroupsf","timegroups","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_2014","mean_std_2014","rci_std_2014"
"European Roller","2017",2017,-2.88398716048776,0.115519847779347,0.0436036389608897,0.0543770763004622,0.0677166852400716,82.1979728114739,113.230042377418,153.62278806002,81.5047870441136,113.230042377418,155.266572242843
"European Roller","2018",2018,-2.69710705849839,0.117158448939233,0.0521618547137861,0.0651790037222971,0.081302688898904,99.1858674293984,135.723026240211,187.238580197155,98.8990998532248,135.723026240211,185.88840632021
"European Roller","2019",2019,-2.97727826861766,0.112903243386407,0.0399986533192404,0.0496560113557291,0.0615692471603898,74.9313003420983,103.399311854046,145.238838340931,74.8073736508478,103.399311854046,139.18067415398
"European Roller","2020",2020,-3.02985278405064,0.111592466065125,0.0380853355202153,0.0471737886270728,0.0583643907379517,72.9560208014673,98.2305495027398,138.537441576421,70.7439762689442,98.2305495027398,136.869162329585
"European Roller","2021",2021,-2.73852419572687,0.10951007978306,0.0508366506617679,0.0626192323870927,0.0770199624692496,94.1310844709963,130.392783489384,177.508839078556,97.0319827244459,130.392783489384,183.989324780086
"Indian Roller","before 2000",1992,-1.61926593628476,0.0847505144882005,0.154421121372955,0.179666260938374,0.208504750781112,100,100,100,NA,NA,NA
"Indian Roller","2000-2006",2003,-1.68787436087281,0.0863974891975034,0.144532372229639,0.1688227112925,0.196704367613904,75.8989356961814,93.9646155103136,115.021624220668,NA,NA,NA
"Indian Roller","2007-2010",2009,-1.76783106193149,0.0839119978215239,0.134817617301974,0.156927929259786,0.18226632045716,70.7577368336542,87.3441281853208,107.410252482851,NA,NA,NA
"Indian Roller","2011-2012",2012,-1.54519567385105,0.0840427693266236,0.165464797298744,0.1920621451643,0.222335339015099,86.5347607228507,106.899394555875,130.607405628687,NA,NA,NA
"Indian Roller","2013",2013,-1.64028620564619,0.0819003541880771,0.152246103505611,0.176279933613602,0.203630483259962,78.6924386139937,98.1152124460735,119.199381631691,NA,NA,NA
"Indian Roller","2014",2014,-1.63644621106632,0.0796108658268939,0.153416158310486,0.176894282558511,0.203513121060819,81.9982354455866,98.4571514065103,121.399772999011,100,100,100
"Indian Roller","2015",2015,-1.76484382233488,0.0805113908924573,0.136031985541274,0.157358370055907,0.181662027168459,71.2833185606745,87.5837061638866,107.234138879943,72.1718169511275,88.9561651060475,109.605499790829
"Indian Roller","2016",2016,-1.81021157323002,0.0783018233206652,0.130937794043768,0.150934983603834,0.173668987926457,68.5194432333527,84.0085293785935,102.708092036419,70.5095387938199,85.3249643916049,105.112834015806
"Indian Roller","2017",2017,-1.927027585428,0.0777655193999039,0.117502384605701,0.135479517237595,0.15595548357836,61.2280649274492,75.4062095632217,93.7451588513691,62.9118930806595,76.587844037742,94.1216143305164
"Indian Roller","2018",2018,-1.89947304593911,0.0791868236014353,0.120264453278711,0.138988532462069,0.160352462235012,63.0249982852899,77.359283671931,94.6124477350316,64.1009970232836,78.5715233142686,96.5160400895934
"Indian Roller","2019",2019,-2.04727367297826,0.0789167047499856,0.104691795051923,0.121101935767947,0.139877101446113,55.5649333084132,67.403827037668,82.973382862277,55.8174907903357,68.4600621435519,84.1980157032072
"Indian Roller","2020",2020,-1.96995508948213,0.0784467592266559,0.112713232089526,0.130174897746213,0.15010520772209,59.1863102562637,72.453724514734,88.7678538768254,59.0112948075352,73.5890927979287,90.8648786164639
"Indian Roller","2021",2021,-2.03283993195106,0.0792383182934877,0.106066881917711,0.12274982613812,0.141841990818232,55.5567466458638,68.3210222648447,83.0544860815586,55.1893813793379,69.3916300531187,84.2628175235072
"Indochinese Roller","before 2000",1992,-2.82079789117651,0.124032613095185,0.0456312049902404,0.0578194938272215,0.0731364716070193,100,100,100,NA,NA,NA
"Indochinese Roller","2000-2006",2003,-2.82694672140492,0.126704279940386,0.0451264625392546,0.0574754494841368,0.0730722734989449,72.8179542758103,99.4049682549751,140.099528829219,NA,NA,NA
"Indochinese Roller","2007-2010",2009,-2.91499403921603,0.131325161005351,0.0410374657722366,0.052761485383062,0.0677148245109635,64.5218790879987,91.2520706956135,126.670155256921,NA,NA,NA
"Indochinese Roller","2011-2012",2012,-2.5232722655297,0.114416424070837,0.0620757189829482,0.0770652605976855,0.0954860392699756,98.5186976969176,133.285948209742,184.623170714147,NA,NA,NA
"Indochinese Roller","2013",2013,-2.53784600668868,0.108766319663276,0.0618657134272725,0.0759937659699634,0.0931845321173027,98.3150969094946,131.432776283118,178.665368709363,NA,NA,NA
"Indochinese Roller","2014",2014,-2.6465606463575,0.107502309738008,0.0558078593764179,0.0684399507599468,0.0838020041779917,85.4235816352859,118.368298007696,161.148694279068,100,100,100
"Indochinese Roller","2015",2015,-2.77368113503662,0.111187792689794,0.0489670590546034,0.0605228308415555,0.0746967404825193,74.9208610966303,104.6754767906,139.883687352703,66.9514033027972,88.4320198502763,119.272661115994
"Indochinese Roller","2016",2016,-2.85696380076715,0.0983815158481843,0.0462644014880337,0.0558242023637391,0.0672886564723178,71.108817923956,96.5491025060773,132.922173873659,61.6447197069179,81.5666898410586,107.035207555361
"Indochinese Roller","2017",2017,-2.79758115743567,0.0956725275840663,0.0492788571735337,0.0591366150328632,0.0708916451700444,75.9064820043135,102.277988129017,135.158110533408,64.9823916166263,86.4065715656122,113.21493633887
"Indochinese Roller","2018",2018,-2.74269327427818,0.0917278067902667,0.0523784919381227,0.0623670100171362,0.0741845473421339,81.5126399976487,107.865022484465,144.341088106406,70.7333743620372,91.1266143891433,116.074756149891
"Indochinese Roller","2019",2019,-3.0365286293636,0.0967914029823993,0.0389285505628752,0.0468673859186363,0.0563771395122347,60.1752653568456,81.0581048299858,110.437791086733,52.1150831386402,68.4795728200094,91.9587393013725
"Indochinese Roller","2020",2020,-2.92547006413191,0.0902045270309698,0.0439518628805066,0.0522262561086744,0.0620071884565353,68.4006954759042,90.3263806921917,119.658101973343,58.4706748555033,76.3096050315086,97.4461961041159
"Indochinese Roller","2021",2021,-2.90505684066419,0.0886438329240732,0.0449718841288316,0.0532741101322421,0.0630577086189234,68.3897399469903,92.1386657092467,123.892429069696,60.0311043351977,77.8406611061149,99.8310453249137
"Dollarbird","before 2000",1992,-4.07495048909543,0.147500526600134,0.0126460782358866,0.016849488389395,0.0224341080656547,100,100,100,NA,NA,NA
"Dollarbird","2000-2006",2003,-4.02882622844226,0.166934394456963,0.0127474315826987,0.0176378055772496,0.0243810033716278,67.9589752886502,104.678582338148,158.951013971636,NA,NA,NA
"Dollarbird","2007-2010",2009,-3.89364955742467,0.128726086960253,0.0157037392922281,0.0201647812290024,0.025876338513377,82.8341949885928,119.675925838164,178.276028943912,NA,NA,NA
"Dollarbird","2011-2012",2012,-3.92379721750975,0.151069993276319,0.0145926763102726,0.019571832042495,0.0262271742625868,76.0642901702448,116.156832719107,178.371263648295,NA,NA,NA
"Dollarbird","2013",2013,-3.95704240396944,0.149502351958115,0.0141620393934019,0.0189379589354514,0.0253036888100961,75.3989835624905,112.394860293627,174.212217343416,NA,NA,NA
"Dollarbird","2014",2014,-3.91420513250301,0.129805898424254,0.0153544264206328,0.0197585940404911,0.0254096314632292,80.1251613401176,117.26524618354,167.314465019595,100,100,100
"Dollarbird","2015",2015,-4.11240542851277,0.119634615197667,0.0128635724631398,0.0162351206465456,0.02048114370965,65.1314538777701,96.3537899273182,144.113311678753,59.2353810904709,82.1673880908484,116.885820029089
"Dollarbird","2016",2016,-4.2609455338936,0.118280705607191,0.0111271715907379,0.0140098907392281,0.0176327520476972,57.4887711128866,83.1472767330187,119.970391053369,50.3399005055762,70.9053018171121,100.319376268345
"Dollarbird","2017",2017,-4.25943157663804,0.118887382242597,0.0111307668772967,0.014030967564261,0.0176800542078267,57.6574653497908,83.2723655460781,120.573307140528,50.7282761898288,71.01197350129,98.9947404693993
"Dollarbird","2018",2018,-4.15098313625301,0.11443569547846,0.012505798930837,0.0156255596795048,0.0195158680759674,63.9421694677887,92.7361075802126,133.956619466458,55.2224461920287,79.0823458768549,109.970360144327
"Dollarbird","2019",2019,-4.13543860896031,0.114515602053845,0.0126984887874603,0.0158683967737196,0.0198216266380291,65.4754406016196,94.1773210378727,135.451873115992,57.0233955926929,80.3113659868748,114.112771768295
"Dollarbird","2020",2020,-4.64825012558621,0.116698400211305,0.00759104079113081,0.00953262191431591,0.0119678041952254,38.9782331211958,56.5751415948966,83.6232381478221,33.9977900348883,48.2454464866316,66.7309177525996
"Dollarbird","2021",2021,-4.24172852557978,0.112402332162448,0.0114725165887963,0.0142797723930123,0.0177677491877913,60.2393682677119,84.7489969012939,118.43168274053,52.9206085117881,72.2711968460351,99.9497427997481
"Malabar Barbet","before 2000",1992,-4.57132681351197,0.12686042527732,0.0080345520032421,0.0102909082478687,0.0131766996080876,100,100,100,NA,NA,NA
"Malabar Barbet","2000-2006",2003,-4.83460520018406,0.126394359041302,0.00618616933653129,0.00791830999804427,0.0101329755613718,54.9816607839064,76.9447147649398,108.018924272772,NA,NA,NA
"Malabar Barbet","2007-2010",2009,-4.44452987241651,0.104405910035805,0.00952394207097405,0.0116739497147036,0.0143058004898002,82.63733261974,113.439449983643,157.245787254283,NA,NA,NA
"Malabar Barbet","2011-2012",2012,-5.03185220710271,0.111658288700773,0.00523010866437193,0.00650545783511419,0.00809053086579239,44.5364269597198,63.215584848514,89.7188564638212,NA,NA,NA
"Malabar Barbet","2013",2013,-5.07522575187868,0.116642335116207,0.00496009731635002,0.0062301868033478,0.00782421632882353,43.2060480099549,60.5406894443752,82.573005057308,NA,NA,NA
"Malabar Barbet","2014",2014,-5.1103350163302,0.111927117697718,0.00483374417073668,0.00601589269082687,0.00748606023107742,40.7126670844299,58.4583259895721,82.2123774743638,100,100,100
"Malabar Barbet","2015",2015,-5.15134393662981,0.0995413935390039,0.00475372550225242,0.00577487685288385,0.00701460830484377,41.2292832165116,56.1162991039186,76.3532413676385,72.2835608414685,95.9936812318723,129.389039244891
"Malabar Barbet","2016",2016,-5.13867523761829,0.101123748866906,0.00479931415827685,0.00584828670491392,0.00712570815462623,41.5229288947191,56.8296457810233,77.2582573979244,72.4483611492083,97.2139465491377,132.468951476592
"Malabar Barbet","2017",2017,-4.98266465959368,0.0977714953185971,0.00564420709103584,0.00683232272635794,0.00826949699085993,48.7956757307678,66.3918340518965,90.1626352728877,85.8346859724494,113.571220058097,153.638087935129
"Malabar Barbet","2018",2018,-5.10844546935056,0.096268974419473,0.00499341827546198,0.00602723639083722,0.00727430861461287,43.0754553321424,58.5685562990562,80.2034787783368,75.877657434686,100.188562206697,129.333748263715
"Malabar Barbet","2019",2019,-4.92138224208843,0.0962610318432074,0.00601757920789152,0.00726254796279058,0.00876394896749495,50.4525944250732,70.5724683173098,96.6090429167347,91.7621591166373,120.722697960764,159.044919478124
"Malabar Barbet","2020",2020,-4.98657291553714,0.0953698601940035,0.00564870556060195,0.00680576326741951,0.00819884910346563,48.681596108391,66.1337474156277,91.2650174978764,85.2013968708624,113.129731815148,153.662431107341
"Malabar Barbet","2021",2021,-4.91849402437428,0.0974553454840194,0.0060208639711487,0.00728347741800686,0.00880969333146911,52.0488525137631,70.775846432362,98.1435426376821,91.575681776801,121.070600695934,161.920553081033
"Coppersmith Barbet","before 2000",1992,-2.23174277913354,0.0889226751939866,0.0862264175067743,0.101780847212319,0.119952009410891,100,100,100,NA,NA,NA
"Coppersmith Barbet","2000-2006",2003,-2.30738201725561,0.0900645593600182,0.0800321447890296,0.0947294740601075,0.111957497792543,72.6161462493066,93.0720038736739,116.162638342315,NA,NA,NA
"Coppersmith Barbet","2007-2010",2009,-2.38583672640888,0.0848147164942541,0.0749615047888091,0.0879057578222616,0.102957980887313,69.1238331894235,86.3676813761304,108.847379899321,NA,NA,NA
"Coppersmith Barbet","2011-2012",2012,-2.32372130474256,0.0832206620047373,0.0798079603207656,0.0932681878021195,0.108861064564044,73.705448891765,91.6362855651599,115.955678764705,NA,NA,NA
"Coppersmith Barbet","2013",2013,-2.11032752033267,0.0814594132634869,0.0981557294674723,0.114141692548734,0.132534204209019,91.816469387006,112.144569115868,140.774841932335,NA,NA,NA
"Coppersmith Barbet","2014",2014,-2.23376628836589,0.0814841535619011,0.0872669258243873,0.101585924825348,0.118098440183705,79.7015231130017,99.8084881465331,124.508163468335,100,100,100
"Coppersmith Barbet","2015",2015,-2.19924908285207,0.0844073783408905,0.0896978120632136,0.104959574527351,0.122638353214881,82.2931325735304,103.123109506449,131.287730848473,83.9490999337885,103.320981433011,128.19545329047
"Coppersmith Barbet","2016",2016,-2.20616779953891,0.0806679457242671,0.0897329425475962,0.104275015388978,0.121012910349226,82.0313611578922,102.450528016785,130.198519330642,82.5388694425703,102.647109398525,127.338512652975
"Coppersmith Barbet","2017",2017,-2.05506855972332,0.0786696546027878,0.103970316969058,0.120220572828188,0.138807867462311,94.60033062852,118.11708795998,146.878603849646,96.4554252824493,118.343730231208,144.536419421129
"Coppersmith Barbet","2018",2018,-2.15172786062872,0.0797855034717431,0.0946641386115536,0.10977680176655,0.12712794560193,86.6884069511173,107.856050301439,135.6543139254,87.1689959893723,108.063003762858,132.906317938408
